ID,sample_id,花名,月份,朝代,作者,诗名,hier_cluster,hier_n_clusters
2,1,梅花,正月,南朝梁,鲍泉,咏梅花,3,8
154,2,虞美人,正月,宋,刘克庄,沁园春,3,8
150,3,虞美人,正月,宋,王沂孙,疏 影,1,8
149,4,虞美人,正月,宋,姜夔,疏 影,3,8
146,5,虞美人,正月,元,朱晞颜,一尊红,3,8
140,6,虞美人,正月,宋,李邴,汉宫春,3,8
137,7,虞美人,正月,金,李献能,江梅引,3,8
136,8,虞美人,正月,宋,李清照,孤雁儿,3,8
135,9,虞美人,正月,宋,强至,渔家傲,3,8
127,10,梅花,正月,宋,陆游,朝中措,3,8
155,11,虞美人,正月,宋,吴文英,贺新郎,1,8
355,12,棠梨花,正月,清,杜文澜,东风第一枝,1,8
157,13,迎春花,正月,唐,白居易.,代迎春花招刘郎中,1,8
5,14,梅花,正月,宋,苏轼,和秦太虚梅花,3,8
6,15,梅花,正月,宋,苏轼,十一月二十六日，松风亭下梅花盛开，,3,8
7,16,梅花,正月,宋,苏轼,再用前韵,3,8
12,17,梅花,正月,唐,李商隐,十一月中旬扶风界见梅花,3,8
202,18,樱桃花,二月,宋,范成大,赏海棠三绝,5,8
179,19,樱桃花,二月,宋,欧阳修,折海棠戏赠圣俞,5,8
181,20,樱桃花,二月,宋,苏轼,寓居定惠院之东，杂花溝山，有海棠一株，土人不知贵也,5,8
182,21,樱桃花,二月,宋,陆游,张园海棠,5,8
183,22,樱桃花,二月,宋,陆游,海棠歌,1,8
185,23,樱桃花,二月,宋,郭稹,海 棠,5,8
187,24,樱桃花,二月,宋,刘子,海棠,5,8
211,25,樱桃花,二月,金,蔡松年,黄海棠,5,8
218,26,樱桃花,二月,宋,李清照,如梦令,1,8
224,27,樱桃花,二月,宋,吴文英,宴清都,5,8
221,28,樱桃花,二月,宋,李鹰,南乡子,5,8
223,29,樱桃花,二月,宋,刘克庄,二月二十四夜饮海棠下作,1,8
225,30,樱桃花,二月,宋,刘克庄,摸鱼儿,5,8
226,31,桃花,二月,唐,杜甫,风雨看舟前落花戏为新句,6,8
227,32,桃花,二月,唐,李咸用,绯桃花歌,6,8
219,33,樱桃花,二月,宋,吴潜,如梦令,5,8
495,34,杨花,三月,唐,刘禹锡,柳花词三首,1,8
406,35,牡丹,三月,宋,王沂孙,水龙吟,0,8
481,36,虞美人,三月,元,张翥,喜迁莺,0,8
388,37,牡丹,三月,唐,白居易,惜牡丹花,0,8
369,38,牡丹,三月,唐,李商隐,牡 丹,0,8
363,39,牡丹,三月,唐,李咸用,远公亭牡丹,0,8
470,40,金沙,三月,宋,杨万里,金沙花,0,8
465,41,蔷薇,三月,宋,曹達,玲珑四犯,1,8
505,42,杨花,三月,清,曹雪芹,如梦,1,8
472,43,琼花,三月,宋,王禹偁,后土庙琼花诗二首,0,8
466,44,蔷薇,三月,宋,刘克庄,贺新郎,1,8
440,45,蔷薇,三月,宋,周邦彦,六 丑,1,8
479,46,虞美人,三月,宋,赵以夫,扬州慢,0,8
421,47,兰花,三月,清,秋瑾,兰 花,1,8
512,48,杨花,三月,宋,周密,声声慢,1,8
515,49,杨花,三月,宋,苏轼,水龙吟,1,8
516,50,杨花,三月,明,赵南星,水龙吟,1,8
521,51,木棉花,三月,清,陈恭尹,木棉花歌,1,8
343,52,素馨,四月,宋,刘镇,念奴娇,1,8
346,53,木兰,四月,宋,刘,木 兰,1,8
345,54,剪春罗,四月,清,秋瑾,剪春罗,1,8
339,55,绣球,四月,明,张新,绣 球,1,8
329,56,月季,四月,宋,杨万里,腊前月季,1,8
327,57,玉兰,四月,清,陈维崧,东风第一枝,1,8
321,58,李花,四月,元,郑韶,梨 花,1,8
228,59,桃花,四月,明,赵福元,桃 花,6,8
291,60,杏花,四月,明,陈子龙,画堂春,1,8
259,61,桃花,四月,宋,贺铸,定风波,6,8
260,62,桃花,四月,宋,王沂孙,露 华,1,8
266,63,杏花,四月,宋,王安石,杏‘ 花,1,8
255,64,桃花,四月,明,陈宪章,潘岳爱桃,6,8
268,65,杏花,四月,唐,韩愈,杏 花,1,8
286,66,杏花,四月,宋,叶绍翁,游园不值,1,8
542,67,芍药,四月,宋,韩元吉,浪淘沙,0,8
543,68,芍药,四月,宋,卢祖皋,水龙吟,0,8
544,69,芍药,四月,宋,晁补之,望海潮,0,8
559,70,杜鹃,四月,宋,辛弃疾,定风波,1,8
