ID,sample_id,花名,月份,朝代,作者,诗名,kmeans_cluster,kmeans_k,kmeans_silhouette
2,1,梅花,正月,南朝梁,鲍泉,咏梅花,8,12,0.1502
154,2,虞美人,正月,宋,刘克庄,沁园春,8,12,0.1502
150,3,虞美人,正月,宋,王沂孙,疏 影,8,12,0.1502
149,4,虞美人,正月,宋,姜夔,疏 影,8,12,0.1502
146,5,虞美人,正月,元,朱晞颜,一尊红,8,12,0.1502
140,6,虞美人,正月,宋,李邴,汉宫春,8,12,0.1502
137,7,虞美人,正月,金,李献能,江梅引,8,12,0.1502
136,8,虞美人,正月,宋,李清照,孤雁儿,8,12,0.1502
135,9,虞美人,正月,宋,强至,渔家傲,8,12,0.1502
127,10,梅花,正月,宋,陆游,朝中措,8,12,0.1502
155,11,虞美人,正月,宋,吴文英,贺新郎,4,12,0.1502
355,12,棠梨花,正月,清,杜文澜,东风第一枝,1,12,0.1502
157,13,迎春花,正月,唐,白居易.,代迎春花招刘郎中,0,12,0.1502
5,14,梅花,正月,宋,苏轼,和秦太虚梅花,8,12,0.1502
6,15,梅花,正月,宋,苏轼,十一月二十六日，松风亭下梅花盛开，,8,12,0.1502
7,16,梅花,正月,宋,苏轼,再用前韵,8,12,0.1502
12,17,梅花,正月,唐,李商隐,十一月中旬扶风界见梅花,8,12,0.1502
202,18,樱桃花,二月,宋,范成大,赏海棠三绝,9,12,0.1502
179,19,樱桃花,二月,宋,欧阳修,折海棠戏赠圣俞,9,12,0.1502
181,20,樱桃花,二月,宋,苏轼,寓居定惠院之东，杂花溝山，有海棠一株，土人不知贵也,9,12,0.1502
182,21,樱桃花,二月,宋,陆游,张园海棠,9,12,0.1502
183,22,樱桃花,二月,宋,陆游,海棠歌,9,12,0.1502
185,23,樱桃花,二月,宋,郭稹,海 棠,9,12,0.1502
187,24,樱桃花,二月,宋,刘子,海棠,9,12,0.1502
211,25,樱桃花,二月,金,蔡松年,黄海棠,9,12,0.1502
218,26,樱桃花,二月,宋,李清照,如梦令,9,12,0.1502
224,27,樱桃花,二月,宋,吴文英,宴清都,9,12,0.1502
221,28,樱桃花,二月,宋,李鹰,南乡子,9,12,0.1502
223,29,樱桃花,二月,宋,刘克庄,二月二十四夜饮海棠下作,9,12,0.1502
225,30,樱桃花,二月,宋,刘克庄,摸鱼儿,9,12,0.1502
226,31,桃花,二月,唐,杜甫,风雨看舟前落花戏为新句,0,12,0.1502
227,32,桃花,二月,唐,李咸用,绯桃花歌,0,12,0.1502
219,33,樱桃花,二月,宋,吴潜,如梦令,9,12,0.1502
495,34,杨花,三月,唐,刘禹锡,柳花词三首,4,12,0.1502
406,35,牡丹,三月,宋,王沂孙,水龙吟,1,12,0.1502
481,36,虞美人,三月,元,张翥,喜迁莺,1,12,0.1502
388,37,牡丹,三月,唐,白居易,惜牡丹花,1,12,0.1502
369,38,牡丹,三月,唐,李商隐,牡 丹,1,12,0.1502
363,39,牡丹,三月,唐,李咸用,远公亭牡丹,1,12,0.1502
470,40,金沙,三月,宋,杨万里,金沙花,1,12,0.1502
465,41,蔷薇,三月,宋,曹達,玲珑四犯,8,12,0.1502
505,42,杨花,三月,清,曹雪芹,如梦,4,12,0.1502
472,43,琼花,三月,宋,王禹偁,后土庙琼花诗二首,1,12,0.1502
466,44,蔷薇,三月,宋,刘克庄,贺新郎,7,12,0.1502
440,45,蔷薇,三月,宋,周邦彦,六 丑,4,12,0.1502
479,46,虞美人,三月,宋,赵以夫,扬州慢,1,12,0.1502
421,47,兰花,三月,清,秋瑾,兰 花,4,12,0.1502
512,48,杨花,三月,宋,周密,声声慢,7,12,0.1502
515,49,杨花,三月,宋,苏轼,水龙吟,4,12,0.1502
516,50,杨花,三月,明,赵南星,水龙吟,4,12,0.1502
521,51,木棉花,三月,清,陈恭尹,木棉花歌,4,12,0.1502
343,52,素馨,四月,宋,刘镇,念奴娇,7,12,0.1502
346,53,木兰,四月,宋,刘,木 兰,5,12,0.1502
345,54,剪春罗,四月,清,秋瑾,剪春罗,4,12,0.1502
339,55,绣球,四月,明,张新,绣 球,4,12,0.1502
329,56,月季,四月,宋,杨万里,腊前月季,4,12,0.1502
327,57,玉兰,四月,清,陈维崧,东风第一枝,4,12,0.1502
321,58,李花,四月,元,郑韶,梨 花,4,12,0.1502
228,59,桃花,四月,明,赵福元,桃 花,0,12,0.1502
291,60,杏花,四月,明,陈子龙,画堂春,0,12,0.1502
259,61,桃花,四月,宋,贺铸,定风波,0,12,0.1502
260,62,桃花,四月,宋,王沂孙,露 华,0,12,0.1502
266,63,杏花,四月,宋,王安石,杏‘ 花,0,12,0.1502
255,64,桃花,四月,明,陈宪章,潘岳爱桃,0,12,0.1502
268,65,杏花,四月,唐,韩愈,杏 花,0,12,0.1502
286,66,杏花,四月,宋,叶绍翁,游园不值,0,12,0.1502
542,67,芍药,四月,宋,韩元吉,浪淘沙,1,12,0.1502
543,68,芍药,四月,宋,卢祖皋,水龙吟,1,12,0.1502
544,69,芍药,四月,宋,晁补之,望海潮,1,12,0.1502
559,70,杜鹃,四月,宋,辛弃疾,定风波,4,12,0.1502
564,71,虞美人,四月,宋,姜夔,赋虞美人草,4,12,0.1502
569,72,虞美人,四月,清,许氏,虞美人,4,12,0.1502
610,73,石竹,五月,宋,张耒,石竹花,4,12,0.1502
600,74,榴花,五月,宋,欧阳修,西园石榴开,6,12,0.1502
595,75,榴花,五月,唐,李白,咏邻女东窗海石榴,6,12,0.1502
596,76,榴花,五月,宋,苏辙,赋园中所有,6,12,0.1502
597,77,榴花,五月,明,吴宽,榴 花,6,12,0.1502
608,78,榴花,五月,宋,苏轼,贺新郎,6,12,0.1502
598,79,榴花,五月,金,元格,榴 花,6,12,0.1502
615,80,栀子花,五月,宋,朱淑真,栀 子,4,12,0.1502
599,81,榴花,五月,唐,温庭筠,海 榴,6,12,0.1502
614,82,栀子花,五月,唐,王建,雨过山村,4,12,0.1502
601,83,榴花,五月,宋,朱熹,榴 花,6,12,0.1502
