ID,sample_id,花名,月份,朝代,作者,诗名,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,dominant_topic,dominant_topic_score
2,1,梅花,正月,南朝梁,鲍泉,咏梅花,0.0012,0.4035,0.0012,0.5906,0.0012,0.0012,0.0012,3,0.5906
154,2,虞美人,正月,宋,刘克庄,沁园春,0.0017,0.9895,0.0017,0.0017,0.0017,0.0018,0.0017,1,0.9895
150,3,虞美人,正月,宋,王沂孙,疏 影,0.6773,0.3201,0.0005,0.0005,0.0005,0.0005,0.0005,0,0.6773
149,4,虞美人,正月,宋,姜夔,疏 影,0.0014,0.9914,0.0014,0.0014,0.0014,0.0014,0.0014,1,0.9914
146,5,虞美人,正月,元,朱晞颜,一尊红,0.0018,0.9319,0.0018,0.0018,0.059,0.0018,0.0018,1,0.9319
140,6,虞美人,正月,宋,李邴,汉宫春,0.0008,0.9955,0.0008,0.0008,0.0008,0.0008,0.0008,1,0.9955
137,7,虞美人,正月,金,李献能,江梅引,0.0014,0.9914,0.0014,0.0014,0.0014,0.0014,0.0014,1,0.9914
136,8,虞美人,正月,宋,李清照,孤雁儿,0.0871,0.6535,0.0021,0.0907,0.0021,0.0021,0.1625,1,0.6535
135,9,虞美人,正月,宋,强至,渔家傲,0.0011,0.9932,0.0011,0.0011,0.0011,0.0011,0.0011,1,0.9932
127,10,梅花,正月,宋,陆游,朝中措,0.0014,0.8223,0.0014,0.0014,0.1705,0.0014,0.0014,1,0.8223
155,11,虞美人,正月,宋,吴文英,贺新郎,0.0744,0.1218,0.5524,0.0019,0.0019,0.2456,0.0019,2,0.5524
355,12,棠梨花,正月,清,杜文澜,东风第一枝,0.3884,0.0011,0.489,0.0011,0.0011,0.1183,0.0011,2,0.489
157,13,迎春花,正月,唐,白居易.,代迎春花招刘郎中,0.4542,0.0021,0.0419,0.0021,0.0021,0.3179,0.1795,0,0.4542
5,14,梅花,正月,宋,苏轼,和秦太虚梅花,0.002,0.988,0.002,0.002,0.002,0.002,0.002,1,0.988
6,15,梅花,正月,宋,苏轼,十一月二十六日，松风亭下梅花盛开，,0.0014,0.9913,0.0014,0.0014,0.0014,0.0014,0.0014,1,0.9913
7,16,梅花,正月,宋,苏轼,再用前韵,0.0009,0.9948,0.0009,0.0009,0.0009,0.0009,0.0009,1,0.9948
12,17,梅花,正月,唐,李商隐,十一月中旬扶风界见梅花,0.0198,0.652,0.0014,0.0014,0.3227,0.0014,0.0014,1,0.652
202,18,樱桃花,二月,宋,范成大,赏海棠三绝,0.0012,0.0012,0.0012,0.0012,0.9927,0.0012,0.0012,4,0.9927
179,19,樱桃花,二月,宋,欧阳修,折海棠戏赠圣俞,0.0017,0.0017,0.0017,0.0017,0.5029,0.4888,0.0017,4,0.5029
181,20,樱桃花,二月,宋,苏轼,寓居定惠院之东，杂花溝山，有海棠一株，土人不知贵也,0.0012,0.2278,0.0012,0.0012,0.3902,0.0012,0.3772,4,0.3902
182,21,樱桃花,二月,宋,陆游,张园海棠,0.2703,0.0007,0.2336,0.0007,0.4935,0.0007,0.0007,4,0.4935
183,22,樱桃花,二月,宋,陆游,海棠歌,0.1025,0.1043,0.0632,0.0006,0.4235,0.0006,0.3054,4,0.4235
185,23,樱桃花,二月,宋,郭稹,海 棠,0.2042,0.0015,0.0015,0.0015,0.7882,0.0015,0.0015,4,0.7882
187,24,樱桃花,二月,宋,刘子,海棠,0.001,0.1251,0.001,0.001,0.7447,0.1263,0.001,4,0.7447
211,25,樱桃花,二月,金,蔡松年,黄海棠,0.0019,0.0019,0.0019,0.0019,0.9885,0.0019,0.0019,4,0.9885
218,26,樱桃花,二月,宋,李清照,如梦令,0.001,0.001,0.001,0.001,0.9941,0.001,0.001,4,0.9941
224,27,樱桃花,二月,宋,吴文英,宴清都,0.0012,0.2328,0.0012,0.0012,0.7614,0.0012,0.0012,4,0.7614
221,28,樱桃花,二月,宋,李鹰,南乡子,0.002,0.0999,0.002,0.002,0.8901,0.002,0.002,4,0.8901
223,29,樱桃花,二月,宋,刘克庄,二月二十四夜饮海棠下作,0.15,0.066,0.0015,0.2985,0.1586,0.1846,0.1408,3,0.2985
225,30,樱桃花,二月,宋,刘克庄,摸鱼儿,0.0784,0.1492,0.2513,0.0014,0.5168,0.0014,0.0014,4,0.5168
226,31,桃花,二月,唐,杜甫,风雨看舟前落花戏为新句,0.0017,0.0017,0.0017,0.0017,0.0017,0.0018,0.9895,6,0.9895
227,32,桃花,二月,唐,李咸用,绯桃花歌,0.0008,0.0008,0.207,0.0008,0.0008,0.0008,0.789,6,0.789
219,33,樱桃花,二月,宋,吴潜,如梦令,0.0013,0.0013,0.0013,0.0013,0.9922,0.0013,0.0013,4,0.9922
495,34,杨花,三月,唐,刘禹锡,柳花词三首,0.9276,0.0218,0.0014,0.0014,0.0014,0.0014,0.0452,0,0.9276
406,35,牡丹,三月,宋,王沂孙,水龙吟,0.6813,0.0009,0.3144,0.0009,0.0009,0.0009,0.0009,0,0.6813
481,36,虞美人,三月,元,张翥,喜迁莺,0.0007,0.619,0.3777,0.0007,0.0007,0.0007,0.0007,1,0.619
388,37,牡丹,三月,唐,白居易,惜牡丹花,0.994,0.001,0.001,0.001,0.001,0.001,0.001,0,0.994
369,38,牡丹,三月,唐,李商隐,牡 丹,0.993,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0,0.993
363,39,牡丹,三月,唐,李咸用,远公亭牡丹,0.9947,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0,0.9947
470,40,金沙,三月,宋,杨万里,金沙花,0.1165,0.7417,0.0022,0.0022,0.0022,0.0022,0.133,1,0.7417
465,41,蔷薇,三月,宋,曹達,玲珑四犯,0.4141,0.5771,0.0018,0.0018,0.0017,0.0017,0.0018,1,0.5771
505,42,杨花,三月,清,曹雪芹,如梦,0.1891,0.0013,0.0013,0.0013,0.0013,0.0013,0.8043,6,0.8043
472,43,琼花,三月,宋,王禹偁,后土庙琼花诗二首,0.0008,0.9954,0.0008,0.0008,0.0008,0.0008,0.0008,1,0.9954
466,44,蔷薇,三月,宋,刘克庄,贺新郎,0.1067,0.0014,0.8864,0.0014,0.0014,0.0014,0.0014,2,0.8864
440,45,蔷薇,三月,宋,周邦彦,六 丑,0.001,0.001,0.6076,0.0304,0.001,0.001,0.358,2,0.6076
