ID,sample_id,花名,月份,朝代,作者,诗名,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,dominant_topic,dominant_topic_score
2,1,梅花,正月,南朝梁,鲍泉,咏梅花,0.2009,0.0012,0.0012,0.0012,0.2509,0.5435,0.0012,5,0.5435
154,2,虞美人,正月,宋,刘克庄,沁园春,0.0017,0.0017,0.0017,0.0017,0.8408,0.0485,0.1038,4,0.8408
150,3,虞美人,正月,宋,王沂孙,疏 影,0.0005,0.0005,0.0005,0.0005,0.9969,0.0005,0.0005,4,0.9969
149,4,虞美人,正月,宋,姜夔,疏 影,0.0013,0.0013,0.0013,0.0013,0.9288,0.0013,0.0646,4,0.9288
146,5,虞美人,正月,元,朱晞颜,一尊红,0.0018,0.2956,0.0018,0.0018,0.533,0.1642,0.0018,4,0.533
140,6,虞美人,正月,宋,李邴,汉宫春,0.0007,0.0007,0.0007,0.0007,0.9957,0.0007,0.0007,4,0.9957
137,7,虞美人,正月,金,李献能,江梅引,0.0014,0.0014,0.0014,0.2501,0.5942,0.15,0.0014,4,0.5942
136,8,虞美人,正月,宋,李清照,孤雁儿,0.2665,0.002,0.2835,0.0598,0.384,0.0021,0.002,4,0.384
135,9,虞美人,正月,宋,强至,渔家傲,0.0755,0.02,0.0011,0.0011,0.8249,0.0761,0.0011,4,0.8249
127,10,梅花,正月,宋,陆游,朝中措,0.3216,0.0014,0.0014,0.0014,0.6713,0.0014,0.0014,4,0.6713
155,11,虞美人,正月,宋,吴文英,贺新郎,0.0016,0.0016,0.6536,0.0016,0.3385,0.0016,0.0016,2,0.6536
355,12,棠梨花,正月,清,杜文澜,东风第一枝,0.001,0.001,0.0473,0.001,0.001,0.4551,0.4935,6,0.4935
157,13,迎春花,正月,唐,白居易.,代迎春花招刘郎中,0.0023,0.0023,0.0023,0.0023,0.0023,0.2779,0.7107,6,0.7107
5,14,梅花,正月,宋,苏轼,和秦太虚梅花,0.0018,0.6612,0.0018,0.0018,0.3298,0.0018,0.0018,1,0.6612
6,15,梅花,正月,宋,苏轼,十一月二十六日，松风亭下梅花盛开，,0.2437,0.2103,0.0014,0.0014,0.5404,0.0014,0.0014,4,0.5404
7,16,梅花,正月,宋,苏轼,再用前韵,0.1438,0.4304,0.0008,0.0008,0.4223,0.0008,0.0008,1,0.4304
12,17,梅花,正月,唐,李商隐,十一月中旬扶风界见梅花,0.0013,0.3646,0.0013,0.0013,0.5792,0.0509,0.0013,4,0.5792
202,18,樱桃花,二月,宋,范成大,赏海棠三绝,0.0011,0.9933,0.0011,0.0011,0.0011,0.0011,0.0011,1,0.9933
179,19,樱桃花,二月,宋,欧阳修,折海棠戏赠圣俞,0.6741,0.3179,0.0016,0.0016,0.0016,0.0016,0.0016,0,0.6741
181,20,樱桃花,二月,宋,苏轼,寓居定惠院之东，杂花溝山，有海棠一株，土人不知贵也,0.2544,0.5833,0.0011,0.1578,0.0011,0.0011,0.0011,1,0.5833
182,21,樱桃花,二月,宋,陆游,张园海棠,0.0007,0.3073,0.4753,0.0007,0.0007,0.2148,0.0007,2,0.4753
183,22,樱桃花,二月,宋,陆游,海棠歌,0.0006,0.7218,0.0609,0.0006,0.0006,0.215,0.0006,1,0.7218
185,23,樱桃花,二月,宋,郭稹,海 棠,0.0014,0.8815,0.0014,0.1112,0.0014,0.0014,0.0014,1,0.8815
187,24,樱桃花,二月,宋,刘子,海棠,0.1323,0.7357,0.001,0.001,0.1282,0.001,0.001,1,0.7357
211,25,樱桃花,二月,金,蔡松年,黄海棠,0.0019,0.9592,0.0019,0.0315,0.0019,0.0019,0.0019,1,0.9592
218,26,樱桃花,二月,宋,李清照,如梦令,0.5345,0.4605,0.001,0.001,0.001,0.001,0.001,0,0.5345
224,27,樱桃花,二月,宋,吴文英,宴清都,0.0225,0.7432,0.0013,0.0013,0.2291,0.0013,0.0013,1,0.7432
221,28,樱桃花,二月,宋,李鹰,南乡子,0.0019,0.8281,0.0823,0.0019,0.082,0.0019,0.0019,1,0.8281
223,29,樱桃花,二月,宋,刘克庄,二月二十四夜饮海棠下作,0.0015,0.1689,0.2253,0.0015,0.0428,0.479,0.0811,5,0.479
225,30,樱桃花,二月,宋,刘克庄,摸鱼儿,0.0014,0.6622,0.331,0.0014,0.0014,0.0014,0.0014,1,0.6622
226,31,桃花,二月,唐,杜甫,风雨看舟前落花戏为新句,0.4971,0.0017,0.0017,0.0017,0.0017,0.0017,0.4945,0,0.4971
227,32,桃花,二月,唐,李咸用,绯桃花歌,0.2596,0.0005,0.0005,0.0005,0.0005,0.4201,0.3183,5,0.4201
219,33,樱桃花,二月,宋,吴潜,如梦令,0.3714,0.6221,0.0013,0.0013,0.0013,0.0013,0.0013,1,0.6221
495,34,杨花,三月,唐,刘禹锡,柳花词三首,0.0014,0.0014,0.0014,0.0014,0.4326,0.52,0.0419,5,0.52
406,35,牡丹,三月,宋,王沂孙,水龙吟,0.0008,0.0008,0.3,0.0008,0.0008,0.6958,0.0008,5,0.6958
481,36,虞美人,三月,元,张翥,喜迁莺,0.0007,0.0007,0.996,0.0007,0.0007,0.0007,0.0007,2,0.996
388,37,牡丹,三月,唐,白居易,惜牡丹花,0.001,0.001,0.001,0.001,0.001,0.9939,0.001,5,0.9939
369,38,牡丹,三月,唐,李商隐,牡 丹,0.0012,0.0012,0.0012,0.2045,0.0012,0.7897,0.0012,5,0.7897
363,39,牡丹,三月,唐,李咸用,远公亭牡丹,0.0008,0.0008,0.0008,0.0008,0.0008,0.9949,0.0008,5,0.9949
470,40,金沙,三月,宋,杨万里,金沙花,0.0022,0.0022,0.6022,0.0022,0.0022,0.2766,0.1125,2,0.6022
465,41,蔷薇,三月,宋,曹達,玲珑四犯,0.0017,0.0578,0.0017,0.308,0.1778,0.4513,0.0017,5,0.4513
505,42,杨花,三月,清,曹雪芹,如梦,0.2149,0.0013,0.0013,0.0013,0.1679,0.0591,0.5542,6,0.5542
472,43,琼花,三月,宋,王禹偁,后土庙琼花诗二首,0.0007,0.0419,0.6175,0.0007,0.0485,0.2899,0.0007,2,0.6175
466,44,蔷薇,三月,宋,刘克庄,贺新郎,0.4147,0.0013,0.5789,0.0013,0.0013,0.0013,0.0013,2,0.5789
440,45,蔷薇,三月,宋,周邦彦,六 丑,0.0009,0.7771,0.2181,0.0009,0.001,0.0009,0.0009,1,0.7771
479,46,虞美人,三月,宋,赵以夫,扬州慢,0.0009,0.0009,0.9943,0.0009,0.0009,0.0009,0.0009,2,0.9943
421,47,兰花,三月,清,秋瑾,兰 花,0.001,0.001,0.001,0.001,0.7296,0.2654,0.001,4,0.7296
512,48,杨花,三月,宋,周密,声声慢,0.0013,0.0013,0.0013,0.0013,0.7543,0.0013,0.2391,4,0.7543
515,49,杨花,三月,宋,苏轼,水龙吟,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.9961,6,0.9961
516,50,杨花,三月,明,赵南星,水龙吟,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.9962,6,0.9962
521,51,木棉花,三月,清,陈恭尹,木棉花歌,0.0019,0.5323,0.0019,0.0019,0.0019,0.458,0.0019,1,0.5323
343,52,素馨,四月,宋,刘镇,念奴娇,0.0019,0.2706,0.7199,0.0019,0.0019,0.0019,0.0019,2,0.7199
