花名,doc_count,pmi_top_words,top10_preview
虞美人,21,"[[""不迁"", 3.2515, 2], [""君山"", 3.2515, 2], [""明妃"", 3.2515, 2], [""不屈"", 3.2515, 2], [""笛曲"", 3.2515, 3], [""牵强附会"", 3.2515, 2], [""宁愿"", 3.2515, 3], [""昭君"", 3.2515, 2], [""白玉堂"", 3.2515, 2], [""湘娥"", 3.2515, 2], [""足迹"", 3.2515, 2], [""感性"", 3.2515, 2], [""几度"", 3.2515, 2], [""环佩"", 3.2515, 2], [""惨烈"", 3.2515, 2], [""共名"", 3.2515, 2], [""交替"", 3.2515, 2], [""绝伦"", 3.2515, 2], [""惨痛"", 3.2515, 2], [""虚托"", 3.2515, 2], [""国破"", 3.2515, 2], [""破国"", 3.2515, 2], [""姜夔"", 3.2515, 7], [""换移"", 3.2515, 2], [""带恨"", 3.2515, 2], [""拟喻"", 3.2515, 2], [""时势"", 3.2515, 2], [""傲立"", 3.2515, 2], [""倚修"", 3.2515, 2], [""后果"", 3.2515, 2]]",不迁、君山、明妃、不屈、笛曲、牵强附会、宁愿、昭君、白玉堂、湘娥
菊花,20,"[[""黄巢"", 3.3219, 2], [""补叙"", 3.3219, 2], [""旷朗"", 3.3219, 3], [""寒菊"", 3.3219, 4], [""次第"", 3.3219, 2], [""发响"", 3.3219, 2], [""收煞"", 3.3219, 2], [""声称"", 3.3219, 2], [""恣意"", 3.3219, 2], [""松菊"", 3.3219, 3], [""浓墨"", 3.3219, 4], [""劲直"", 3.3219, 2], [""重阳节"", 3.3219, 5], [""老圃"", 3.3219, 2], [""三径"", 3.3219, 2], [""本质特征"", 3.3219, 3], [""慧眼"", 3.3219, 2], [""捕捉"", 3.3219, 2], [""转达"", 3.3219, 2], [""外物"", 3.3219, 2], [""成堆"", 3.3219, 2], [""欢快"", 3.3219, 4], [""本作"", 3.3219, 2], [""高朗"", 3.3219, 3], [""遥怜"", 3.3219, 2], [""亲友"", 3.3219, 2], [""足堪"", 3.3219, 2], [""战场"", 3.3219, 2], [""墨菊"", 3.3219, 2], [""闪动"", 3.3219, 2]]",黄巢、补叙、旷朗、寒菊、次第、发响、收煞、声称、恣意、松菊
红梅,16,"[[""遍长"", 3.6439, 2], [""梅朵"", 3.6439, 2], [""浇灌"", 3.6439, 2], [""应作"", 3.6439, 2], [""种梅"", 3.6439, 2], [""命笔"", 3.6439, 2], [""青枝"", 3.6439, 2], [""酒晕"", 3.6439, 2], [""贪睡"", 3.6439, 3], [""独开"", 3.6439, 3], [""杏色"", 3.6439, 2], [""预报"", 3.6439, 3], [""寒梅"", 3.6439, 2], [""春态"", 3.6439, 2], [""石曼卿"", 3.6439, 2], [""肯随"", 3.6439, 2], [""寒心"", 3.6439, 2], [""红桃"", 3.6439, 3], [""春信"", 3.6439, 3], [""认桃"", 3.6439, 2], [""何解"", 3.6439, 2], [""相从"", 3.6439, 2], [""刚好"", 3.6439, 2], [""极紧"", 3.6439, 2], [""延伸"", 3.6439, 2], [""安泰"", 3.6439, 2], [""真个"", 3.6439, 2], [""聊赠"", 3.6439, 3], [""冯君豪"", 3.6439, 10], [""庾园"", 3.6439, 2]]",遍长、梅朵、浇灌、应作、种梅、命笔、青枝、酒晕、贪睡、独开
樱桃花,14,"[[""贫寒"", 3.8365, 2], [""西蜀"", 3.8365, 3], [""孙展"", 3.8365, 2], [""洒满"", 3.8365, 2], [""不安"", 3.8365, 3], [""孙晨"", 3.8365, 2], [""浓缩"", 3.8365, 2], [""县令"", 3.8365, 2], [""昌州"", 3.8365, 2], [""红中"", 3.8365, 2], [""渲泄"", 3.8365, 2], [""质感"", 3.8365, 3], [""泛白"", 3.8365, 2], [""壮观"", 3.8365, 2], [""前线"", 3.8365, 2], [""尘沙"", 3.8365, 2], [""穷尽"", 3.8365, 2], [""定然"", 3.8365, 2], [""海棠树"", 3.8365, 3], [""占据"", 3.8365, 2], [""始见"", 3.8365, 2], [""姚魏"", 3.8365, 2], [""铺满"", 3.8365, 2], [""有色"", 3.8365, 2], [""沈立"", 3.8365, 2], [""忧怨"", 3.8365, 2], [""少见"", 3.8365, 2], [""和盘托出"", 3.8365, 2], [""烧高"", 3.8365, 2], [""文情"", 3.8365, 2]]",贫寒、西蜀、孙展、洒满、不安、孙晨、浓缩、县令、昌州、红中
榴花,10,"[[""美态"", 4.3219, 2], [""何须"", 4.3219, 2], [""绝美"", 4.3219, 2], [""继写"", 4.3219, 2], [""榴花"", 4.3219, 10], [""红者"", 4.3219, 2], [""诗史"", 4.3219, 2], [""眷眷"", 4.3219, 2], [""标本"", 4.3219, 2], [""妖冶"", 4.3219, 2], [""托意"", 4.3219, 2], [""石榴花"", 4.3219, 4], [""海榴"", 4.3219, 2], [""蜡珠"", 4.3219, 2], [""西邻"", 4.3219, 2], [""落绛"", 4.3219, 2], [""石榴"", 3.9594, 7], [""美艳"", 3.737, 4], [""并用"", 3.737, 2], [""低回"", 3.737, 2], [""花工"", 3.737, 2], [""拳拳"", 3.737, 2], [""对饮"", 3.737, 2], [""宋史"", 3.737, 2], [""似是"", 3.737, 2], [""诗家"", 3.585, 3], [""幸运"", 3.585, 3], [""钟爱"", 3.585, 3], [""直言"", 3.5146, 4], [""海龙"", 3.4739, 5]]",美态、何须、绝美、继写、榴花、红者、诗史、眷眷、标本、妖冶
水仙花,8,"[[""圣洁"", 4.6439, 2], [""淤泥"", 4.6439, 2], [""洛水"", 4.6439, 2], [""湘灵"", 4.6439, 2], [""单瓣"", 4.6439, 2], [""水仙"", 4.3219, 8], [""湘妃"", 4.2288, 3], [""水仙花"", 4.2288, 6], [""纪念"", 4.0589, 2], [""苍梧"", 4.0589, 2], [""极富"", 4.0589, 2], [""宓妃"", 4.0589, 2], [""类比"", 4.0589, 2], [""凌波仙子"", 4.0589, 2], [""二女"", 4.0589, 2], [""进去"", 4.0589, 2], [""湘水"", 3.9069, 3], [""二妃"", 3.6439, 2], [""南望"", 3.6439, 1], [""长叶"", 3.6439, 1], [""壮烈"", 3.6439, 1], [""逗引"", 3.6439, 1], [""伟大"", 3.6439, 2], [""原始"", 3.6439, 1], [""飘忽"", 3.6439, 1], [""巧用"", 3.6439, 1], [""平庸"", 3.6439, 1], [""付诸"", 3.6439, 1], [""契合"", 3.6439, 1], [""玉簪"", 3.6439, 2]]",圣洁、淤泥、洛水、湘灵、单瓣、水仙、湘妃、水仙花、纪念、苍梧
桂花,8,"[[""天竺"", 4.6439, 2], [""桂枝"", 4.6439, 2], [""天香云"", 4.6439, 2], [""宋之问"", 4.6439, 2], [""粟玉"", 4.6439, 2], [""物候"", 4.6439, 2], [""剪叶"", 4.6439, 2], [""芳华"", 4.6439, 2], [""桂树"", 4.4512, 7], [""桂子"", 4.3219, 4], [""咏桂"", 4.3219, 4], [""灵隐寺"", 4.2288, 3], [""飞来峰"", 4.0589, 2], [""耿介"", 4.0589, 2], [""仙品"", 4.0589, 2], [""桂香"", 4.0589, 2], [""洒落"", 4.0589, 2], [""纯粹"", 4.0589, 2], [""扩大"", 4.0589, 2], [""摇落"", 4.0589, 2], [""张文潜"", 4.0589, 2], [""梦游"", 4.0589, 2], [""山海经"", 4.0589, 2], [""不羁"", 4.0589, 2], [""常青"", 4.0589, 2], [""正当"", 4.0589, 2], [""桂花"", 3.8662, 7], [""神宗"", 3.6439, 1], [""争斗"", 3.6439, 1], [""御史中丞"", 3.6439, 1]]",天竺、桂枝、天香云、宋之问、粟玉、物候、剪叶、芳华、桂树、桂子
木芙蓉,8,"[[""用到"", 4.6439, 2], [""回头"", 4.6439, 2], [""屡次"", 4.6439, 2], [""劲吹"", 4.6439, 2], [""池塘"", 4.2288, 3], [""特殊性"", 4.0589, 2], [""不无"", 4.0589, 2], [""霜花"", 4.0589, 2], [""木芙蓉"", 3.7694, 6], [""把握住"", 3.6439, 1], [""鄂君"", 3.6439, 1], [""炫目"", 3.6439, 1], [""富丽"", 3.6439, 1], [""理会"", 3.6439, 1], [""见物"", 3.6439, 1], [""科举"", 3.6439, 1], [""仿效"", 3.6439, 1], [""浣纱"", 3.6439, 1], [""成其为"", 3.6439, 1], [""白莲花"", 3.6439, 1], [""绿珠"", 3.6439, 1], [""高启"", 3.6439, 1], [""做到"", 3.6439, 1], [""俗人"", 3.6439, 1], [""融洽"", 3.6439, 1], [""端合"", 3.6439, 1], [""陆龟蒙"", 3.6439, 2], [""王昭君"", 3.6439, 1], [""古属"", 3.6439, 1], [""迎合"", 3.6439, 1]]",用到、回头、屡次、劲吹、池塘、特殊性、不无、霜花、木芙蓉、把握住
梅花,6,"[[""江头"", 5.0589, 2], [""醉卧"", 5.0589, 2], [""梦觉"", 5.0589, 2], [""赵伯陶"", 5.0589, 2], [""松风亭"", 5.0589, 2], [""七古"", 4.6439, 3], [""连贯"", 4.4739, 2], [""阶下"", 4.4739, 2], [""满腹"", 4.4739, 2], [""辉映"", 4.4739, 2], [""梅花诗"", 4.4739, 2], [""深雪"", 4.4739, 2], [""前村"", 4.4739, 2], [""齐己"", 4.4739, 2], [""惠州"", 4.4739, 2], [""岭南"", 4.4739, 2], [""愁肠"", 4.0589, 1], [""徐陵"", 4.0589, 1], [""英华"", 4.0589, 1], [""触动"", 4.0589, 1], [""旋转"", 4.0589, 1], [""定下"", 4.0589, 1], [""丝织品"", 4.0589, 1], [""大者"", 4.0589, 1], [""莲井"", 4.0589, 1], [""毋宁"", 4.0589, 1], [""忍不住"", 4.0589, 1], [""行动"", 4.0589, 1], [""心酸"", 4.0589, 1], [""宫体诗"", 4.0589, 1]]",江头、醉卧、梦觉、赵伯陶、松风亭、七古、连贯、阶下、满腹、辉映
桃花,6,"[[""地想"", 5.0589, 2], [""徐荣街"", 5.0589, 2], [""所忆"", 5.0589, 2], [""朝霞"", 5.0589, 2], [""飞人"", 5.0589, 2], [""桃叶"", 5.0589, 2], [""太平广记"", 5.0589, 2], [""亦桃亦"", 5.0589, 2], [""人面桃花"", 5.0589, 2], [""溪流"", 5.0589, 3], [""相映红"", 5.0589, 2], [""柔情"", 5.0589, 2], [""桃树"", 4.7959, 5], [""桃源"", 4.4739, 2], [""红润"", 4.4739, 2], [""穿过"", 4.4739, 2], [""刘晨"", 4.4739, 2], [""天台山"", 4.4739, 2], [""小说"", 4.3219, 3], [""炼字"", 4.0589, 1], [""叫绝"", 4.0589, 1], [""风力"", 4.0589, 1], [""不来"", 4.0589, 1], [""偷偷"", 4.0589, 1], [""尤多"", 4.0589, 1], [""揣摩"", 4.0589, 1], [""绝对"", 4.0589, 1], [""杜臆"", 4.0589, 1], [""波动"", 4.0589, 1], [""飞花"", 4.0589, 1]]",地想、徐荣街、所忆、朝霞、飞人、桃叶、太平广记、亦桃亦、人面桃花、溪流
