ID,sample_id,花名,月份,朝代,作者,诗名,occasion,occasion_cn,occasion_conf,occasion_all,occasion_hits,relation,relation_cn,relation_conf,relation_all,symbolism,symbolism_preview,overall_conf,is_high_conf,needs_review
2,1,梅花,正月,南朝梁,鲍泉,咏梅花,homesick,思乡怀人,0.765,"[""homesick""]","[[""客居""]]",,,0.0,[],"[""坚韧"", ""高洁"", ""傲寒"", ""不屈""]",坚韧、高洁、傲寒,0.765,True,False
154,2,虞美人,正月,宋,刘克庄,沁园春,self_expression,托物言志,0.78,"[""self_expression"", ""departure"", ""retirement"", ""wedding""]","[[""自况"", ""言志"", ""抒怀""], [""出使"", ""上任""]]",self,自赠/自述,0.88,"[""self"", ""family"", ""lover""]",[],,0.83,True,False
150,3,虞美人,正月,宋,王沂孙,疏 影,farewell,送别,0.9,"[""farewell"", ""memorial"", ""homesick"", ""retirement"", ""self_expression""]","[[""别离"", ""临别"", ""赠别""], [""亡故""]]",lover,爱人,0.82,"[""lover""]",[],,0.86,True,False
149,4,虞美人,正月,宋,姜夔,疏 影,wedding,婚嫁,0.88,"[""wedding"", ""departure"", ""self_expression""]","[[""嫁""], [""出塞""]]",lover,爱人,0.82,"[""lover""]",[],,0.85,True,False
146,5,虞美人,正月,元,朱晞颜,一尊红,retirement,归隐,0.765,"[""retirement"", ""self_expression""]","[[""退隐""], [""寄托""]]",lover,爱人,0.82,"[""lover""]",[],,0.792,True,False
140,6,虞美人,正月,宋,李邴,汉宫春,self_expression,托物言志,0.78,"[""self_expression"", ""farewell"", ""wedding"", ""homesick"", ""retirement""]","[[""言志"", ""寄托""], [""惜别""]]",friend,友人,0.85,"[""friend"", ""family""]",[],,0.815,True,False
137,7,虞美人,正月,金,李献能,江梅引,,,0.0,[],[],lover,爱人,0.82,"[""lover""]",[],,0.82,True,False
136,8,虞美人,正月,宋,李清照,孤雁儿,wedding,婚嫁,0.88,"[""wedding"", ""self_expression""]","[[""鸳鸯""], [""寄托""]]",family,家人,0.85,"[""family"", ""lover""]",[],,0.865,True,False
135,9,虞美人,正月,宋,强至,渔家傲,self_expression,托物言志,0.585,"[""self_expression""]","[[""寄托""]]",lover,爱人,0.82,"[""lover""]",[],,0.702,True,False
127,10,梅花,正月,宋,陆游,朝中措,,,0.0,[],[],family,家人,0.85,"[""family"", ""lover""]","[""坚韧"", ""高洁"", ""傲寒"", ""不屈""]",坚韧、高洁、傲寒,0.85,True,False
155,11,虞美人,正月,宋,吴文英,贺新郎,,,0.0,[],[],teacher,师长,0.87,"[""teacher""]",[],,0.87,True,False
355,12,棠梨花,正月,清,杜文澜,东风第一枝,homesick,思乡怀人,0.765,"[""homesick"", ""self_expression""]","[[""故园""], [""寄托""]]",self,自赠/自述,0.88,"[""self""]",[],,0.823,True,False
157,13,迎春花,正月,唐,白居易.,代迎春花招刘郎中,promotion,升职祝贺,0.85,"[""promotion"", ""departure""]","[[""科举"", ""进士""], [""赴任""]]",friend,友人,0.85,"[""friend""]","[""春天"", ""希望"", ""新生""]",春天、希望、新生,0.85,True,False
5,14,梅花,正月,宋,苏轼,和秦太虚梅花,getwell,祝愿康复,0.83,"[""getwell""]","[[""病中"", ""卧病""]]",friend,友人,0.85,"[""friend"", ""lover""]","[""坚韧"", ""高洁"", ""傲寒"", ""不屈""]",坚韧、高洁、傲寒,0.84,True,False
6,15,梅花,正月,宋,苏轼,十一月二十六日，松风亭下梅花盛开，,farewell,送别,0.9,"[""farewell"", ""self_expression""]","[[""分别""], [""寄托""]]",,,0.0,[],"[""坚韧"", ""高洁"", ""傲寒"", ""不屈""]",坚韧、高洁、傲寒,0.9,True,False
7,16,梅花,正月,宋,苏轼,再用前韵,self_expression,托物言志,0.585,"[""self_expression""]","[[""寄托""]]",friend,友人,0.85,"[""friend"", ""teacher"", ""family""]","[""坚韧"", ""高洁"", ""傲寒"", ""不屈""]",坚韧、高洁、傲寒,0.718,True,False
12,17,梅花,正月,唐,李商隐,十一月中旬扶风界见梅花,self_expression,托物言志,0.78,"[""self_expression"", ""farewell"", ""wedding""]","[[""自比"", ""自喻"", ""寄托""], [""离别""]]",self,自赠/自述,0.88,"[""self"", ""family""]","[""坚韧"", ""高洁"", ""傲寒"", ""不屈""]",坚韧、高洁、傲寒,0.83,True,False
202,18,樱桃花,二月,宋,范成大,赏海棠三绝,,,0.0,[],[],,,0.0,[],[],,0.0,False,True
179,19,樱桃花,二月,宋,欧阳修,折海棠戏赠圣俞,self_expression,托物言志,0.78,"[""self_expression"", ""promotion"", ""departure""]","[[""言志""], [""仕途""]]",friend,友人,0.85,"[""friend""]",[],,0.815,True,False
181,20,樱桃花,二月,宋,苏轼,寓居定惠院之东，杂花溝山，有海棠一株，土人不知贵也,,,0.0,[],[],teacher,师长,0.87,"[""teacher"", ""lover""]",[],,0.87,True,False
182,21,樱桃花,二月,宋,陆游,张园海棠,,,0.0,[],[],family,家人,0.85,"[""family"", ""friend""]",[],,0.85,True,False
183,22,樱桃花,二月,宋,陆游,海棠歌,homesick,思乡怀人,0.765,"[""homesick""]","[[""漂泊""]]",teacher,师长,0.87,"[""teacher"", ""friend""]",[],,0.818,True,False
185,23,樱桃花,二月,宋,郭稹,海 棠,,,0.0,[],[],family,家人,0.85,"[""family""]",[],,0.85,True,False
187,24,樱桃花,二月,宋,刘子,海棠,farewell,送别,0.9,"[""farewell"", ""memorial"", ""wedding"", ""promotion"", ""retirement""]","[[""惜别"", ""依依惜别""], [""清明""]]",friend,友人,0.85,"[""friend"", ""teacher""]",[],,0.875,True,False
211,25,樱桃花,二月,金,蔡松年,黄海棠,retirement,归隐,0.765,"[""retirement""]","[[""归隐""]]",lover,爱人,0.82,"[""lover""]",[],,0.792,True,False
218,26,樱桃花,二月,宋,李清照,如梦令,,,0.0,[],[],lover,爱人,0.82,"[""lover""]",[],,0.82,True,False
224,27,樱桃花,二月,宋,吴文英,宴清都,wedding,婚嫁,0.88,"[""wedding""]","[[""鸳鸯""]]",family,家人,0.85,"[""family"", ""lover""]",[],,0.865,True,False
221,28,樱桃花,二月,宋,李鹰,南乡子,housewarming,乔迁新居,0.88,"[""housewarming"", ""promotion"", ""celebration""]","[[""乔迁"", ""迁居""], []]",,,0.0,[],[],,0.88,True,False
223,29,樱桃花,二月,宋,刘克庄,二月二十四夜饮海棠下作,farewell,送别,0.9,"[""farewell"", ""memorial""]","[[""惜别""], [""悼念""]]",teacher,师长,0.87,"[""teacher""]",[],,0.885,True,False
225,30,樱桃花,二月,宋,刘克庄,摸鱼儿,wedding,婚嫁,0.88,"[""wedding"", ""self_expression""]","[[""嫁""], [""自况""]]",lover,爱人,0.82,"[""lover"", ""self"", ""family""]",[],,0.85,True,False
226,31,桃花,二月,唐,杜甫,风雨看舟前落花戏为新句,,,0.0,[],[],,,0.0,[],"[""爱情"", ""美人"", ""春天"", ""桃源""]",爱情、美人、春天,0.0,False,True
227,32,桃花,二月,唐,李咸用,绯桃花歌,promotion,升职祝贺,0.765,"[""promotion"", ""homesick""]","[[""仕途""], [""漂泊""]]",,,0.0,[],"[""爱情"", ""美人"", ""春天"", ""桃源""]",爱情、美人、春天,0.765,True,False
219,33,樱桃花,二月,宋,吴潜,如梦令,homesick,思乡怀人,0.85,"[""homesick""]","[[""思乡"", ""故乡"", ""游子""]]",family,家人,0.85,"[""family""]",[],,0.85,True,False
495,34,杨花,三月,唐,刘禹锡,柳花词三首,farewell,送别,0.9,"[""farewell"", ""getwell""]","[[""送行""], [""慰问""]]",,,0.0,[],[],,0.9,True,False
406,35,牡丹,三月,宋,王沂孙,水龙吟,self_expression,托物言志,0.78,"[""self_expression""]","[[""抒怀"", ""寄托""]]",teacher,师长,0.87,"[""teacher""]","[""富贵"", ""繁荣"", ""国色"", ""雍容""]",富贵、繁荣、国色,0.825,True,False
481,36,虞美人,三月,元,张翥,喜迁莺,self_expression,托物言志,0.78,"[""self_expression"", ""farewell""]","[[""自喻"", ""寄托""], [""离别""]]",family,家人,0.85,"[""family""]",[],,0.815,True,False
388,37,牡丹,三月,唐,白居易,惜牡丹花,,,0.0,[],[],friend,友人,0.85,"[""friend""]","[""富贵"", ""繁荣"", ""国色"", ""雍容""]",富贵、繁荣、国色,0.85,True,False
369,38,牡丹,三月,唐,李商隐,牡 丹,promotion,升职祝贺,0.765,"[""promotion"", ""self_expression""]","[[""进士""], [""寄托""]]",teacher,师长,0.87,"[""teacher"", ""family"", ""colleague""]","[""富贵"", ""繁荣"", ""国色"", ""雍容""]",富贵、繁荣、国色,0.818,True,False
363,39,牡丹,三月,唐,李咸用,远公亭牡丹,memorial,悼念,0.92,"[""memorial""]","[[""清明""]]",lover,爱人,0.82,"[""lover""]","[""富贵"", ""繁荣"", ""国色"", ""雍容""]",富贵、繁荣、国色,0.87,True,False
470,40,金沙,三月,宋,杨万里,金沙花,wedding,婚嫁,0.88,"[""wedding"", ""self_expression""]","[[""嫁""], [""抒怀""]]",lover,爱人,0.82,"[""lover""]",[],,0.85,True,False
465,41,蔷薇,三月,宋,曹達,玲珑四犯,wedding,婚嫁,0.88,"[""wedding"", ""self_expression""]","[[""嫁""], [""寄托""]]",self,自赠/自述,0.88,"[""self"", ""family"", ""lover""]","[""爱情"", ""美丽"", ""春天""]",爱情、美丽、春天,0.88,True,False
505,42,杨花,三月,清,曹雪芹,如梦,wedding,婚嫁,0.88,"[""wedding"", ""homesick""]","[[""嫁""], [""羁旅""]]",family,家人,0.85,"[""family"", ""lover""]",[],,0.865,True,False
472,43,琼花,三月,宋,王禹偁,后土庙琼花诗二首,,,0.0,[],[],teacher,师长,0.87,"[""teacher""]",[],,0.87,True,False
466,44,蔷薇,三月,宋,刘克庄,贺新郎,,,0.0,[],[],family,家人,0.85,"[""family"", ""friend""]","[""爱情"", ""美丽"", ""春天""]",爱情、美丽、春天,0.85,True,False
440,45,蔷薇,三月,宋,周邦彦,六 丑,homesick,思乡怀人,0.765,"[""homesick"", ""self_expression""]","[[""羁旅""], [""寄托""]]",family,家人,0.85,"[""family"", ""lover""]","[""爱情"", ""美丽"", ""春天""]",爱情、美丽、春天,0.807,True,False
479,46,虞美人,三月,宋,赵以夫,扬州慢,farewell,送别,0.9,"[""farewell""]","[[""赠别""]]",family,家人,0.85,"[""family"", ""friend""]",[],,0.875,True,False
421,47,兰花,三月,清,秋瑾,兰 花,self_expression,托物言志,0.78,"[""self_expression"", ""memorial""]","[[""自喻"", ""自励"", ""寄托""], [""悼念"", ""哀悼""]]",self,自赠/自述,0.88,"[""self"", ""teacher"", ""family""]","[""高洁"", ""清雅"", ""君子"", ""淡泊""]",高洁、清雅、君子,0.83,True,False
512,48,杨花,三月,宋,周密,声声慢,homesick,思乡怀人,0.765,"[""homesick"", ""self_expression""]","[[""漂泊""], [""自喻""]]",lover,爱人,0.82,"[""lover"", ""family""]",[],,0.792,True,False
515,49,杨花,三月,宋,苏轼,水龙吟,,,0.0,[],[],lover,爱人,0.82,"[""lover"", ""family""]",[],,0.82,True,False
516,50,杨花,三月,明,赵南星,水龙吟,retirement,归隐,0.85,"[""retirement"", ""farewell"", ""promotion"", ""self_expression""]","[[""归隐"", ""隐居""], [""送别""]]",self,自赠/自述,0.88,"[""self"", ""family""]",[],,0.865,True,False
521,51,木棉花,三月,清,陈恭尹,木棉花歌,memorial,悼念,0.92,"[""memorial"", ""retirement""]","[[""悼念""], [""隐居""]]",family,家人,0.85,"[""family""]",[],,0.885,True,False
343,52,素馨,四月,宋,刘镇,念奴娇,,,0.0,[],[],,,0.0,[],[],,0.0,False,True
346,53,木兰,四月,宋,刘,木 兰,,,0.0,[],[],,,0.0,[],[],,0.0,False,True
345,54,剪春罗,四月,清,秋瑾,剪春罗,,,0.0,[],[],,,0.0,[],[],,0.0,False,True
339,55,绣球,四月,明,张新,绣 球,,,0.0,[],[],,,0.0,[],[],,0.0,False,True
