ID,sample_id,花名,月份,朝代,作者,诗名,snow_polarity_analysis,snow_polarity_poem,snow_polarity_combined,snow_sentiment_analysis,dominant_emotion_analysis,dominant_emotion_poem,dominant_emotion_combined,dominant_score_analysis,emo_joy,emo_sorrow,emo_longing,emo_bold,emo_elegant,emo_serene,emo_resentment,emo_anxiety,emotion_vec_analysis,emotion_vec_poem,emotion_vec_combined
2,1,梅花,正月,南朝梁,鲍泉,咏梅花,1.0,0.1811,1.0,positive,serene,joy,serene,0.0056,0.0,0.004237,0.0,0.0,0.0,0.00565,0.0,0.0,"{""joy"": 0.0, ""sorrow"": 0.004237, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.00565, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""serene"", ""dominant_score"": 0.0056}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""joy"", ""dominant_score"": 0.0}","{""joy"": 0.0, ""sorrow"": 0.004144, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.005525, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""serene"", ""dominant_score"": 0.0055}"
154,2,虞美人,正月,宋,刘克庄,沁园春,1.0,1.0,1.0,positive,elegant,sorrow,elegant,0.0199,0.007229,0.012651,0.0,0.0,0.01988,0.0,0.003614,0.0,"{""joy"": 0.007229, ""sorrow"": 0.012651, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.01988, ""serene"": 0.0, ""resentment"": 0.003614, ""anxiety"": 0.0, ""dominant_emotion"": ""elegant"", ""dominant_score"": 0.0199}","{""joy"": 0.021875, ""sorrow"": 0.046875, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0375, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""sorrow"", ""dominant_score"": 0.0469}","{""joy"": 0.008516, ""sorrow"": 0.015659, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.021429, ""serene"": 0.0, ""resentment"": 0.003297, ""anxiety"": 0.0, ""dominant_emotion"": ""elegant"", ""dominant_score"": 0.0214}"
150,3,虞美人,正月,宋,王沂孙,疏 影,1.0,1.0,1.0,positive,longing,longing,longing,0.0222,0.0,0.001472,0.022209,0.001472,0.006626,0.002454,0.0,0.001472,"{""joy"": 0.0, ""sorrow"": 0.001472, ""longing"": 0.022209, ""bold"": 0.001472, ""elegant"": 0.006626, ""serene"": 0.002454, ""resentment"": 0.0, ""anxiety"": 0.001472, ""dominant_emotion"": ""longing"", ""dominant_score"": 0.0222}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.1, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""longing"", ""dominant_score"": 0.1}","{""joy"": 0.0, ""sorrow"": 0.001423, ""longing"": 0.024792, ""bold"": 0.001423, ""elegant"": 0.006406, ""serene"": 0.002372, ""resentment"": 0.0, ""anxiety"": 0.001423, ""dominant_emotion"": ""longing"", ""dominant_score"": 0.0248}"
149,4,虞美人,正月,宋,姜夔,疏 影,1.0,1.0,1.0,positive,sorrow,joy,sorrow,0.0077,0.0,0.007692,0.003846,0.0,0.0,0.003205,0.0,0.0,"{""joy"": 0.0, ""sorrow"": 0.007692, ""longing"": 0.003846, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.003205, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""sorrow"", ""dominant_score"": 0.0077}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""joy"", ""dominant_score"": 0.0}","{""joy"": 0.0, ""sorrow"": 0.006977, ""longing"": 0.003488, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.002907, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""sorrow"", ""dominant_score"": 0.007}"
146,5,虞美人,正月,元,朱晞颜,一尊红,1.0,0.9999,1.0,positive,anxiety,joy,anxiety,0.0093,0.004138,0.004138,0.0,0.0,0.005172,0.0,0.0,0.00931,"{""joy"": 0.004138, ""sorrow"": 0.004138, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.005172, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.00931, ""dominant_emotion"": ""anxiety"", ""dominant_score"": 0.0093}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""joy"", ""dominant_score"": 0.0}","{""joy"": 0.003762, ""sorrow"": 0.003762, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.004702, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.008464, ""dominant_emotion"": ""anxiety"", ""dominant_score"": 0.0085}"
140,6,虞美人,正月,宋,李邴,汉宫春,1.0,1.0,1.0,positive,longing,longing,longing,0.008,0.005348,0.005348,0.008021,0.007487,0.006061,0.0,0.003209,0.001426,"{""joy"": 0.005348, ""sorrow"": 0.005348, ""longing"": 0.008021, ""bold"": 0.007487, ""elegant"": 0.006061, ""serene"": 0.0, ""resentment"": 0.003209, ""anxiety"": 0.001426, ""dominant_emotion"": ""longing"", ""dominant_score"": 0.008}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.034483, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""longing"", ""dominant_score"": 0.0345}","{""joy"": 0.005085, ""sorrow"": 0.005085, ""longing"": 0.009322, ""bold"": 0.007119, ""elegant"": 0.005763, ""serene"": 0.0, ""resentment"": 0.003051, ""anxiety"": 0.001356, ""dominant_emotion"": ""longing"", ""dominant_score"": 0.0093}"
137,7,虞美人,正月,金,李献能,江梅引,1.0,1.0,1.0,positive,elegant,joy,elegant,0.0065,0.0,0.003922,0.0,0.0,0.006536,0.0,0.0,0.0,"{""joy"": 0.0, ""sorrow"": 0.003922, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.006536, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""elegant"", ""dominant_score"": 0.0065}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""joy"", ""dominant_score"": 0.0}","{""joy"": 0.0, ""sorrow"": 0.003647, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.006079, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""elegant"", ""dominant_score"": 0.0061}"
136,8,虞美人,正月,宋,李清照,孤雁儿,1.0,0.0263,1.0,positive,elegant,joy,elegant,0.0099,0.0,0.0,0.003311,0.0,0.009934,0.0,0.0,0.0,"{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.003311, ""bold"": 0.0, ""elegant"": 0.009934, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""elegant"", ""dominant_score"": 0.0099}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""joy"", ""dominant_score"": 0.0}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.003067, ""bold"": 0.0, ""elegant"": 0.009202, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""elegant"", ""dominant_score"": 0.0092}"
135,9,虞美人,正月,宋,强至,渔家傲,1.0,0.1947,1.0,positive,elegant,joy,elegant,0.0065,0.0,0.0,0.0,0.0,0.006497,0.0058,0.0,0.0,"{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.006497, ""serene"": 0.0058, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""elegant"", ""dominant_score"": 0.0065}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""joy"", ""dominant_score"": 0.0}","{""joy"": 0.0, ""sorrow"": 0.0, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.006195, ""serene"": 0.005531, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""elegant"", ""dominant_score"": 0.0062}"
127,10,梅花,正月,宋,陆游,朝中措,1.0,1.0,1.0,positive,sorrow,sorrow,sorrow,0.0049,0.0,0.004934,0.0,0.0,0.004934,0.0,0.0,0.002632,"{""joy"": 0.0, ""sorrow"": 0.004934, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.004934, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.002632, ""dominant_emotion"": ""sorrow"", ""dominant_score"": 0.0049}","{""joy"": 0.0, ""sorrow"": 0.107143, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.0, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.0, ""dominant_emotion"": ""sorrow"", ""dominant_score"": 0.1071}","{""joy"": 0.0, ""sorrow"": 0.009434, ""longing"": 0.0, ""bold"": 0.0, ""elegant"": 0.004717, ""serene"": 0.0, ""resentment"": 0.0, ""anxiety"": 0.002516, ""dominant_emotion"": ""sorrow"", ""dominant_score"": 0.0094}"
