ID,sample_id,花名,月份,朝代,作者,诗名,top20_words,top5_preview
2,1,梅花,正月,南朝梁,鲍泉,咏梅花,"[[""梅花"", 0.4813], [""说明"", 0.2911], [""画面"", 0.2788], [""情景"", 0.2653], [""具体"", 0.2209], [""女子"", 0.2049], [""读者"", 0.1656], [""地方"", 0.1607], [""可能"", 0.149], [""更为"", 0.1472], [""起来"", 0.144], [""直接"", 0.1424], [""其实"", 0.1424], [""点明"", 0.1409], [""引起"", 0.1352], [""形象"", 0.1308], [""含蓄"", 0.1302], [""心情"", 0.129], [""看到"", 0.1278], [""突出"", 0.1267]]",梅花、说明、画面、情景、具体
154,2,虞美人,正月,宋,刘克庄,沁园春,"[[""梅花"", 0.838], [""咏梅"", 0.3487], [""品格"", 0.1549], [""清香"", 0.1178], [""佳人"", 0.1133], [""凄凉"", 0.1133], [""传说"", 0.1105], [""其实"", 0.1044], [""就是"", 0.0792], [""西湖"", 0.0669], [""杭州"", 0.0645], [""憔悴"", 0.0635], [""历史"", 0.0625], [""屈原"", 0.0625], [""议论"", 0.0597], [""东风"", 0.0589], [""前人"", 0.0581], [""烘托"", 0.0581], [""映衬"", 0.0574], [""冷落"", 0.0574]]",梅花、咏梅、品格、清香、佳人
150,3,虞美人,正月,宋,王沂孙,疏 影,"[[""意态"", 0.4415], [""梅花"", 0.365], [""故人"", 0.3596], [""意象"", 0.3264], [""象征"", 0.2564], [""拟人化"", 0.2517], [""神韵"", 0.1881], [""东风"", 0.1828], [""情态"", 0.1758], [""历史"", 0.1616], [""上片"", 0.1258], [""丰富"", 0.1187], [""创造"", 0.0969], [""无情"", 0.0955], [""命运"", 0.0955], [""传神"", 0.0868], [""充满"", 0.0857], [""形象"", 0.0826], [""时间"", 0.081], [""高洁"", 0.0793]]",意态、梅花、故人、意象、象征
149,4,虞美人,正月,宋,姜夔,疏 影,"[[""梅花"", 0.7698], [""词人"", 0.3475], [""佳人"", 0.2601], [""春风"", 0.2323], [""杜甫"", 0.1541], [""用典"", 0.1166], [""无情"", 0.113], [""咏梅"", 0.1068], [""女子"", 0.092], [""寄托"", 0.0885], [""形象"", 0.0881], [""典故"", 0.0877], [""首词"", 0.0804], [""东坡"", 0.0583], [""呼应"", 0.0549], [""东风"", 0.0541], [""前人"", 0.0534], [""零落"", 0.0527], [""映衬"", 0.0527], [""衬托"", 0.052]]",梅花、词人、佳人、春风、杜甫
146,5,虞美人,正月,元,朱晞颜,一尊红,"[[""梅花"", 0.6763], [""观赏"", 0.3011], [""喜爱"", 0.2639], [""寄托"", 0.2216], [""开放"", 0.1949], [""月光"", 0.1832], [""心情"", 0.145], [""正面"", 0.1437], [""生活"", 0.1399], [""写出"", 0.1061], [""海棠"", 0.0903], [""表明"", 0.0891], [""咏梅"", 0.0891], [""烘托"", 0.0891], [""意象"", 0.088], [""零落"", 0.088], [""欣赏"", 0.0868], [""至此"", 0.0858], [""写法"", 0.0847], [""可爱"", 0.0847]]",梅花、观赏、喜爱、寄托、开放
140,6,虞美人,正月,宋,李邴,汉宫春,"[[""梅花"", 0.9358], [""情怀"", 0.092], [""意思"", 0.088], [""地方"", 0.0852], [""咏梅"", 0.0841], [""无限"", 0.0724], [""情景"", 0.0703], [""看到"", 0.0678], [""故人"", 0.0671], [""首词"", 0.0633], [""不能"", 0.0613], [""清香"", 0.0568], [""风流"", 0.0561], [""冷落"", 0.0553], [""欣赏"", 0.0546], [""写出"", 0.0501], [""仿佛"", 0.0483], [""寂寞"", 0.0473], [""上片"", 0.0469], [""寄托"", 0.0465]]",梅花、情怀、意思、地方、咏梅
137,7,虞美人,正月,金,李献能,江梅引,"[[""梅花"", 0.7216], [""女子"", 0.2521], [""佳人"", 0.2138], [""上片"", 0.1836], [""词人"", 0.1587], [""相似"", 0.1444], [""李白"", 0.1391], [""传说"", 0.1391], [""时节"", 0.1328], [""其实"", 0.1314], [""美丽"", 0.1314], [""意境"", 0.126], [""诗意"", 0.1248], [""下片"", 0.1212], [""境界"", 0.1212], [""形象"", 0.0804], [""月光"", 0.0752], [""对象"", 0.0741], [""咏梅"", 0.0732], [""意象"", 0.0722]]",梅花、女子、佳人、上片、词人
136,8,虞美人,正月,宋,李清照,孤雁儿,"[[""梅花"", 0.6125], [""词人"", 0.4541], [""无人"", 0.3257], [""情怀"", 0.2945], [""咏梅"", 0.2691], [""首词"", 0.135], [""构思"", 0.0935], [""形态"", 0.0935], [""姿态"", 0.0897], [""极为"", 0.0874], [""特色"", 0.0863], [""春光"", 0.0853], [""形成"", 0.0833], [""孤独"", 0.0833], [""情绪"", 0.0823], [""全词"", 0.0823], [""引出"", 0.0806], [""内容"", 0.0797], [""心理"", 0.0781], [""抒情"", 0.0758]]",梅花、词人、无人、情怀、咏梅
135,9,虞美人,正月,宋,强至,渔家傲,"[[""梅花"", 0.674], [""咏梅"", 0.3331], [""清香"", 0.2813], [""词人"", 0.281], [""首词"", 0.2089], [""自有"", 0.1665], [""点明"", 0.148], [""相对"", 0.1125], [""意味"", 0.1068], [""品格"", 0.0986], [""女子"", 0.0956], [""意境"", 0.0956], [""境界"", 0.092], [""寄托"", 0.092], [""作为"", 0.0836], [""开放"", 0.0809], [""似乎"", 0.072], [""正是"", 0.0705], [""形象"", 0.061], [""韩愈"", 0.0597]]",梅花、咏梅、清香、词人、首词
127,10,梅花,正月,宋,陆游,朝中措,"[[""梅花"", 0.6669], [""主人公"", 0.4666], [""矛盾"", 0.2252], [""清香"", 0.1371], [""咏梅"", 0.1352], [""意味"", 0.1301], [""感受"", 0.1201], [""不可"", 0.1177], [""女子"", 0.1165], [""含蓄"", 0.111], [""心情"", 0.11], [""首词"", 0.1018], [""词人"", 0.0978], [""陆游"", 0.0826], [""神韵"", 0.0705], [""独立"", 0.0685], [""相对"", 0.0685], [""表明"", 0.0676], [""摇曳"", 0.0676], [""风韵"", 0.0667]]",梅花、主人公、矛盾、清香、咏梅
