ID,sample_id,花名,月份,朝代,作者,诗名,top20_words,top5_preview
2,1,梅花,正月,南朝梁,鲍泉,咏梅花,"[[""纤手"", 0.7484], [""可怜"", 0.6632]]",纤手、可怜
154,2,虞美人,正月,宋,刘克庄,沁园春,"[[""茅舍"", 0.4207], [""不敢"", 0.3975], [""汉宫"", 0.3794], [""处士"", 0.3794], [""芬芳"", 0.3794], [""凄凉"", 0.3414], [""梅花"", 0.3414]]",茅舍、不敢、汉宫、处士、芬芳
150,3,虞美人,正月,宋,王沂孙,疏 影,"[[""犹记"", 0.5526], [""参差"", 0.5275], [""相思"", 0.4897], [""东风"", 0.4201]]",犹记、参差、相思、东风
149,4,虞美人,正月,宋,姜夔,疏 影,"[[""金屋"", 0.3985], [""幽香"", 0.3764], [""犹记"", 0.3764], [""幽独"", 0.3764], [""归来"", 0.3454], [""相逢"", 0.3454], [""江南"", 0.3144], [""春风"", 0.2805]]",金屋、幽香、犹记、幽独、归来
146,5,虞美人,正月,元,朱晞颜,一尊红,"[[""长恨"", 0.5334], [""空山"", 0.5334], [""清浅"", 0.5039], [""东君"", 0.4208]]",长恨、空山、清浅、东君
140,6,虞美人,正月,宋,李邴,汉宫春,"[[""茅舍"", 0.3356], [""竹篱"", 0.3356], [""却是"", 0.3171], [""清浅"", 0.3171], [""冷落"", 0.3027], [""风流"", 0.2909], [""归来"", 0.2909], [""清香"", 0.2909], [""开时"", 0.281], [""无情"", 0.281], [""东君"", 0.2648]]",茅舍、竹篱、却是、清浅、冷落
137,7,虞美人,正月,金,李献能,江梅引,"[[""翠袖"", 0.4269], [""汉宫"", 0.4075], [""烟水"", 0.4075], [""断魂"", 0.4075], [""新妆"", 0.4075], [""冉冉"", 0.3917]]",翠袖、汉宫、烟水、断魂、新妆
136,8,虞美人,正月,宋,李清照,孤雁儿,"[[""肠断"", 0.5215], [""世人"", 0.4926], [""不尽"", 0.4926], [""萧萧"", 0.4926]]",肠断、世人、不尽、萧萧
135,9,虞美人,正月,宋,强至,渔家傲,"[[""清浅"", 0.5352], [""处士"", 0.5109], [""相对"", 0.4911], [""幽姿"", 0.4598]]",清浅、处士、相对、幽姿
127,10,梅花,正月,宋,陆游,朝中措,"[[""清香"", 0.5392], [""凄凉"", 0.5048], [""幽姿"", 0.5048], [""东风"", 0.4468]]",清香、凄凉、幽姿、东风
155,11,虞美人,正月,宋,吴文英,贺新郎,"[[""英雄"", 0.5883], [""相对"", 0.5099], [""东君"", 0.4641], [""东风"", 0.4225]]",英雄、相对、东君、东风
355,12,棠梨花,正月,清,杜文澜,东风第一枝,"[[""金钱"", 0.5272], [""最怜"", 0.498], [""古寺"", 0.498], [""夕阳"", 0.4754]]",金钱、最怜、古寺、夕阳
157,13,迎春花,正月,唐,白居易.,代迎春花招刘郎中,"[[""相近"", 0.6305], [""看来"", 0.6305], [""桃李"", 0.4528]]",相近、看来、桃李
5,14,梅花,正月,宋,苏轼,和秦太虚梅花,"[[""点缀"", 0.4268], [""西湖"", 0.3916], [""先生"", 0.3782], [""佳人"", 0.3782], [""风雨"", 0.3782], [""多情"", 0.3472], [""不知"", 0.339]]",点缀、西湖、先生、佳人、风雨
6,15,梅花,正月,宋,苏轼,十一月二十六日，松风亭下梅花盛开，,"[[""长条"", 0.3566], [""相见"", 0.3566], [""流落"", 0.3369], [""独秀"", 0.3369], [""断魂"", 0.3216], [""酒醒"", 0.3091], [""先生"", 0.2986], [""叹息"", 0.2894], [""梅花"", 0.2894], [""春风"", 0.2511]]",长条、相见、流落、独秀、断魂
7,16,梅花,正月,宋,苏轼,再用前韵,"[[""纷纷"", 0.4353], [""蓬莱"", 0.4353], [""相顾"", 0.4156], [""酒醒"", 0.3994], [""先生"", 0.3858], [""梅花"", 0.374]]",纷纷、蓬莱、相顾、酒醒、先生
