词,C3,C3_zh,C2,C1,source
化干戈为玉帛,ease,平和安适,pleasure,positive,FCCPSL
和蔼可亲,ease,平和安适,pleasure,positive,FCCPSL
一帆风顺,ease,平和安适,pleasure,positive,FCCPSL
中原逐鹿,ease,平和安适,pleasure,positive,FCCPSL
得意忘言,ease,平和安适,pleasure,positive,FCCPSL
锵金鸣玉,ease,平和安适,pleasure,positive,FCCPSL
大梦初醒,ease,平和安适,pleasure,positive,FCCPSL
各得其所,ease,平和安适,pleasure,positive,FCCPSL
自我陶醉,ease,平和安适,pleasure,positive,FCCPSL
顺流而下,ease,平和安适,pleasure,positive,FCCPSL
风清气爽,ease,平和安适,pleasure,positive,FCCPSL
叙事抒情,ease,平和安适,pleasure,positive,FCCPSL
归隐田园,ease,平和安适,pleasure,positive,FCCPSL
顺理成章,ease,平和安适,pleasure,positive,FCCPSL
周而复始,ease,平和安适,pleasure,positive,FCCPSL
融情入景,ease,平和安适,pleasure,positive,FCCPSL
水落石出,ease,平和安适,pleasure,positive,FCCPSL
风平浪静,ease,平和安适,pleasure,positive,FCCPSL
塞翁失马,ease,平和安适,pleasure,positive,FCCPSL
花气袭人,ease,平和安适,pleasure,positive,FCCPSL
安闲自得,ease,平和安适,pleasure,positive,FCCPSL
曲径通幽,ease,平和安适,pleasure,positive,FCCPSL
乐天知命,ease,平和安适,pleasure,positive,FCCPSL
平安无事,ease,平和安适,pleasure,positive,FCCPSL
安居乐业,ease,平和安适,pleasure,positive,FCCPSL
和光同尘,ease,平和安适,pleasure,positive,FCCPSL
独善其身,ease,平和安适,pleasure,positive,FCCPSL
人身自由,ease,平和安适,pleasure,positive,FCCPSL
不慌不忙,ease,平和安适,pleasure,positive,FCCPSL
钟鼓馔玉,ease,平和安适,pleasure,positive,FCCPSL
清风朗月,ease,平和安适,pleasure,positive,FCCPSL
东山高卧,ease,平和安适,pleasure,positive,FCCPSL
左右逢源,ease,平和安适,pleasure,positive,FCCPSL
自然之美,ease,平和安适,pleasure,positive,FCCPSL
鸿飞冥冥,ease,平和安适,pleasure,positive,FCCPSL
自不待言,ease,平和安适,pleasure,positive,FCCPSL
官运亨通,ease,平和安适,pleasure,positive,FCCPSL
遁世无闷,ease,平和安适,pleasure,positive,FCCPSL
灯火通明,ease,平和安适,pleasure,positive,FCCPSL
从容自若,ease,平和安适,pleasure,positive,FCCPSL
六根清净,ease,平和安适,pleasure,positive,FCCPSL
峰回路转,ease,平和安适,pleasure,positive,FCCPSL
转危为安,ease,平和安适,pleasure,positive,FCCPSL
甘心情愿,ease,平和安适,pleasure,positive,FCCPSL
民膏民脂,ease,平和安适,pleasure,positive,FCCPSL
安身立命,ease,平和安适,pleasure,positive,FCCPSL
民脂民膏,ease,平和安适,pleasure,positive,FCCPSL
心安理得,ease,平和安适,pleasure,positive,FCCPSL
情因景生,ease,平和安适,pleasure,positive,FCCPSL
泛泛之交,ease,平和安适,pleasure,positive,FCCPSL
借事抒情,ease,平和安适,pleasure,positive,FCCPSL
在所难免,ease,平和安适,pleasure,positive,FCCPSL
如释重负,ease,平和安适,pleasure,positive,FCCPSL
志得意满,ease,平和安适,pleasure,positive,FCCPSL
有恃无恐,ease,平和安适,pleasure,positive,FCCPSL
高枕无忧,ease,平和安适,pleasure,positive,FCCPSL
长治久安,ease,平和安适,pleasure,positive,FCCPSL
问心无愧,ease,平和安适,pleasure,positive,FCCPSL
供不应求,ease,平和安适,pleasure,positive,FCCPSL
闲云野鹤,ease,平和安适,pleasure,positive,FCCPSL
不以为奇,ease,平和安适,pleasure,positive,FCCPSL
日丽风和,ease,平和安适,pleasure,positive,FCCPSL
平平安安,ease,平和安适,pleasure,positive,FCCPSL
闲情逸志,ease,平和安适,pleasure,positive,FCCPSL
安然无恙,ease,平和安适,pleasure,positive,FCCPSL
若无其事,ease,平和安适,pleasure,positive,FCCPSL
泰然自若,ease,平和安适,pleasure,positive,FCCPSL
肝胆照人,ease,平和安适,pleasure,positive,FCCPSL
作如是观,ease,平和安适,pleasure,positive,FCCPSL
闲适恬淡,ease,平和安适,pleasure,positive,FCCPSL
天从人愿,ease,平和安适,pleasure,positive,FCCPSL
秋月春风,ease,平和安适,pleasure,positive,FCCPSL
乐天安命,ease,平和安适,pleasure,positive,FCCPSL
无牵无挂,ease,平和安适,pleasure,positive,FCCPSL
河清海晏,ease,平和安适,pleasure,positive,FCCPSL
处之泰然,ease,平和安适,pleasure,positive,FCCPSL
恬淡无为,ease,平和安适,pleasure,positive,FCCPSL
人生得意,ease,平和安适,pleasure,positive,FCCPSL
心情平静,ease,平和安适,pleasure,positive,FCCPSL
仕途得意,ease,平和安适,pleasure,positive,FCCPSL
大运亨通,ease,平和安适,pleasure,positive,FCCPSL
对景抒情,ease,平和安适,pleasure,positive,FCCPSL
依然如旧,ease,平和安适,pleasure,positive,FCCPSL
自然灾难,ease,平和安适,pleasure,positive,FCCPSL
恬淡寡欲,ease,平和安适,pleasure,positive,FCCPSL
从容自得,ease,平和安适,pleasure,positive,FCCPSL
逍遥自由,ease,平和安适,pleasure,positive,FCCPSL
闲情雅志,ease,平和安适,pleasure,positive,FCCPSL
