词,C3,C3_zh,C2,C1,词长
敢怒而不敢言,anger,愤怒不平,disgust,negative,6
一刀两断,anger,愤怒不平,disgust,negative,4
一怒之下,anger,愤怒不平,disgust,negative,4
义愤填膺,anger,愤怒不平,disgust,negative,4
令人愤慨,anger,愤怒不平,disgust,negative,4
决一死战,anger,愤怒不平,disgust,negative,4
刻骨仇恨,anger,愤怒不平,disgust,negative,4
反战情绪,anger,愤怒不平,disgust,negative,4
发上冲冠,anger,愤怒不平,disgust,negative,4
咬牙切齿,anger,愤怒不平,disgust,negative,4
奇耻大辱,anger,愤怒不平,disgust,negative,4
强烈抗议,anger,愤怒不平,disgust,negative,4
怒不可遏,anger,愤怒不平,disgust,negative,4
怒发冲冠,anger,愤怒不平,disgust,negative,4
怒气冲冲,anger,愤怒不平,disgust,negative,4
怒火中烧,anger,愤怒不平,disgust,negative,4
悲愤填膺,anger,愤怒不平,disgust,negative,4
愤世嫉俗,anger,愤怒不平,disgust,negative,4
愤恨填膺,anger,愤怒不平,disgust,negative,4
愤愤不平,anger,愤怒不平,disgust,negative,4
扬长而去,anger,愤怒不平,disgust,negative,4
抑塞不平,anger,愤怒不平,disgust,negative,4
拂袖而去,anger,愤怒不平,disgust,negative,4
拍案叫好,anger,愤怒不平,disgust,negative,4
拍案称绝,anger,愤怒不平,disgust,negative,4
拔旗斩将,anger,愤怒不平,disgust,negative,4
模声绘色,anger,愤怒不平,disgust,negative,4
气冲斗牛,anger,愤怒不平,disgust,negative,4
气势汹汹,anger,愤怒不平,disgust,negative,4
疾恶如仇,anger,愤怒不平,disgust,negative,4
竭泽而渔,anger,愤怒不平,disgust,negative,4
精疲力尽,anger,愤怒不平,disgust,negative,4
精疲力竭,anger,愤怒不平,disgust,negative,4
绘形绘色,anger,愤怒不平,disgust,negative,4
绳之以法,anger,愤怒不平,disgust,negative,4
脾气火暴,anger,愤怒不平,disgust,negative,4
舍我莫属,anger,愤怒不平,disgust,negative,4
茫然若失,anger,愤怒不平,disgust,negative,4
迁怒于人,anger,愤怒不平,disgust,negative,4
针锋相对,anger,愤怒不平,disgust,negative,4
发脾气,anger,愤怒不平,disgust,negative,3
愤愤然,anger,愤怒不平,disgust,negative,3
无生气,anger,愤怒不平,disgust,negative,3
清君侧,anger,愤怒不平,disgust,negative,3
牺牲品,anger,愤怒不平,disgust,negative,3
眼中钉,anger,愤怒不平,disgust,negative,3
经不起,anger,愤怒不平,disgust,negative,3
鸣不平,anger,愤怒不平,disgust,negative,3
不平,anger,愤怒不平,disgust,negative,2
不忿,anger,愤怒不平,disgust,negative,2
义愤,anger,愤怒不平,disgust,negative,2
众怒,anger,愤怒不平,disgust,negative,2
出气,anger,愤怒不平,disgust,negative,2
剖白,anger,愤怒不平,disgust,negative,2
劈头,anger,愤怒不平,disgust,negative,2
劈开,anger,愤怒不平,disgust,negative,2
动气,anger,愤怒不平,disgust,negative,2
勃然,anger,愤怒不平,disgust,negative,2
厉声,anger,愤怒不平,disgust,negative,2
发作,anger,愤怒不平,disgust,negative,2
发怒,anger,愤怒不平,disgust,negative,2
发指,anger,愤怒不平,disgust,negative,2
发泄,anger,愤怒不平,disgust,negative,2
变色,anger,愤怒不平,disgust,negative,2
叫嚣,anger,愤怒不平,disgust,negative,2
叫嚷,anger,愤怒不平,disgust,negative,2
叵耐,anger,愤怒不平,disgust,negative,2
含怒,anger,愤怒不平,disgust,negative,2
呐喊,anger,愤怒不平,disgust,negative,2
呼啸,anger,愤怒不平,disgust,negative,2
咆哮,anger,愤怒不平,disgust,negative,2
嗔怒,anger,愤怒不平,disgust,negative,2
处罚,anger,愤怒不平,disgust,negative,2
处置,anger,愤怒不平,disgust,negative,2
复仇,anger,愤怒不平,disgust,negative,2
大怒,anger,愤怒不平,disgust,negative,2
失落,anger,愤怒不平,disgust,negative,2
宣泄,anger,愤怒不平,disgust,negative,2
寻仇,anger,愤怒不平,disgust,negative,2
强取,anger,愤怒不平,disgust,negative,2
忧愤,anger,愤怒不平,disgust,negative,2
怒气,anger,愤怒不平,disgust,negative,2
怒火,anger,愤怒不平,disgust,negative,2
怨愤,anger,愤怒不平,disgust,negative,2
怫郁,anger,愤怒不平,disgust,negative,2
恼怒,anger,愤怒不平,disgust,negative,2
悲愤,anger,愤怒不平,disgust,negative,2
悻然,anger,愤怒不平,disgust,negative,2
惩办,anger,愤怒不平,disgust,negative,2
惩处,anger,愤怒不平,disgust,negative,2
惩治,anger,愤怒不平,disgust,negative,2
惩罚,anger,愤怒不平,disgust,negative,2
感愤,anger,愤怒不平,disgust,negative,2
愤世,anger,愤怒不平,disgust,negative,2
愤怒,anger,愤怒不平,disgust,negative,2
愤悱,anger,愤怒不平,disgust,negative,2
愤愤,anger,愤怒不平,disgust,negative,2
愤慨,anger,愤怒不平,disgust,negative,2
愤懑,anger,愤怒不平,disgust,negative,2
愤激,anger,愤怒不平,disgust,negative,2
愤然,anger,愤怒不平,disgust,negative,2
愤盈,anger,愤怒不平,disgust,negative,2
愤而,anger,愤怒不平,disgust,negative,2
抗议,anger,愤怒不平,disgust,negative,2
报仇,anger,愤怒不平,disgust,negative,2
拂袖,anger,愤怒不平,disgust,negative,2
拍案,anger,愤怒不平,disgust,negative,2
敌忾,anger,愤怒不平,disgust,negative,2
敌情,anger,愤怒不平,disgust,negative,2
敌手,anger,愤怒不平,disgust,negative,2
敌焰,anger,愤怒不平,disgust,negative,2
有气,anger,愤怒不平,disgust,negative,2
杀气,anger,愤怒不平,disgust,negative,2
来气,anger,愤怒不平,disgust,negative,2
横眉,anger,愤怒不平,disgust,negative,2
民愤,anger,愤怒不平,disgust,negative,2
气愤,anger,愤怒不平,disgust,negative,2
泄愤,anger,愤怒不平,disgust,negative,2
