id,title,dynasty,flower,c3_ease,c3_joy,c3_praise,c3_like,c3_faith,c3_wish,c3_peculiar,c3_sorrow,c3_miss,c3_fear,c3_guilt,c3_criticize,c3_anger,c3_vexed,c3_misgive,c2_pleasure,c2_favour,c2_surprise,c2_sadness,c2_disgust,pos_score,neg_score,polarity,polarity_conf,dominant_c3,dominant_c3_zh,dominant_c3_score,dominant_c2,matched_words,poem_matched_words,analysis_matched_words,dom_denoised,dom_denoised_score,dom_denoised_zh,dom_denoised_pole,siku_label,siku_label_zh,siku_conf,siku_polarity,siku_prob_0,siku_prob_1,siku_prob_2,siku_prob_3,siku_prob_4,theme_label,theme_label_zh,theme_conf,theme_label_2,theme_label_zh_2,theme_conf_2,theme_label_3,theme_label_zh_3,theme_conf_3,theme_prob_0,theme_prob_1,theme_prob_2,theme_prob_3,theme_prob_4,theme_prob_5,theme_prob_6,theme_prob_7,theme_prob_8,theme_prob_9,ccpoem_label,ccpoem_label_zh,ccpoem_conf,ccpoem_polarity,ccpoem_prob_0,ccpoem_prob_1,ccpoem_prob_2,ccpoem_prob_3,ccpoem_prob_4
0,早 梅,南朝梁,梅花,0.001222,0.014445,0.09728,0.013834,0.000611,0.001834,0.001834,0.030112,0.000611,0.003056,0.000306,0.017806,0.0,0.0,0.000611,0.015667,0.113559,0.001834,0.034084,0.018417,0.13106,0.052501,positive,0.428,praise,赞美,0.09728,favour,49.6,10,109,c3_sorrow,0.030112,悲伤,negative,3,隐性正面,0.3782,positive,0.0141,0.2052,0.3358,0.3782,0.0668,1,咏物,0.93,7,边塞战争,0.0083,5,咏史,0.0081,0.0076,0.93,0.0075,0.0079,0.0074,0.0081,0.0077,0.0083,0.0077,0.0078,3,隐性正面,0.6798,positive,0.0044,0.0552,0.134,0.6798,0.1265
1,咏梅花,南朝梁,梅花,0.004251,0.00255,0.04348,0.002125,0.004251,0.00085,0.0,0.052104,0.0,0.00085,0.0,0.032976,0.0,0.034251,0.00085,0.006801,0.050706,0.0,0.052954,0.068076,0.057508,0.12103,negative,0.3558,sorrow,悲伤,0.05848,disgust,40.6,5,94,c3_sorrow,0.052104,悲伤,negative,1,隐性负面,0.592,negative,0.328,0.592,0.0505,0.0218,0.0076,1,咏物,0.9326,8,闺怨,0.0087,7,边塞战争,0.008,0.0069,0.9326,0.0076,0.0074,0.0071,0.0073,0.0073,0.008,0.0087,0.0072,1,隐性负面,0.8331,negative,0.0475,0.8331,0.0935,0.0239,0.002
2,梅 花,北朝周,梅花,0.001153,0.000384,0.056513,0.018074,0.001537,0.001537,0.0,0.03037,0.003842,0.003074,0.002306,0.041143,0.000768,0.000768,0.001537,0.001537,0.07766,0.0,0.039592,0.044217,0.079198,0.083809,neutral,0.0,praise,赞美,0.056513,favour,50.8,10,112,c3_sorrow,0.03037,悲伤,negative,2,中性,0.3547,neutral,0.0233,0.3309,0.3547,0.2507,0.0404,1,咏物,0.9307,7,边塞战争,0.0086,3,怀人,0.0079,0.007,0.9307,0.0078,0.0079,0.0075,0.0079,0.0075,0.0086,0.0076,0.0075,1,隐性负面,0.4555,negative,0.0198,0.4555,0.3678,0.1516,0.0052
3,梅花落,南朝宋,梅花,0.002652,0.051061,0.146386,0.016744,0.0125,0.0,0.0,0.054244,0.0,0.001061,0.0,0.05872,0.0,0.002652,0.001061,0.053713,0.175629,0.0,0.055305,0.062434,0.229343,0.117739,positive,0.3215,praise,赞美,0.146386,favour,50.8,18,100,c3_sorrow,0.054244,悲伤,negative,1,隐性负面,0.6221,negative,0.1216,0.6221,0.1545,0.0792,0.0226,1,咏物,0.9316,7,边塞战争,0.0087,9,送别,0.0078,0.0069,0.9316,0.0069,0.0076,0.0074,0.0078,0.0075,0.0087,0.0078,0.0078,1,隐性负面,0.5651,negative,0.0624,0.5651,0.2593,0.1046,0.0086
4,和秦太虚梅花,宋,梅花,0.00102,0.019133,0.077296,0.072704,0.000765,0.0,0.0,0.042857,0.001531,0.001786,0.00102,0.057143,0.005357,0.002551,0.00051,0.020153,0.150765,0.0,0.047194,0.065562,0.170919,0.112755,positive,0.205,like,喜爱,0.08801,favour,77.0,35,140,c3_like,0.072704,喜爱,positive,1,隐性负面,0.4016,negative,0.025,0.4016,0.2973,0.2435,0.0326,1,咏物,0.9238,8,闺怨,0.0109,7,边塞战争,0.01,0.0066,0.9238,0.0088,0.0089,0.0078,0.0083,0.0078,0.01,0.0109,0.0071,2,中性,0.4167,neutral,0.0071,0.1355,0.4167,0.4106,0.0302
5,十一月二十六日，松风亭下梅花盛开,宋,梅花,0.006081,0.010116,0.08371,0.011174,0.001586,0.0,0.0,-7e-05,0.006415,0.005886,0.0,0.027245,0.0,0.009059,0.0,0.016197,0.096471,0.0,0.012231,0.036303,0.112668,0.048535,positive,0.3978,praise,赞美,0.08371,favour,69.4,29,130,c3_like,0.011174,喜爱,positive,1,隐性负面,0.3926,negative,0.0258,0.3926,0.3591,0.1954,0.0271,6,田园,0.5663,1,咏物,0.2897,5,咏史,0.0309,0.0286,0.2897,0.0153,0.0147,0.0135,0.0309,0.5663,0.0196,0.0124,0.0091,3,隐性正面,0.4313,positive,0.0092,0.1532,0.3957,0.4313,0.0105
6,再用前韵,宋,梅花,0.002405,0.003741,0.135172,0.019812,0.008029,0.0,0.001603,0.012852,0.0,0.000534,0.0,0.065608,0.0,0.003206,0.0,0.006146,0.163014,0.001603,0.013386,0.068815,0.170763,0.082201,positive,0.3501,praise,赞美,0.135172,favour,74.2,33,136,c3_like,0.019812,喜爱,positive,2,中性,0.4225,neutral,0.0219,0.292,0.4225,0.2292,0.0344,6,田园,0.9303,1,咏物,0.0113,5,咏史,0.0086,0.0081,0.0113,0.0072,0.0069,0.0065,0.0086,0.9303,0.0083,0.0067,0.0061,2,中性,0.5796,neutral,0.0171,0.1565,0.5796,0.2347,0.0122
7,江 梅,唐,梅花,0.002797,0.038951,0.075315,0.020594,0.003357,0.0,0.0,0.023392,0.033357,0.0,0.0,0.016678,0.0,0.007273,0.001119,0.041748,0.099266,0.0,0.056748,0.02507,0.141014,0.081818,positive,0.2657,joy,喜悦,0.075315,favour,38.4,8,84,c3_joy,0.038951,喜悦,positive,1,隐性负面,0.6943,negative,0.1865,0.6943,0.0664,0.0408,0.012,0,思乡,0.932,1,咏物,0.0084,9,送别,0.008,0.932,0.0084,0.0079,0.0069,0.0076,0.0074,0.007,0.0072,0.0077,0.008,1,隐性负面,0.7212,negative,0.0209,0.7212,0.1777,0.0769,0.0033
8,山路梅,唐,梅花,0.006283,0.017094,0.098744,0.018141,0.003141,0.003141,0.0,0.058089,0.002094,0.001047,0.0,0.055995,0.0,0.005236,0.0,0.023377,0.123167,0.0,0.061231,0.06123,0.146544,0.122461,neutral,0.0,praise,赞美,0.098744,favour,40.8,10,87,c3_sorrow,0.058089,悲伤,negative,1,隐性负面,0.6584,negative,0.1041,0.6584,0.1561,0.0689,0.0126,1,咏物,0.925,6,田园,0.0132,7,边塞战争,0.0087,0.0081,0.925,0.0083,0.0073,0.0075,0.0072,0.0132,0.0087,0.0073,0.0075,2,中性,0.3807,neutral,0.0065,0.2584,0.3807,0.3448,0.0096
9,.看早梅,唐,梅花,0.000972,0.00243,0.143658,0.008262,0.002916,0.0,0.0,0.020245,0.0,0.000972,0.0,0.039032,0.0,0.0,0.0,0.003402,0.154837,0.0,0.021217,0.039032,0.158239,0.060249,positive,0.4485,praise,赞美,0.143658,favour,37.6,10,79,c3_sorrow,0.020245,悲伤,negative,3,隐性正面,0.3867,positive,0.0118,0.1734,0.3677,0.3867,0.0604,1,咏物,0.9279,8,闺怨,0.0095,7,边塞战争,0.0088,0.0079,0.9279,0.0079,0.0074,0.0071,0.0078,0.0084,0.0088,0.0095,0.0073,3,隐性正面,0.7032,positive,0.019,0.07,0.1689,0.7032,0.0389
