poem_poem_id,诗名,花名,朝代,poem_top10_ids,poem_top10_names,poem_top10_scores,ana_top10_ids,ana_top10_names,ana_top10_scores
2,咏梅花,梅花,南朝梁,"[259, 601, 946, 599, 266, 796, 440, 782, 949, 919]","[""定风波"", ""榴 花"", ""红 梅"", ""海 榴"", ""杏‘ 花"", ""桂 花"", ""六 丑"", ""同儿曹赋芦花"", ""红 梅"", ""芙蓉""]","[0.4199, 0.399, 0.3863, 0.304, 0.2813, 0.2799, 0.2584, 0.2456, 0.2405, 0.2326]","[136, 137, 957, 127, 140, 948, 959, 956, 952, 611]","[""孤雁儿"", ""江梅引"", ""玉楼春"", ""朝中措"", ""汉宫春"", ""红 梅"", ""小重山"", ""留春 令"", ""红梅四首(其二)"", ""石竹花""]","[0.9317, 0.9276, 0.9252, 0.9242, 0.9234, 0.9217, 0.9208, 0.9195, 0.9186, 0.9171]"
154,沁园春,虞美人,宋,"[225, 223, 559, 466, 521, 999, 841, 955, 136, 962]","[""摸鱼儿"", ""二月二十四夜饮海棠下作"", ""定风波"", ""贺新郎"", ""木棉花歌"", ""西江月"", ""山园草间菊数枝开，席地独酌"", ""种红梅一株于竹下赋此"", ""孤雁儿"", ""水仙花""]","[0.707, 0.5321, 0.5033, 0.3554, 0.3229, 0.3105, 0.3043, 0.2674, 0.2662, 0.2626]","[953, 948, 149, 127, 949, 179, 5, 952, 181, 947]","[""题延平刘郎中廷信所藏红梅"", ""红 梅"", ""疏 影"", ""朝中措"", ""红 梅"", ""折海棠戏赠圣俞"", ""和秦太虚梅花"", ""红梅四首(其二)"", ""寓居定惠院之东，杂花溝山，有海棠一株，土人不知贵也"", ""红 梅""]","[0.9443, 0.9423, 0.9409, 0.9388, 0.9351, 0.9345, 0.9344, 0.9332, 0.933, 0.9316]"
150,疏 影,虞美人,宋,"[955, 481, 137, 770, 932, 327, 260, 699, 355, 146]","[""种红梅一株于竹下赋此"", ""喜迁莺"", ""江梅引"", ""水龙吟蓼花"", ""酷相思"", ""东风第一枝"", ""露 华"", ""踏莎行"", ""东风第一枝"", ""一尊红""]","[0.681, 0.6614, 0.631, 0.5576, 0.5431, 0.5365, 0.5058, 0.5029, 0.4912, 0.4876]","[135, 956, 984, 966, 127, 962, 948, 957, 149, 952]","[""渔家傲"", ""留春 令"", ""贺新郎"", ""水仙花"", ""朝中措"", ""水仙花"", ""红 梅"", ""玉楼春"", ""疏 影"", ""红梅四首(其二)""]","[0.9534, 0.938, 0.928, 0.9278, 0.9275, 0.9241, 0.9205, 0.9196, 0.919, 0.919]"
149,疏 影,虞美人,宋,"[608, 512, 155, 146, 406, 699, 703, 481, 150, 959]","[""贺新郎"", ""声声慢"", ""贺新郎"", ""一尊红"", ""水龙吟"", ""踏莎行"", ""水龙吟"", ""喜迁莺"", ""疏 影"", ""小重山""]","[0.5103, 0.4917, 0.4512, 0.435, 0.435, 0.4335, 0.4208, 0.4138, 0.4116, 0.393]","[127, 154, 136, 137, 949, 817, 135, 956, 505, 945]","[""朝中措"", ""沁园春"", ""孤雁儿"", ""江梅引"", ""红 梅"", ""古香慢"", ""渔家傲"", ""留春 令"", ""如梦"", ""岭上红梅""]","[0.9504, 0.9409, 0.9402, 0.9361, 0.9354, 0.935, 0.9342, 0.9341, 0.9334, 0.9312]"
146,一尊红,虞美人,元,"[327, 703, 957, 260, 155, 903, 959, 770, 150, 817]","[""东风第一枝"", ""水龙吟"", ""玉楼春"", ""露 华"", ""贺新郎"", ""绛都春"", ""小重山"", ""水龙吟蓼花"", ""疏 影"", ""古香慢""]","[0.6152, 0.5913, 0.5852, 0.565, 0.5642, 0.5379, 0.5265, 0.5151, 0.4876, 0.4689]","[221, 952, 140, 505, 948, 406, 946, 760, 611, 136]","[""南乡子"", ""红梅四首(其二)"", ""汉宫春"", ""如梦"", ""红 梅"", ""水龙吟"", ""红 梅"", ""蝶恋花"", ""石竹花"", ""孤雁儿""]","[0.9353, 0.9301, 0.9295, 0.9272, 0.9265, 0.9258, 0.9251, 0.9213, 0.9211, 0.921]"
140,汉宫春,虞美人,宋,"[770, 703, 137, 543, 343, 260, 699, 704, 150, 956]","[""水龙吟蓼花"", ""水龙吟"", ""江梅引"", ""水龙吟"", ""念奴娇"", ""露 华"", ""踏莎行"", ""水龙吟白莲"", ""疏 影"", ""留春 令""]","[0.6074, 0.5806, 0.5497, 0.4811, 0.4765, 0.4741, 0.4659, 0.4576, 0.4492, 0.4425]","[952, 948, 127, 946, 987, 154, 146, 135, 611, 2]","[""红梅四首(其二)"", ""红 梅"", ""朝中措"", ""红 梅"", ""戏咏蜡梅二首"", ""沁园春"", ""一尊红"", ""渔家傲"", ""石竹花"", ""咏梅花""]","[0.9342, 0.9341, 0.9338, 0.933, 0.9313, 0.9304, 0.9295, 0.925, 0.9243, 0.9234]"
137,江梅引,虞美人,金,"[260, 150, 770, 817, 224, 959, 542, 699, 140, 703]","[""露 华"", ""疏 影"", ""水龙吟蓼花"", ""古香慢"", ""宴清都"", ""小重山"", ""浪淘沙"", ""踏莎行"", ""汉宫春"", ""水龙吟""]","[0.65, 0.631, 0.5727, 0.5716, 0.5687, 0.5622, 0.5584, 0.5531, 0.5497, 0.5477]","[957, 959, 136, 505, 363, 481, 979, 291, 149, 948]","[""玉楼春"", ""小重山"", ""孤雁儿"", ""如梦"", ""远公亭牡丹"", ""喜迁莺"", ""菩萨蛮"", ""画堂春"", ""疏 影"", ""红 梅""]","[0.9436, 0.9404, 0.9404, 0.9398, 0.9395, 0.9393, 0.9376, 0.9373, 0.9361, 0.9361]"
136,孤雁儿,虞美人,宋,"[608, 559, 466, 984, 515, 896, 932, 564, 406, 149]","[""贺新郎"", ""定风波"", ""贺新郎"", ""贺新郎"", ""水龙吟"", ""卖花声"", ""酷相思"", ""赋虞美人草"", ""水龙吟"", ""疏 影""]","[0.5428, 0.538, 0.5227, 0.4927, 0.4507, 0.4296, 0.4011, 0.3934, 0.3897, 0.3814]","[127, 137, 149, 959, 979, 223, 481, 2, 949, 505]","[""朝中措"", ""江梅引"", ""疏 影"", ""小重山"", ""菩萨蛮"", ""二月二十四夜饮海棠下作"", ""喜迁莺"", ""咏梅花"", ""红 梅"", ""如梦""]","[0.9522, 0.9404, 0.9402, 0.9399, 0.9391, 0.9368, 0.9354, 0.9317, 0.9316, 0.9298]"
135,渔家傲,虞美人,宋,"[938, 905, 791, 789, 187, 760, 931, 958, 898, 703]","[""野菊座主闲闲公命作"", ""茶轩为陈惟寅赋"", ""曼陀罗"", ""金钗股"", ""海棠"", ""蝶恋花"", ""婆罗门引"", ""蝶恋花"", ""鹪鸪天"", ""水龙吟""]","[0.4023, 0.3719, 0.3329, 0.2948, 0.2942, 0.291, 0.2889, 0.2875, 0.283, 0.2575]","[150, 127, 149, 956, 952, 946, 756, 140, 948, 984]","[""疏 影"", ""朝中措"", ""疏 影"", ""留春 令"", ""红梅四首(其二)"", ""红 梅"", ""白秋海棠"", ""汉宫春"", ""红 梅"", ""贺新郎""]","[0.9534, 0.9421, 0.9342, 0.9321, 0.93, 0.9286, 0.9256, 0.925, 0.9244, 0.9227]"
127,朝中措,梅花,宋,"[986, 183, 997, 781, 759, 996, 925, 984, 837, 228]","[""荀秀才送蜡梅十枝奇甚为赋此诗"", ""海棠歌"", ""咏瑞香"", ""紫 薇"", ""南柯子"", ""瑞香花新开(五首之一)"", ""芙 蓉"", ""贺新郎"", ""菊 花"", ""桃 花""]","[0.5993, 0.5107, 0.3946, 0.3008, 0.2856, 0.2594, 0.2441, 0.2403, 0.2268, 0.2187]","[136, 149, 223, 948, 135, 957, 986, 857, 154, 952]","[""孤雁儿"", ""疏 影"", ""二月二十四夜饮海棠下作"", ""红 梅"", ""渔家傲"", ""玉楼春"", ""荀秀才送蜡梅十枝奇甚为赋此诗"", ""晚香轩"", ""沁园春"", ""红梅四首(其二)""]","[0.9522, 0.9504, 0.9473, 0.9429, 0.9421, 0.9416, 0.94, 0.9399, 0.9388, 0.9384]"
