ID,诗名,花名,top10_count,imagery_count,imagery_ratio,nature_count,culture_count,action_count,imagery_tokens,non_imagery_tokens
2,咏梅花,梅花,10,1,0.1,1,0,0,梅,愁、帘、幌、梳、窗、怜、眉、罗、飘
154,沁园春,虞美人,10,4,0.4,4,0,0,寒、香、山、日,节、黛、芬、旄、羌、茅
150,疏 影,虞美人,10,4,0.4,4,0,0,寒、云、月、香,藓、清、茸、娉、虬、棹
149,疏 影,虞美人,10,1,0.1,1,0,0,香,蛾、佩、翠、苔、沙、怨、篱、角、绿
146,一尊红,虞美人,10,5,0.5,4,1,0,寒、露、月、香、笛,一、冷、帘、暖、苔
140,汉宫春,虞美人,10,8,0.8,8,0,0,寒、云、霜、月、梅、花、香、竹,堂、塞
137,江梅引,虞美人,10,5,0.5,5,0,0,鸿、月、霜、云、竹,烟、粟、渺、绿、清
136,孤雁儿,虞美人,10,5,0.5,4,1,0,雨、寒、枝、风、笛,泪、炉、箫、帐、耳
135,渔家傲,虞美人,10,4,0.4,4,0,0,溪、花、云、枝,玉、清、士、瘦、楚、画
127,朝中措,梅花,10,3,0.3,2,0,1,月、香、零,管、心、凉、旧、任、幽、姿
155,贺新郎,虞美人,10,5,0.5,5,0,0,寒、云、竹、露、梅,苔、泪、浪、木、舰
355,东风第一枝,棠梨花,10,2,0.2,2,0,0,寒、蝶,烟、苔、凤、阳、靴、桑、园、心
157,代迎春花招刘郎中,迎春花,10,2,0.2,2,0,0,松、花,筠、园、敢、看、李、有、妨、与
5,和秦太虚梅花,梅花,10,4,0.4,4,0,0,江、山、花、湖,坡、裙、心、马、腰、孤
6,十一月二十六日，松风亭下梅花盛开，,梅花,10,3,0.3,3,0,0,松、花、云,浦、蕊、愁、淮、荔、桄、棘
7,再用前韵,梅花,10,2,0.2,2,0,0,山、花,洒、蕊、园、门、桑、莱、清、绿
12,十一月中旬扶风界见梅花,梅花,10,3,0.3,3,0,0,霜、香、月,亭、青、娥、女、伤、路、肠
202,赏海棠三绝,樱桃花,10,6,0.6,5,1,0,露、寒、风、海、花、烛,棠、瓶、宣、插
179,折海棠戏赠圣俞,樱桃花,10,2,0.2,2,0,0,花、露,陵、墙、摇、笑、浪、哦、蛛、红
181,寓居定惠院之东，杂花溝山，有海棠一株，土人不知贵也,樱桃花,10,2,0.2,2,0,0,江、花,翠、泪、城、盘、李、晕、门、林
182,张园海棠,樱桃花,10,3,0.3,2,0,1,云、叶、飞,池、棠、沙、蜂、台、州、园
183,海棠歌,樱桃花,10,7,0.7,7,0,0,花、霜、雨、寒、风、枝、海,棠、碧、梦
185,海 棠,樱桃花,10,3,0.3,3,0,0,河、香、露,翠、栏、龙、怨、啼、佩、红
187,海棠,樱桃花,10,6,0.6,6,0,0,水、梅、香、风、柳、雨,帐、脂、含、拂
211,黄海棠,樱桃花,10,1,0.1,1,0,0,雪,阴、明、豆、离、色、红、情、拂、浓
218,如梦令,樱桃花,10,2,0.2,2,0,0,海、雨,帘、骤、道、棠、肥、人、夜、绿
224,宴清都,樱桃花,10,4,0.4,3,1,0,根、露、秋、灯,股、树、滟、蜡、鬟、梢
221,南乡子,樱桃花,10,6,0.6,5,0,1,枝、雨、叶、花、春、飞,鹰、酥、葛、眠
223,二月二十四夜饮海棠下作,樱桃花,10,5,0.5,4,1,0,云、寒、日、雨、烛,心、烈、院、几、杜
225,摸鱼儿,樱桃花,10,4,0.4,3,0,1,雨、霜、春、飞,烟、城、苔、墙、鬓、脂
226,风雨看舟前落花戏为新句,桃花,10,5,0.5,4,0,1,桃、花、江、蝶、飞,蜜、碧、沙、蝴、蜂
227,绯桃花歌,桃花,10,0,0.0,0,0,0,,宫、阿、刘、斤、赋、车、反、碾、黄、牡
219,如梦令,樱桃花,10,4,0.4,3,0,1,花、草、江、飞,棠、窗、啼、杨、梦、园
495,柳花词三首,杨花,10,4,0.4,2,0,2,香、天、飞、落,舞、条、送、家、故、轻
406,水龙吟,牡丹,10,6,0.6,5,0,1,竹、寒、水、柳、香、落,帘、牡、半、繁
481,喜迁莺,虞美人,10,5,0.5,4,1,0,峰、水、月、香、酒,绿、蜂、脂、片、折
388,惜牡丹花,牡丹,10,2,0.2,2,0,0,枝、风,火、阶、红、帐、吹、起、丹、牡
369,牡 丹,牡丹,10,4,0.4,3,1,0,叶、香、云、书,炉、梦、金、佩、裙、荀
363,远公亭牡丹,牡丹,10,4,0.4,3,0,1,江、蝶、雨、飞,荣、笙、蜂、愁、歌、粘
470,金沙花,金沙,10,3,0.3,3,0,0,松、花、枝,树、子、墙、路、冠、碧、锦
465,玲珑四犯,蔷薇,10,5,0.5,4,1,0,雨、香、月、花、酒,牡、犹、节、蕤、架
505,如梦,杨花,10,2,0.2,2,0,0,香、春,绒、帘、岂、雾、鹃、妒、莫、半
472,后土庙琼花诗二首,琼花,10,6,0.6,6,0,0,花、松、涧、枝、霜、云,土、州、娥、柯
466,贺新郎,蔷薇,10,3,0.3,2,1,0,雨、露、烛,酢、茉、翠、箫、晴、声、衫
440,六 丑,蔷薇,10,7,0.7,6,1,0,香、柳、雨、风、桃、春、酒,碧、蜂、钗
479,扬州慢,虞美人,10,6,0.6,6,0,0,竹、香、花、枝、雨、叶,愁、冷、烟、蕊
421,兰 花,兰花,10,0,0.0,0,0,0,,头、豌、轩、九、临、栽、簪、子、一、斗
512,声声慢,杨花,10,3,0.3,3,0,0,雨、雪、月,浪、粉、缀、窗、一、泥、挽
515,水龙吟,杨花,10,3,0.3,2,0,1,水、雨、飞,又、尘、却、里、缀、二、池
516,水龙吟,杨花,10,3,0.3,3,0,0,水、雪、兰,蘋、荡、泪、辽、城、碎、寻
521,木棉花歌,木棉花,10,4,0.4,4,0,0,花、风、寒、岭,拟、榴、瑚、气、炬、颜
343,念奴娇,素馨,10,3,0.3,3,0,0,云、露、风,轩、茎、愁、帽、蕊、川、许
346,木 兰,木兰,10,5,0.5,5,0,0,雪、松、露、霜、香,塘、荷、窗、蔷、夷
345,剪春罗,剪春罗,10,3,0.3,3,0,0,花、月、春,心、红、嫣、刀、娇、覆、杼
339,绣 球,绣球,10,6,0.6,5,0,1,寒、花、香、岭、叶、飞,杨、雌、愁、球
329,腊前月季,月季,10,3,0.3,3,0,0,梅、雪、香,翠、脂、胭、道、包、翡、忘
327,东风第一枝,玉兰,10,3,0.3,3,0,0,雨、杏、水,酥、蜂、粉、槛、雾、姿、墙
321,梨 花,李花,10,5,0.5,4,0,1,云、花、蝶、雨、飞,渚、彩、梦、家、霏
228,桃 花,桃花,10,5,0.5,5,0,0,香、花、桃、寒、莲,半、阳、殊、翠、绣
