ID,诗名,花名,朝代,月份,正文_preview,top10_tokens,top5_preview
2,咏梅花,梅花,南朝梁,正月,"可怜阶下梅， 飘荡逐风回。
度帘拂罗幌， 萦窗落梳台。
乍随","[[""愁"", 0.10162023454904556], [""帘"", 0.04979073628783226], [""幌"", 0.04516179859638214], [""梳"", 0.03736458718776703], [""窗"", 0.029851112514734268], [""梅"", 0.029847322031855583], [""怜"", 0.028824811801314354], [""眉"", 0.028243372216820717], [""罗"", 0.026887081563472748], [""飘"", 0.023429371416568756]]",愁、帘、幌、梳、窗
154,沁园春,虞美人,宋,正月,天造梅花，有许孤高，有许芬芳。似湘娥凝望，敛君山黛；明妃远嫁,"[[""寒"", 0.03648388385772705], [""节"", 0.0203934907913208], [""黛"", 0.017944898456335068], [""香"", 0.016950193792581558], [""芬"", 0.0167414341121912], [""旄"", 0.016548728570342064], [""山"", 0.015788599848747253], [""日"", 0.015265549533069134], [""羌"", 0.013276413083076477], [""茅"", 0.011764264665544033]]",寒、节、黛、香、芬
150,疏 影,虞美人,宋,正月,琼妃卧月。任素裳瘦损，罗带重结。石径春寒，碧藓参差，相思曾步,"[[""寒"", 0.03769121691584587], [""藓"", 0.02501320280134678], [""云"", 0.02129673957824707], [""清"", 0.020952360704541206], [""月"", 0.01903403177857399], [""茸"", 0.01804158091545105], [""香"", 0.017895400524139404], [""娉"", 0.016761278733611107], [""虬"", 0.014740917831659317], [""棹"", 0.014102492481470108]]",寒、藓、云、清、月
149,疏 影,虞美人,宋,正月,苔枝缀玉，有翠禽小小，枝上同宿。客里相逢，篱角黄昏，无言自倚,"[[""蛾"", 0.04995625093579292], [""佩"", 0.04771748185157776], [""翠"", 0.04203995317220688], [""苔"", 0.023179294541478157], [""沙"", 0.022063689306378365], [""怨"", 0.020047586411237717], [""篱"", 0.019983608275651932], [""角"", 0.019140444695949554], [""绿"", 0.018609507009387016], [""香"", 0.016855215653777122]]",蛾、佩、翠、苔、沙
146,一尊红,虞美人,元,正月,玉堂深。正重帘护暝，窗色试新晴。苔暖鳞生，泥融脉起，春意初破,"[[""寒"", 0.02022075094282627], [""一"", 0.013086197897791862], [""冷"", 0.012008060701191425], [""露"", 0.011897146701812744], [""月"", 0.011711888946592808], [""帘"", 0.011044085025787354], [""笛"", 0.01054555457085371], [""香"", 0.010436397977173328], [""暖"", 0.010424355044960976], [""苔"", 0.01007104106247425]]",寒、一、冷、露、月
140,汉宫春,虞美人,宋,正月,潇洒江梅，向竹梢疏处，横两三枝。东君也不爱惜，雪压霜欺。无情,"[[""寒"", 0.03437640517950058], [""云"", 0.024202942848205566], [""霜"", 0.02205909974873066], [""堂"", 0.017359623685479164], [""月"", 0.01730860024690628], [""梅"", 0.01660235971212387], [""花"", 0.015796752646565437], [""香"", 0.014920512214303017], [""竹"", 0.01469209510833025], [""塞"", 0.014246497303247452]]",寒、云、霜、堂、月
137,江梅引,虞美人,金,正月,汉宫娇额倦涂黄。试新妆，立昭阳。萼绿仙姿，高髻碧罗裳。翠袖卷,"[[""鸿"", 0.018090851604938507], [""月"", 0.01778213493525982], [""霜"", 0.016073085367679596], [""烟"", 0.01606460101902485], [""云"", 0.015849601477384567], [""粟"", 0.015399585478007793], [""渺"", 0.01441185362637043], [""绿"", 0.01420407835394144], [""清"", 0.014164301566779613], [""竹"", 0.0141128646209836]]",鸿、月、霜、烟、云
136,孤雁儿,虞美人,宋,正月,"世人作梅词，下笔便俗。予试作一篇，乃知前言不妄耳。
藤床纸帐","[[""泪"", 0.043382756412029266], [""笛"", 0.02384086698293686], [""雨"", 0.022931363433599472], [""寒"", 0.022740419954061508], [""炉"", 0.020097315311431885], [""箫"", 0.017051929607987404], [""枝"", 0.0158454030752182], [""帐"", 0.013955882750451565], [""风"", 0.01105096098035574], [""耳"", 0.010070787742733955]]",泪、笛、雨、寒、炉
135,渔家傲,虞美人,宋,正月,雪月照梅溪畔路，幽姿背立无言语。冷侵瘦枝清浅处。香暗度，妆成,"[[""溪"", 0.061998263001441956], [""花"", 0.04629920795559883], [""云"", 0.03469780087471008], [""玉"", 0.03396854177117348], [""清"", 0.02956915833055973], [""士"", 0.028162434697151184], [""瘦"", 0.024671614170074463], [""枝"", 0.024436576291918755], [""楚"", 0.02420932427048683], [""画"", 0.020514946430921555]]",溪、花、云、玉、清
127,朝中措,梅花,宋,正月,幽姿不入少年场，无语只凄凉。一个飘零身世，十分冷淡心肠。 江,"[[""管"", 0.0391155369579792], [""心"", 0.023518871515989304], [""月"", 0.022235991433262825], [""凉"", 0.021996159106492996], [""旧"", 0.02065298520028591], [""香"", 0.020079193636775017], [""任"", 0.019060466438531876], [""幽"", 0.018392305821180344], [""零"", 0.01788647100329399], [""姿"", 0.017249219119548798]]",管、心、月、凉、旧
155,贺新郎,虞美人,宋,正月,乔木生云气，访中兴、英雄陈迹，暗追前事。战舰东风慳借便，梦断,"[[""寒"", 0.024708302691578865], [""苔"", 0.024396972730755806], [""云"", 0.019384080544114113], [""泪"", 0.01925095170736313], [""浪"", 0.018360517919063568], [""木"", 0.017761334776878357], [""竹"", 0.01552480086684227], [""露"", 0.015430377796292305], [""舰"", 0.012761627323925495], [""梅"", 0.012575069442391396]]",寒、苔、云、泪、浪
