ID,诗名,花名,朝代,正文_preview,ccpoem_top5,ccpoem_top10,ccpoem_top10_with_score,ccpoem_cls_l2
1,早 梅,梅花,南朝梁,兔园标物序， 惊时最是梅。 衔霜当路发， 映雪拟寒开。 枝横却月观， 花绕凌风台,霜、雪、洒、梅、物,霜 雪 洒 梅 物 序 观 泣 寒 花,"[[""霜"", 0.043549373745918274], [""雪"", 0.03309483826160431], [""洒"", 0.028017250820994377], [""梅"", 0.02639530412852764], [""物"", 0.023798806592822075], [""序"", 0.023762483149766922], [""观"", 0.022628188133239746], [""泣"", 0.02175827883183956], [""寒"", 0.02153448946774006], [""花"", 0.02072625234723091]]",25.449575
2,咏梅花,梅花,南朝梁,可怜阶下梅， 飘荡逐风回。 度帘拂罗幌， 萦窗落梳台。 乍随纤手去， 还因插鬓来,愁、帘、幌、梳、窗,愁 帘 幌 梳 窗 梅 怜 眉 罗 飘,"[[""愁"", 0.10162023454904556], [""帘"", 0.04979073628783226], [""幌"", 0.04516179859638214], [""梳"", 0.03736458718776703], [""窗"", 0.029851112514734268], [""梅"", 0.029847322031855583], [""怜"", 0.028824811801314354], [""眉"", 0.028243372216820717], [""罗"", 0.026887081563472748], [""飘"", 0.023429371416568756]]",25.518936
3,梅 花,梅花,北朝周,当年腊月半， 已觉梅花阑。 不信今春晚， 俱来雪里看。 树动悬冰落， 枝高出手寒,里、月、枝、雪、悔,里 月 枝 雪 悔 春 梅 当 著 树,"[[""里"", 0.04764530807733536], [""月"", 0.0447726733982563], [""枝"", 0.04100137576460838], [""雪"", 0.03851984068751335], [""悔"", 0.029527777805924416], [""春"", 0.02844039350748062], [""梅"", 0.02777218259871006], [""当"", 0.026437927037477493], [""著"", 0.026366693899035454], [""树"", 0.02527242712676525]]",25.519039
4,梅花落,梅花,南朝宋,中庭杂树多，偏为梅咨嗟。“问君何独然？”“念其霜中能作花，露中能作实。摇荡春风媚,庭、霜、露、寒、荡,庭 霜 露 寒 荡 摇 花 华 梅 风,"[[""庭"", 0.04416261985898018], [""霜"", 0.03583843633532524], [""露"", 0.02926228567957878], [""寒"", 0.025439342483878136], [""荡"", 0.02514559030532837], [""摇"", 0.02147115021944046], [""花"", 0.02054993435740471], [""华"", 0.020528461784124374], [""梅"", 0.020013272762298584], [""风"", 0.017487062141299248]]",25.500862
5,和秦太虚梅花,梅花,宋,西湖居士骨应槁， 只有此诗君压倒。 东坡先生心已灰， 为爱君诗被花恼。 多情立马,江、山、坡、裙、花,江 山 坡 裙 花 心 马 腰 孤 湖,"[[""江"", 0.04429846629500389], [""山"", 0.041368938982486725], [""坡"", 0.0301129799336195], [""裙"", 0.028301198035478592], [""花"", 0.024152016267180443], [""心"", 0.0209797415882349], [""马"", 0.018759846687316895], [""腰"", 0.01850288175046444], [""孤"", 0.01750326156616211], [""湖"", 0.015308357775211334]]",25.60623
6,十一月二十六日，松风亭下梅花盛开,梅花,宋,春风岭上淮南村， 昔年梅花曾断魂。 岂知流落复相见， 蛮风蟹雨愁黄昏。 长条半落,浦、蕊、松、愁、花,浦 蕊 松 愁 花 云 淮 荔 桄 棘,"[[""浦"", 0.02687920816242695], [""蕊"", 0.02610711380839348], [""松"", 0.02548580802977085], [""愁"", 0.023733502253890038], [""花"", 0.023322392255067825], [""云"", 0.022477973252534866], [""淮"", 0.020095206797122955], [""荔"", 0.019792186096310616], [""桄"", 0.018006308004260063], [""棘"", 0.017470989376306534]]",25.538963
7,再用前韵,梅花,宋,罗浮山下梅花村， 玉雪为骨冰为魂。 纷纷初疑月挂树， 耿耿独与参横昏。 先生索居,洒、蕊、园、门、山,洒 蕊 园 门 山 桑 莱 清 绿 花,"[[""洒"", 0.05159910023212433], [""蕊"", 0.037495702505111694], [""园"", 0.035282060503959656], [""门"", 0.033091045916080475], [""山"", 0.02887781150639057], [""桑"", 0.02516036666929722], [""莱"", 0.020930446684360504], [""清"", 0.01970113255083561], [""绿"", 0.018660757690668106], [""花"", 0.017726413905620575]]",25.550547
8,江 梅,梅花,唐,梅蕊腊前破， 梅花年后多。 绝知春意早， 最奈客愁何。 雪树元同色， 江风亦自波,峨、愁、岫、花、风,峨 愁 岫 花 风 蕊 江 雪 巫 波,"[[""峨"", 0.049482833594083786], [""愁"", 0.04514707997441292], [""岫"", 0.04506237804889679], [""花"", 0.04056394472718239], [""风"", 0.040546905249357224], [""蕊"", 0.03773525729775429], [""江"", 0.03114139847457409], [""雪"", 0.029438316822052002], [""巫"", 0.025049526244401932], [""波"", 0.02301357313990593]]",25.55191
9,山路梅,梅花,唐,莫言山路僻， 还被好风催。行客凄凉过， 村篱冷落开。晚溪寒山照， 晴日数峰来。重,寒、峰、山、溪、江,寒 峰 山 溪 江 晴 日 照 篱 落,"[[""寒"", 0.057038139551877975], [""峰"", 0.052177656441926956], [""山"", 0.036205943673849106], [""溪"", 0.03496803343296051], [""江"", 0.03258637338876724], [""晴"", 0.029072202742099762], [""日"", 0.028373753651976585], [""照"", 0.026554124429821968], [""篱"", 0.02650555595755577], [""落"", 0.024660559371113777]]",25.471716
10,.看早梅,梅花,唐,涧梅寒正发， 莫信笛中吹。 素艳雪凝树， 清香风满枝。 折惊山乌散， 携任野蜂随,香、蜂、惊、雪、涧,香 蜂 惊 雪 涧 野 山 公 寒 梅,"[[""香"", 0.08041814714670181], [""蜂"", 0.05187153443694115], [""惊"", 0.03335529565811157], [""雪"", 0.03308231383562088], [""涧"", 0.03211274370551109], [""野"", 0.02991233393549919], [""山"", 0.028113968670368195], [""公"", 0.027279241010546684], [""寒"", 0.02706018090248108], [""梅"", 0.026281218975782394]]",25.450752
