row_idx,ID,诗名,花名,朝代
0,1,早 梅,梅花,南朝梁
1,2,咏梅花,梅花,南朝梁
2,3,梅 花,梅花,北朝周
3,4,梅花落,梅花,南朝宋
4,5,和秦太虚梅花,梅花,宋
5,6,十一月二十六日，松风亭下梅花盛开,梅花,宋
6,7,再用前韵,梅花,宋
7,8,江 梅,梅花,唐
8,9,山路梅,梅花,唐
9,10,.看早梅,梅花,唐
10,11,早 梅,梅花,唐
11,12,十一月中旬扶风界见梅花,梅花,唐
12,13,早 梅,梅花,宋
13,14,梅 花,梅花,宋
14,15,探 梅,梅花,宋
15,16,铜坑看梅,梅花,明
16,17,梅 花(其一),梅花,清
17,18,梅 花(其二),梅花,清
18,19,和裴迪登蜀州东亭送客逢早梅相忆见寄,梅花,唐
19,20,酬崔八早梅有赠兼示之作,梅花,唐
20,21,梅,梅花,唐
21,22,梅,梅花,唐
22,23,山园小梅,梅花,宋
23,24,山园小梅,梅花,宋
24,25,咏小梅,梅花,宋
25,26,歧亭道上见梅花戏赠季常,梅花,宋
26,27,次韵赏梅,梅花,宋
27,28,梅 花,梅花,宋
28,29,梅 花,梅花,宋
29,30,浣花赏梅,梅花,宋
30,31,山亭观梅,梅花,宋
31,32,怀古堂前小梅渐开,梅花,宋
32,33,梅花下小饮,梅花,宋
33,34,梅 花,梅花,宋
34,35,落 梅,梅花,宋
35,36,渔舍观梅,梅花,宋
36,37,梅 魂,梅花,元
37,38,水中梅影,梅花,元
38,39,梅花九首(其一),梅花,明
39,40,梅花九首(其三),梅花,明
40,41,梅 涧,梅花,明
41,42,赠范蔚宗,梅花,南朝宋
42,43,咏 梅,梅花,南朝梁
43,44,江滨梅,梅花,唐
44,45,杂 诗（其二）,梅花,唐
45,46,忆 梅,梅花,唐
46,47,梅 花,梅花,宋
47,48,梅 花,梅花,宋
48,49,梅 花,梅花,宋
49,50,早 梅,梅花,宋
50,51,寒 梅,梅花,宋
51,52,岭 梅,梅花,宋
52,53,咏 梅,梅花,金
53,54,邻墙梅花,梅花,元
54,55,梅 花,梅花,清
55,56,梅 花,梅花,清
56,57,梅花坞坐月,梅花,清
57,58,灵谷寺梅花坞,梅花,明
58,59,新栽梅,梅花,唐
59,60,春女怨,梅花,唐
60,61,早 梅,梅花,唐
61,62,竹里梅,梅花,唐
62,63,山驿梅花,梅花,唐
63,64,梅 花,梅花,唐
64,65,京师逢卖梅花,梅花,宋
65,66,梅 花,梅花,宋
66,67,梅花二首,梅花,宋
67,68,次韵杨公济奉议梅花,梅花,宋
68,69,梅 花,梅花,宋
69,70,十一月后庭梅花盛开,梅花,宋
70,71,梅,梅花,宋
71,72,和张规臣水墨梅五绝(其三),梅花,宋
72,73,和张规臣水墨梅五绝（其五）,梅花,宋
73,74,绿萼梅,梅花,宋
74,75,落 梅,梅花,宋
75,76,梅 花,梅花,宋
76,77,梅 花,梅花,宋
77,78,梅 花,梅花,宋
78,79,江上寻梅,梅花,宋
79,80,折梅花,梅花,宋
80,81,雪后寻梅,梅花,宋
81,82,池亭双树梅花,梅花,宋
82,83,南斋梅花,梅花,宋
83,84,梅影上有寒雀来往,梅花,宋
84,85,昌英知县叔作岁，坐上赋瓶里梅花，时坐上九人,梅花,宋
85,86,庆长叔招饮花下,梅花,宋
86,87,瓶里梅花,梅花,宋
87,88,除夜自石湖归苕溪(其一),梅花,宋
88,89,水边早梅,梅花,宋
89,90,久客买舟西还,梅花,宋
90,91,梅 花,梅花,宋
91,92,武夷山中,梅花,宋
92,93,夜 坐,梅花,宋
93,94,窗外梅蕾,梅花,金
94,95,墨 梅,梅花,金
95,96,梅,梅花,金
96,97,观梅有感,梅花,元
97,98,白 梅,梅花,元
98,99,梅 花,梅花,元
99,100,梅 花,梅花,元
100,101,风 梅,梅花,元
101,102,王元章倒枝画梅,梅花,明
102,103,吉祥寺古梅,梅花,清
103,104,百嘉村见梅花,梅花,清
104,105,梅 花,梅花,清
105,106,枯 梅,梅花,清
106,107,浣溪沙,梅花,宋
107,108,浣溪沙,梅花,清
108,109,长相思,梅花,宋
109,110,鬲溪梅令,梅花,宋
110,111,卜算子,梅花,宋
111,112,卜算子,梅花,宋
112,113,诉衷情,梅花,宋
113,114,霜天晓角,梅花,宋
114,115,霜天晓角,梅花,宋
115,116,霜天晓角,梅花,宋
116,117,霜天晓角,梅花,清
117,118,清平乐,梅花,宋
118,119,清平乐,梅花,宋
119,120,好事近,梅花,宋
120,121,忆秦娥,梅花,宋
121,122,忆少年,梅花,宋
122,123,阮郎归,梅花,宋
123,124,善萨蛮,梅花,宋
124,125,菩萨蛮,梅花,宋
125,126,菩萨蛮,梅花,宋
126,127,朝中措,梅花,宋
127,128,虞美人,梅花,宋
128,129,西江月,梅花,宋
129,130,盐角儿,梅花,宋
130,131,踏莎行,梅花,宋
131,132,临江仙,梅花,宋
132,133,临江仙,梅花,宋
133,134,临江仙,梅花,宋
134,135,渔家傲,梅花,宋
135,136,孤雁儿,梅花,宋
136,137,江梅引,梅花,金
137,138,望 梅,梅花,宋
138,139,最高楼,梅花,宋
139,140,汉宫春,梅花,宋
140,141,东风第一枝,梅花,明
141,142,满江红,梅花,宋
142,143,花心动,梅花,宋
143,144,孤 鸾,梅花,宋
144,145,赏南枝,梅花,宋
145,146,一尊红,梅花,元
146,147,暗香,梅花,宋
147,148,暗香,梅花,清
148,149,疏 影,梅花,宋
149,150,疏 影,梅花,宋
150,151,疏 影,梅花,宋
151,152,扬州慢,梅花,清
152,153,沁园春,梅花,宋
153,154,沁园春,梅花,宋
154,155,贺新郎,梅花,宋
155,156,六州歌头,梅花,元
156,157,代迎春花招刘郎中,迎春花,唐
157,158,刘敞阁前迎春花,迎春花,宋
158,159,中书东厅迎春,迎春花,宋
159,160,嘲迎春花,迎春花,清
160,161,清平乐,迎春花,宋
161,162,和乐天宴李美周中丞宅池中赏櫻桃花,樱桃花,唐
162,163,櫻桃花下有感而作,樱桃花,唐
163,164,履信池櫻桃岛上醉后走笔送别舒员外兼寄宗正李卿考功崔郎中,樱桃花,唐
164,165,同诸客携酒早看櫻桃花,樱桃花,唐
165,166,二月十五日櫻桃花盛开,樱桃花,唐
166,167,和永叔同游上林院后亭见櫻桃花悉已披谢,樱桃花,宋
167,168,酬韩侍郎张博士雨后游曲江见寄,樱桃花,唐
168,169,題东楼前李使君所种樱桃花,樱桃花,唐
169,170,折枝花赠行,樱桃花,唐
170,171,和裴仆射看櫻桃花,樱桃花,唐
171,172,山寺看櫻桃花題僧壁,樱桃花,唐
172,173,题樱桃,樱桃花,唐
173,174,樱桃树,樱桃花,唐
174,175,买带花樱桃,樱桃花,唐
175,176,樱桃花,樱桃花,宋
176,177,樱桃花,樱桃花,元
177,178,红窗睡,樱桃花,清
178,179,折海棠戏赠圣俞,海棠,宋
179,180,张园观海棠,海棠,宋
180,181,寓居定惠院之东，杂花溝山，有海棠一株，土人不知贵也,海棠,宋
181,182,张园海棠,海棠,宋
182,183,海棠歌,海棠,宋
183,184,游海棠西山示赵彦成,海棠,宋
184,185,海 棠,海棠,宋
185,186,陪粹翁举酒君子亭寧下海棠方开,海棠,宋
186,187,海棠,海棠,宋
187,188,夜宴赏海棠醉书,海棠,宋
188,189,怀成都海棠,海棠,宋
189,190,垂丝海棠,海棠,宋
190,191,海 棠(其一),海棠,宋
191,192,海 棠(其二),海棠,宋
192,193,祁阳道中见海棠,海棠,明
193,194,咏白海棠,海棠,清
194,195,垂丝海棠,海棠,宋
195,196,海 棠,海棠,唐
196,197,海 棠,海棠,宋
197,198,海棠三首(其一),海棠,宋
198,199,海棠三首(其二),海棠,宋
199,200,海棠三首(其三),海棠,宋
200,201,海 棠,海棠,宋
201,202,赏海棠三绝,海棠,宋
202,203,闻石湖海棠盛开亟携家过之,海棠,宋
203,204,花时遍游诸家园,海棠,宋
204,205,海 棠,海棠,宋
205,206,题苦竹寺海棠洞,海棠,宋
206,207,海棠三首(其一),海棠,宋
207,208,海棠三首(其二),海棠,宋
208,209,海棠三首(其三),海棠,宋
209,210,雨中海棠,海棠,宋
210,211,黄海棠,海棠,金
211,212,同儿辈赋未开海棠,海棠,金
212,213,海 棠,海棠,元
213,214,腊月海棠,海棠,元
214,215,西斋庭前海棠,海棠,明
215,216,兴教寺海棠,海棠,明
216,217,海棠词,海棠,清
217,218,如梦令,海棠,宋
218,219,如梦令,海棠,宋
219,220,卜算子,海棠,宋
220,221,南乡子（十月海棠）,海棠,宋
221,222,殢人娇,海棠,清
222,223,满江红（二月二十四夜饮海棠下作）,海棠,宋
223,224,宴清都（连理海棠）,海棠,宋
224,225,摸鱼儿,海棠,宋
225,226,风雨看舟前落花戏为新句,桃花,唐
226,227,绯桃花歌,桃花,唐
227,1005-01,驿舍见故屏风画海棠有感,海棠,宋
228,1006-01,和泽民求海棠,海棠,宋
229,1007,菩萨蛮,海棠,宋
230,1008,四月九日幽谷见绯桃盛开,桃花,宋
231,1009,忆左掖千叶桃花,桃花,明
232,228,桃 花,桃花,明
233,229,晚 桃,桃花,唐
234,230,敷水小桃盛开,桃花,唐
235,231,百井路山桃,桃花,宋
236,232,桃·花,桃花,明
237,233,晚桃花,桃花,唐
238,234,咏庭前桃,桃花,唐
239,235,绯桃花,桃花,唐
240,236,连日至梅仙坞及花径观桃花二首(其一),桃花,宋
241,237,连日至梅仙坞及花径观桃花二首(其二),桃花,宋
242,238,桃 花,桃花,元
243,239,山中看桃花,桃花,明
244,240,粉红桃花,桃花,明
245,241,桃 花,桃花,清
246,242,白桃花次乾斋侍读韵,桃花,清
247,243,歧下桃花,桃花,宋
248,244,江畔独步寻花绝句,桃花,唐
249,245,听邻家吹笙,桃花,唐
250,246,亚枝红,桃花,唐
251,247,元和十年自朗州承召至京戏赠看花诸君子,桃花,唐
252,248,竹枝词(其二),桃花,唐
253,249,竹枝词(其九),桃花,唐
254,250,宫 词,桃花,唐
255,251,题都城南庄,桃花,唐
256,252,春游湖,桃花,宋
257,253,绯碧两桃花,桃花,宋
258,254,杨 柳,桃花,金
259,255,潘岳爱桃,桃花,明
260,1012,杭州半山看桃,桃花,清
261,256,桃 花,桃花,清
262,257,乘马與行正定真道中,桃花,清
263,258,画堂春,桃花,清
264,1013,点绛唇（桃花）,桃花,清
265,259,定风波,桃花,宋
266,260,露 华,桃花,宋
267,261,六幺令（咏桃）,桃花,清
268,262,花心动（同章酌亭刘氏庄看桃花）,桃花,清
269,263,瑶花慢,桃花,清
270,264,水龙吟,桃花,宋
271,265,风流子（出关见桃花）,桃花,清
272,266,杏花,杏花,宋
273,267,江路见杏花,杏花,宋
274,268,杏 花,杏花,唐
275,269,月夜与客饮杏花下,杏花,宋
