volume,top_header,category,entry,entry_len,emotion_hint,source_line
卷一,天文类,天文类,天,1,neutral,6
卷一,天文类,天文类,日,1,neutral,6
卷一,天文类,天文类,初曰,2,neutral,6
卷一,天文类,天文类,日影,2,neutral,6
卷一,天文类,天文类,斜阳,2,neutral,6
卷一,天文类,天文类,春曰,2,positive,6
卷一,天文类,天文类,夏曰,2,neutral,6
卷一,天文类,天文类,秋曰,2,neutral,6
卷一,天文类,天文类,冬日,2,neutral,6
卷一,天文类,天文类,日蚀,2,neutral,6
卷一,天文类,天文类,曝曰,2,neutral,7
卷一,天文类,天文类,月,1,neutral,7
卷一,天文类,天文类,新月,2,neutral,7
卷一,天文类,天文类,残月,2,neutral,7
卷一,天文类,天文类,月影,2,neutral,7
卷一,天文类,天文类,月桂,2,neutral,7
卷一,天文类,天文类,待月,2,neutral,7
卷一,天文类,天文类,赏月,2,neutral,7
卷一,天文类,天文类,步月,2,neutral,7
卷一,天文类,天文类,中秋月,3,neutral,7
卷一,天文类,天文类,不见月,3,neutral,8
卷一,天文类,天文类,十四夜月,4,neutral,8
卷一,天文类,天文类,十六夜月,4,neutral,8
卷一,天文类,天文类,月蚀,2,neutral,8
卷一,天文类,天文类,星,1,neutral,8
卷一,天文类,天文类,景星,2,neutral,8
卷一,天文类,天文类,老人星,3,neutral,8
卷一,天文类,天文类,北斗,2,neutral,9
卷一,天文类,天文类,残星,2,neutral,9
卷一,天文类,天文类,河汉,2,neutral,9
卷一,天文类,天文类,云,1,neutral,9
卷一,天文类,天文类,庆云,2,positive,9
卷一,天文类,天文类,祥云,2,positive,9
卷一,天文类,天文类,孤云,2,neutral,9
卷一,天文类,天文类,旱云,2,neutral,9
卷一,天文类,天文类,云峰,2,neutral,9
卷一,天文类,天文类,霞,1,neutral,9
卷一,天文类,天文类,虹,1,neutral,10
卷一,天文类,天文类,风,1,neutral,10
卷一,天文类,天文类,春风,2,positive,10
卷一,天文类,天文类,夏风,2,neutral,10
卷一,天文类,天文类,秋风,2,neutral,10
卷一,天文类,天文类,冬风,2,neutral,10
卷一,天文类,天文类,狂风,2,neutral,10
卷一,天文类,天文类,松风,2,neutral,10
卷一,天文类,天文类,竹风,2,neutral,10
卷一,天文类,天文类,雨,1,neutral,10
卷一,天文类,天文类,久雨,2,neutral,11
卷一,天文类,天文类,骤雨,2,neutral,11
卷一,天文类,天文类,夜雨,2,neutral,11
卷一,天文类,天文类,梅雨,2,neutral,11
卷一,天文类,天文类,祈雨,2,neutral,11
卷一,天文类,天文类,喜雨,2,positive,11
卷一,天文类,天文类,客中雨,3,neutral,11
卷一,天文类,天文类,春雨,2,positive,11
卷一,天文类,天文类,夏雨,2,neutral,11
卷一,天文类,天文类,秋雨,2,neutral,11
卷一,天文类,天文类,冬雨,2,neutral,12
卷一,天文类,天文类,雪,1,neutral,12
卷一,天文类,天文类,雪晴,2,positive,12
卷一,天文类,天文类,雪意,2,neutral,12
卷一,天文类,天文类,雪声,2,neutral,12
卷一,天文类,天文类,喜雪,2,positive,12
卷一,天文类,天文类,春雪,2,positive,12
卷一,天文类,天文类,霰,1,neutral,12
卷一,天文类,天文类,霜,1,neutral,12
卷一,天文类,天文类,露,1,neutral,12
卷一,天文类,天文类,甘露,2,neutral,13
卷一,天文类,天文类,雾,1,neutral,13
卷一,天文类,天文类,烟,1,neutral,13
卷一,天文类,天文类,雷,1,neutral,13
卷一,天文类,天文类,电,1,neutral,13
卷一,天文类,天文类,雹,1,neutral,13
卷一,天文类,天文类,晴,1,positive,13
卷一,天文类,天文类,春晴,2,positive,13
卷一,天文类,天文类,祈晴,2,positive,13
卷一,天文类,天文类,秋晴,2,positive,13
卷一,天文类,天文类,旱,1,neutral,13
卷一,时令类,时令类,春,1,positive,15
卷一,时令类,时令类,早春,2,positive,15
卷一,时令类,时令类,春寒,2,mixed,15
卷一,时令类,时令类,春阴,2,positive,15
卷一,时令类,时令类,春色,2,positive,15
卷一,时令类,时令类,春暮,2,positive,15
卷一,时令类,时令类,春归,2,positive,15
卷一,时令类,时令类,春晓,2,positive,15
卷一,时令类,时令类,春昼,2,positive,15
卷一,时令类,时令类,春夜,2,positive,15
卷一,时令类,时令类,探春,2,positive,16
卷一,时令类,时令类,游春,2,positive,16
卷一,时令类,时令类,送春,2,positive,16
卷一,时令类,时令类,春曰书怀即事,6,positive,16
卷一,时令类,时令类,夏,1,neutral,16
卷一,时令类,时令类,初夏,2,neutral,16
卷一,时令类,时令类,残夏,2,neutral,16
卷一,时令类,时令类,夏夜,2,neutral,16
卷一,时令类,时令类,苦热,2,negative,16
卷一,时令类,时令类,夏曰即事书怀,6,neutral,17
卷一,时令类,时令类,夏曰途中,4,neutral,17
卷一,时令类,时令类,夏晓,2,neutral,17
卷一,时令类,时令类,昼寝,2,neutral,17
卷一,时令类,时令类,秋,1,neutral,17
卷一,时令类,时令类,新秋,2,neutral,17
卷一,时令类,时令类,秋凉,2,neutral,17
卷一,时令类,时令类,秋色,2,neutral,17
卷一,时令类,时令类,秋声,2,neutral,17
卷一,时令类,时令类,秋兴,2,neutral,18
卷一,时令类,时令类,秋阴,2,neutral,18
卷一,时令类,时令类,秋暮,2,neutral,18
卷一,时令类,时令类,秋夜,2,neutral,18
卷一,时令类,时令类,悲秋,2,negative,18
卷一,时令类,时令类,秋日书怀,4,neutral,18
卷一,时令类,时令类,秋日即事,4,neutral,18
卷一,时令类,时令类,晚,1,neutral,18
卷一,时令类,时令类,冬,1,neutral,18
卷一,时令类,时令类,初冬,2,neutral,19
卷一,时令类,时令类,暮冬,2,neutral,19
卷一,时令类,时令类,冬夜,2,neutral,19
卷一,时令类,时令类,苦寒,2,negative,19
卷一,时令类,时令类,冬日即事,4,neutral,19
卷一,时令类,时令类,冬日书怀,4,neutral,19
卷一,时令类,时令类,冬晓,2,neutral,19
卷一,时令类,时令类,闰,1,neutral,19
卷一,时令类,时令类,丰年,2,neutral,19
卷一,时令类,时令类,凶年,2,negative,20
卷一,节序类,节序类,立春,2,positive,22
卷一,节序类,节序类,除曰立春,4,positive,22
卷一,节序类,节序类,元曰立春,4,positive,22
卷一,节序类,节序类,元曰,2,neutral,22
卷一,节序类,节序类,人曰,2,neutral,22
卷一,节序类,节序类,上元,2,neutral,22
卷一,节序类,节序类,上元遇雨,4,neutral,22
卷一,节序类,节序类,上元遇雪,4,neutral,22
卷一,节序类,节序类,社曰,2,neutral,23
卷一,节序类,节序类,上巳,2,neutral,23
卷一,节序类,节序类,寒食,2,negative,23
卷一,节序类,节序类,旅中寒食,4,negative,23
卷一,节序类,节序类,寒食雨,3,negative,23
卷一,节序类,节序类,清明,2,neutral,23
卷一,节序类,节序类,立夏,2,neutral,23
卷一,节序类,节序类,端午,2,neutral,23
卷一,节序类,节序类,伏,1,neutral,23
卷一,节序类,节序类,立秋,2,neutral,24
卷一,节序类,节序类,七夕,2,neutral,24
卷一,节序类,节序类,七夕遇雨,4,neutral,24
卷一,节序类,节序类,中元,2,neutral,24
卷一,节序类,节序类,中秋,2,neutral,24
卷一,节序类,节序类,重九,2,neutral,24
卷一,节序类,节序类,九曰遇雨,4,neutral,24
卷一,节序类,节序类,九曰旅中,4,neutral,24
卷一,节序类,节序类,立冬,2,neutral,25
卷一,节序类,节序类,长至,2,neutral,25
卷一,节序类,节序类,蜡腊,2,neutral,25
卷一,节序类,节序类,除夜,2,neutral,25
卷一,节序类,节序类,守岁,2,neutral,25
卷一,地舆类,地舆类,地,1,neutral,27
卷一,地舆类,地舆类,山,1,neutral,27
卷一,地舆类,地舆类,逺山,2,neutral,27
卷一,地舆类,地舆类,孤峰,2,neutral,27
卷一,地舆类,地舆类,假山,2,neutral,27
卷一,地舆类,地舆类,春山,2,positive,27
卷一,地舆类,地舆类,秋山,2,neutral,27
卷一,地舆类,地舆类,泰山,2,neutral,27
卷一,地舆类,地舆类,衡山,2,neutral,27
卷一,地舆类,地舆类,华山,2,neutral,27
卷一,地舆类,地舆类,嵩山,2,neutral,28
卷一,地舆类,地舆类,恒山,2,neutral,28
卷一,地舆类,地舆类,武夷山,3,neutral,28
卷一,地舆类,地舆类,庐山,2,neutral,28
卷一,地舆类,地舆类,天台山,3,neutral,28
卷一,地舆类,地舆类,罗浮山,3,neutral,28
卷一,地舆类,地舆类,游山,2,neutral,28
卷一,地舆类,地舆类,水,1,neutral,28
卷一,地舆类,地舆类,逺水,2,neutral,28
卷一,地舆类,地舆类,流水,2,neutral,28
卷一,地舆类,地舆类,水声,2,neutral,29
卷一,地舆类,地舆类,水帘,2,neutral,29
卷一,地舆类,地舆类,春水,2,positive,29
卷一,地舆类,地舆类,秋水,2,neutral,29
卷一,地舆类,地舆类,观涨,2,neutral,29
卷一,地舆类,地舆类,冰,1,neutral,29
卷一,地舆类,地舆类,江,1,neutral,29
卷一,地舆类,地舆类,河,1,neutral,29
卷一,地舆类,地舆类,海,1,neutral,29
卷一,地舆类,地舆类,潮,1,neutral,29
卷一,地舆类,地舆类,湖,1,neutral,30
卷一,地舆类,地舆类,泛湖,2,neutral,30
卷一,地舆类,地舆类,溪,1,neutral,30
卷一,地舆类,地舆类,梅溪,2,neutral,30
卷一,地舆类,地舆类,竹溪,2,neutral,30
卷一,地舆类,地舆类,桃溪,2,neutral,30
卷一,地舆类,地舆类,涧,1,neutral,30
卷一,地舆类,地舆类,浦,1,neutral,30
卷一,地舆类,地舆类,渔矶,2,neutral,30
卷一,地舆类,地舆类,泉,1,neutral,30
卷一,地舆类,地舆类,醴泉,2,neutral,31
卷一,地舆类,地舆类,温泉,2,neutral,31
卷一,地舆类,地舆类,竹里泉,3,neutral,31
卷一,地舆类,地舆类,瀑布泉,3,neutral,31
卷一,地舆类,地舆类,泉声,2,neutral,31
卷一,地舆类,地舆类,渡,1,neutral,31
卷一,地舆类,地舆类,井,1,neutral,31
卷一,地舆类,地舆类,池,1,neutral,31
卷一,地舆类,地舆类,盆池,2,neutral,31
卷一,地舆类,地舆类,莲塘,2,neutral,31
卷一,地舆类,地舆类,陂塘,2,neutral,32
卷一,地舆类,地舆类,山水,2,neutral,32
