imagery_heading,total_hits,poem_count
花,419,317
春,298,249
香,235,222
月,207,187
风,168,163
日,145,126
云,143,133
天,137,123
雨,136,122
玉,133,125
秋,127,114
山,122,106
水,115,110
早春,112,103
江湖,100,91
迁居,93,84
酒,92,87
牡丹,91,84
梦,85,82
春风,83,83
春日书怀,82,76
梅花,81,68
沙,79,75
画花,78,75
桃花,78,68
新秋,75,71
园,74,70
几,74,73
冬雨,72,64
白莲花,70,59
喜雪,69,66
芙蓉,64,56
地,63,61
霞,62,59
美人,62,58
烟,61,61
清明,59,58
梨花,55,54
城,54,51
柳,52,49
重九,52,52
游春,51,45
秋风,49,48
海棠,49,45
莲花,48,45
燕,46,44
寒食雨,46,46
榴花,46,44
罗,45,44
石,45,42
蝶,45,45
夏,44,43
江,44,42
诗,43,37
溪,43,40
楼,43,41
尘,42,41
红梅,41,40
帐,41,41
春色,41,41
上元,41,40
帘,38,28
怀友,38,36
残星,38,38
月夜访友,38,36
夏夜,38,38
残灯,37,36
笛,37,33
画,37,32
莲塘,37,35
锦,37,34
台,36,35
祥云,36,34
带,36,35
珍珠花,36,36
待月,35,31
竹,35,32
渔矶,34,34
舟,34,31
春郊,34,34
梅溪,34,31
园亭,33,33
秋晴,33,30
旅舍,32,28
雪意,32,32
酴醿花,32,29
蕙草,32,31
苔,31,29
裳,31,31
秋色,31,30
鵞,31,31
秋兴,31,27
浦,30,27
池,30,29
木,30,30
夜宴,29,28
蔷薇,29,27
观,28,23
飘,28,28
草,28,27
残蝶,28,28
亭,28,27
踏青,28,28
探春,28,26
候,27,26
白牡丹,27,24
蜂,27,27
旱,27,26
月桂,26,26
槐,26,25
杏花,26,26
寒食,26,23
不见,25,22
帷幙,25,25
旅,25,25
橘,25,23
春寒,25,25
落花,25,25
莺,25,23
潮,24,24
渔父,24,23
黄葵,24,24
远水,24,24
暮冬,23,22
亡,23,22
牧童,23,23
秋暮,23,23
残菊,23,22
落梅,23,22
竹几,23,23
神童,23,23
珠,23,23
陂塘,22,17
野,22,22
春径,22,22
假山,22,22
鸽,22,22
书简,22,22
送春,22,22
早梅,21,20
悲秋,21,21
慵粧,21,21
冬,21,20
海,21,21
十六夜月,21,21
寻访,21,21
鸳鸯,21,19
星,21,19
烛,21,21
钟,21,18
谢惠扇,21,21
如昼,20,20
阁,20,20
镜,20,20
萱草,19,18
人品类,19,18
翡翠,19,19
山茶花,19,18
画鹰,19,19
雾,19,19
春望,19,17
春暮,19,19
河,18,18
茶,18,18
桥,18,18
远山,18,18
渡,18,17
俳优,18,18
雷,18,18
宫阙,18,18
除夜,17,16
蛩,17,17
巾,17,15
春夜,17,16
游山,17,17
月影,17,17
木笔花,17,16
鹤,17,16
春晓,17,16
水声,17,17
砧杵,17,17
蓼花,17,17
闺感,16,16
立春,16,16
官,16,14
方丈,16,16
灯花,16,16
秋径,16,16
芳草,16,16
白菊,16,16
送别,16,16
泉,16,16
妓女,16,14
春雨,16,16
榴,16,14
醉客,16,16
初夏,16,14
怀归,15,14
水亭,15,14
含笑花,15,15
石洞,15,15
赠内,15,14
海棠花,15,14
雁,15,14
未开牡丹,15,13
芦花,15,12
赋,15,15
春日,15,14
李花,15,14
桂花,15,15
药园,15,15
感,15,15
浮山,14,14
菱角,14,14
尊,14,14
酒旗,14,13
殿,14,14
石碁盘,14,13
画梅,14,14
虹,14,13
夏日,14,14
观涨,13,13
谪仙,13,12
双头牡丹,13,12
云峰,13,13
冬夜,13,13
马,13,13
贺新居,13,13
柿子,13,13
鱼,13,13
书,13,13
诗人,13,13
舞妓,13,13
钱,13,13
马乳,13,13
丽情,13,13
冠,13,13
火,13,13
上巳,13,13
病,12,10
郊行,12,12
江亭,12,12
倦绣,12,12
宝贝,12,12
梅雨,12,12
楼子芍药,12,12
酒楼,12,12
围棋,12,12
神仙,12,12
河汉,12,12
纸,12,12
笔,12,11
