ID,诗名,朝代,花名,sxhy_imagery_count,sxhy_imagery_headings,sxhy_raw_words,sxhy_imagery_freq,sxhy_catalog_paths
1,早 梅,南朝梁,梅花,12,候|兔|勤学|台|园|早春|月|花|观|闺感|风|飘,兔|台|园|当路|映雪|春来|月|花|观|长门|风|飘,候:1|勤学:1|闺感:1|早春:1|兔:1|园:1|月:1|观:1|花:1|风:1|台:1|飘:1,?/候|卷四/走兽类/兔|卷二/文学类/勤学|卷二/宫室类/台|卷一/地舆类/园|卷一/时令类/早春|卷一/天文类/月|卷四/百花类/花|卷二/宫室类/观|卷二/丽人类/闺感|卷一/天文类/风|?/飘
2,咏梅花,南朝梁,梅花,6,冬雨|台|喜雪|帘|怀归|罗,台|客心|帘|罗|逐风|飘荡,喜雪:1|冬雨:1|怀归:1|帘:1|罗:1|台:1,卷一/天文类/冬雨|卷二/宫室类/台|卷一/天文类/喜雪|卷三/器用类上/帘|卷二/人事类/怀归|?/罗
3,梅 花,北朝周,梅花,7,不见|巫|悲秋|早梅|春|暮冬|梅花,不见|早知|春|梅花|腊月|衣单|雪里,暮冬:1|梅花:1|早梅:1|巫:1|不见:1|悲秋:1|春:1,?/不见|?/巫|卷一/时令类/悲秋|卷四/百花类/早梅|卷一/时令类/春|卷一/时令类/暮冬|卷四/百花类/梅花
4,梅花落,南朝宋,梅花,7,中庭|亡|日|春风|牡丹|观涨|风,中庭|作花|媚春|日|春风|零落|风,中庭:1|观涨:1|春风:1|牡丹:1|亡:1|日:1|风:1,?/中庭|?/亡|卷一/天文类/日|卷一/天文类/春风|卷四/百花类/牡丹|卷一/地舆类/观涨|卷一/天文类/风
5,和秦太虚梅花,宋,梅花,26,花|山|春|草|诗|云|帷幙|怀友|春归|月|柳|梅花|残灯|残蝶|江湖|沙|河|渔矶|渡口|画花|病|白莲花|立春|莲花|谪仙|闲居,花|山|春|草|诗|一枝|万里|余香|佳人|十年|千树|多情|春归|月|残雪|江头|点缀|病|立马|竹外|花开|西湖|逐客|醉眠|风雨|黄昏,花:3|诗:2|春:2|山:2|草:2|莲花:1|残蝶:1|渡口:1|江湖:1|立春:1|沙:1|柳:1|梅花:1|画花:1|闲居:1|云:1|河:1|谪仙:1|怀友:1|帷幙:1|残灯:1|渔矶:1|春归:1|白莲花:1|月:1|病:1,卷四/百花类/花|卷一/地舆类/山|卷一/时令类/春|卷三/百草类/草|卷二/文学类/诗|卷一/天文类/云|卷三/服饰类/帷幙|卷二/师友类/怀友|卷一/时令类/春归|卷一/天文类/月|卷四/树木类/柳|卷四/百花类/梅花|卷三/器用类下/残灯|卷四/昆虫类/残蝶|?/江湖|卷一/地舆类/沙|卷一/地舆类/河|卷一/地舆类/渔矶|卷一/地舆类/渡口|卷三/书画类/画花|?/病|卷四/百花类/白莲花|卷一/节序类/立春|卷四/百花类/莲花|?/谪仙|卷二/宫室类/闲居
6,十一月二十六日，松风亭下梅花盛开,宋,梅花,21,梅花|云|亭|人品类|冬|冬雨|园|慵粧|旅舍|春风|松风|枕|江湖|浦|海|牧童|芙蓉|萱草|蟹|雨|风,云|亭|冬|冷艳|园|无言|春风|月下|松风|梅花|梦觉|浦|海|独秀|玉蕊|落月|蟹|酒醒|长条|雨|风|黄昏,梅花:2|春风:1|江湖:1|萱草:1|芙蓉:1|冬雨:1|松风:1|牧童:1|人品类:1|枕:1|慵粧:1|旅舍:1|风:1|蟹:1|雨:1|浦:1|园:1|冬:1|亭:1|海:1|云:1,卷四/百花类/梅花|卷一/天文类/云|卷二/宫室类/亭|?/人品类|卷一/时令类/冬|卷一/天文类/冬雨|卷一/地舆类/园|卷二/丽人类/慵粧|卷二/宫室类/旅舍|卷一/天文类/春风|卷一/天文类/松风|卷三/器用类上/枕|?/江湖|卷一/地舆类/浦|卷一/地舆类/海|卷二/人品类/牧童|?/芙蓉|卷三/百草类/萱草|?/蟹|卷一/天文类/雨|卷一/天文类/风
7,再用前韵,宋,梅花,24,花|人品类|啄木|园|客中雨|山|弓|斛|桧|梅花|歌舞|残星|浮山|牡丹|玉|病|祥云|罗|芭蕉|蚌|蟹|诗|酒|鸜鹆,花|啄木|园|天香|寂寂|山|挂扶桑|挂树|梅花|歌舞|江海|浮山|玉|疑月|病|纷纷|绿衣|罗|耿耿|能言|诗|酒|酒醒|鹤栖,花:2|浮山:1|梅花:1|祥云:1|芭蕉:1|斛:1|残星:1|蚌:1|桧:1|牡丹:1|蟹:1|弓:1|啄木:1|歌舞:1|鸜鹆:1|人品类:1|客中雨:1|罗:1|玉:1|病:1|园:1|酒:1|诗:1|山:1,卷四/百花类/花|?/人品类|卷四/飞禽类/啄木|卷一/地舆类/园|卷一/天文类/客中雨|卷一/地舆类/山|卷三/器用类上/弓|?/斛|卷四/树木类/桧|卷四/百花类/梅花|卷三/音乐类/歌舞|卷一/天文类/残星|?/浮山|卷四/百花类/牡丹|卷三/珍宝类/玉|?/病|卷一/天文类/祥云|?/罗|卷三/百草类/芭蕉|卷四/鳞介类/蚌|?/蟹|卷二/文学类/诗|卷三/饮食类/酒|卷四/飞禽类/鸜鹆
8,江 梅,唐,梅花,10,喜雨|山|巫|旅|春日书怀|暮冬|梅花|秋暮|腊|迁居,客愁|嵯峨|巫|故园|春意|梅花|梅蕊|江风|腊|雪树,暮冬:1|梅花:1|喜雨:1|春日书怀:1|迁居:1|秋暮:1|旅:1|山:1|腊:1|巫:1,卷一/天文类/喜雨|卷一/地舆类/山|?/巫|?/旅|?/春日书怀|卷一/时令类/暮冬|卷四/百花类/梅花|卷一/时令类/秋暮|?/腊|卷二/宫室类/迁居
9,山路梅,唐,梅花,10,山|迁居|温泉|溪|秋风|红梅|遇雨|酒|陂塘|风,山|一杯|冷落|凄凉|晴日|江南|溪|行客|路僻|酒|风,迁居:2|山:2|温泉:1|秋风:1|遇雨:1|陂塘:1|红梅:1|风:1|溪:1|酒:1,卷一/地舆类/山|卷二/宫室类/迁居|卷一/地舆类/温泉|卷一/地舆类/溪|卷一/天文类/秋风|卷四/百花类/红梅|?/遇雨|卷三/饮食类/酒|卷一/地舆类/陂塘|卷一/天文类/风
10,.看早梅,唐,梅花,9,山|日|月桂|涧|白牡丹|笛|蜂|野|风,山|日|涧|清香|笛|素艳|蜂|野|风,白牡丹:1|月桂:1|涧:1|笛:1|风:1|山:1|野:1|蜂:1|日:1,卷一/地舆类/山|卷一/天文类/日|卷一/天文类/月桂|卷一/地舆类/涧|卷四/百花类/白牡丹|卷三/音乐类/笛|卷四/昆虫类/蜂|?/野|卷一/天文类/风
