花名,排名,物象,共现诗篇数,类别
兰花,1,风,7,天象时令
兰花,2,香,6,植物花卉
兰花,3,兰,5,植物花卉
兰花,4,芳,5,植物花卉
兰花,5,春,4,天象时令
兰花,6,幽,4,情感抽象
兰花,7,露,4,天象时令
兰花,8,花,4,植物花卉
兰花,9,人,4,人物意象
兰花,10,谷,4,山水地理
兰花,11,空,3,山水地理
兰花,12,美人,3,人物意象
兰花,13,江,3,山水地理
兰花,14,春风,3,天象时令
兰花,15,草,3,植物花卉
兰花,16,日,3,天象时令
兰花,17,叶,3,植物花卉
兰花,18,山,3,山水地理
兰花,19,林,2,山水地理
兰花,20,冷,2,天象时令
凌霄花,1,藤,1,植物花卉
凌霄花,2,花,1,植物花卉
凌霄花,3,地,1,山水地理
凌霄花,4,蔓,1,植物花卉
凌霄花,5,空,1,山水地理
凌霄花,6,杯,1,器物人文
凌霄花,7,雨,1,天象时令
凌霄花,8,天,1,山水地理
凌霄花,9,客,1,人物意象
凤仙花,1,金,2,器物人文
凤仙花,2,花,2,植物花卉
凤仙花,3,香,1,植物花卉
凤仙花,4,冷,1,天象时令
凤仙花,5,蝶,1,动物禽鸟
凤仙花,6,蜂,1,动物禽鸟
凤仙花,7,桐,1,植物花卉
凤仙花,8,枝,1,植物花卉
凤仙花,9,凤,1,动物禽鸟
凤仙花,10,雪,1,天象时令
凤仙花,11,春,1,天象时令
凤仙花,12,芳,1,植物花卉
凤仙花,13,山,1,山水地理
凤仙花,14,幽,1,情感抽象
凤仙花,15,林,1,山水地理
凤仙花,16,叶,1,植物花卉
凤仙花,17,芍药,1,植物花卉
凤仙花,18,书,1,器物人文
剪春罗,1,刀,2,器物人文
剪春罗,2,风,1,天象时令
剪春罗,3,春,1,天象时令
剪春罗,4,月,1,天象时令
剪春罗,5,春风,1,天象时令
剪春罗,6,花,1,植物花卉
合欢,1,风,4,天象时令
合欢,2,春,3,天象时令
合欢,3,花,3,植物花卉
合欢,4,叶,2,植物花卉
合欢,5,芳,2,植物花卉
合欢,6,枝,2,植物花卉
合欢,7,夜,2,天象时令
合欢,8,人,2,人物意象
合欢,9,合欢,2,植物花卉
合欢,10,霞,1,天象时令
合欢,11,夕,1,天象时令
合欢,12,根,1,植物花卉
合欢,13,雨,1,天象时令
合欢,14,地,1,山水地理
合欢,15,花开,1,植物花卉
合欢,16,清香,1,植物花卉
合欢,17,露,1,天象时令
合欢,18,清晨,1,天象时令
合欢,19,明月,1,天象时令
合欢,20,天涯,1,山水地理
向日葵,1,露,2,天象时令
向日葵,2,花,2,植物花卉
向日葵,3,草,1,植物花卉
向日葵,4,雨,1,天象时令
向日葵,5,菊,1,植物花卉
向日葵,6,珠,1,器物人文
向日葵,7,叶,1,植物花卉
向日葵,8,寂,1,情感抽象
向日葵,9,风,1,天象时令
向日葵,10,日,1,天象时令
向日葵,11,暮,1,天象时令
向日葵,12,西风,1,天象时令
向日葵,13,黄昏,1,天象时令
含笑,1,人,3,人物意象
含笑,2,花,2,植物花卉
含笑,3,日,2,天象时令
含笑,4,香,2,植物花卉
含笑,5,枝,2,植物花卉
含笑,6,风,2,天象时令
含笑,7,春,2,天象时令
含笑,8,荷,1,植物花卉
含笑,9,玉,1,器物人文
含笑,10,暮,1,天象时令
含笑,11,叶,1,植物花卉
含笑,12,露,1,天象时令
含笑,13,夜,1,天象时令
含笑,14,愁,1,情感抽象
含笑,15,蜂,1,动物禽鸟
含笑,16,佳人,1,人物意象
含笑,17,金,1,器物人文
含笑,18,雨,1,天象时令
山枇杷,1,山枇杷,1,植物花卉
山枇杷,2,花,1,植物花卉
山枇杷,3,牡丹,1,植物花卉
山枇杷,4,青山,1,山水地理
山枇杷,5,山,1,山水地理
山枇杷,6,枝,1,植物花卉
山枇杷,7,叶,1,植物花卉
山枇杷,8,香,1,植物花卉
山枇杷,9,金,1,器物人文
山枇杷,10,风,1,天象时令
山枇杷,11,日,1,天象时令
山枇杷,12,热,1,天象时令
山枇杷,13,水,1,山水地理
山枇杷,14,岩,1,山水地理
山枇杷,15,云,1,天象时令
山枇杷,16,雾,1,天象时令
山枇杷,17,愁,1,情感抽象
山枇杷,18,珠,1,器物人文
山枇杷,19,人,1,人物意象
山枇杷,20,怨,1,情感抽象
山茶花,1,雪,7,天象时令
山茶花,2,春,5,天象时令
山茶花,3,玉,4,器物人文
山茶花,4,人,4,人物意象
山茶花,5,山,4,山水地理
山茶花,6,枝,4,植物花卉
山茶花,7,花,3,植物花卉
山茶花,8,寒,3,天象时令
山茶花,9,叶,3,植物花卉
山茶花,10,风,3,天象时令
山茶花,11,杯,2,器物人文
山茶花,12,客,2,人物意象
山茶花,13,天,2,山水地理
山茶花,14,露,2,天象时令
山茶花,15,鹤,2,动物禽鸟
山茶花,16,月,2,天象时令
山茶花,17,酒,2,器物人文
山茶花,18,日,2,天象时令
山茶花,19,东风,2,天象时令
山茶花,20,冬,1,天象时令
曼陀罗,1,玉,1,器物人文
曼陀罗,2,秋风,1,天象时令
曼陀罗,3,天上,1,时空行为
曼陀罗,4,香,1,植物花卉
曼陀罗,5,烟,1,天象时令
曼陀罗,6,金,1,器物人文
曼陀罗,7,露,1,天象时令
曼陀罗,8,晓,1,天象时令
曼陀罗,9,月,1,天象时令
月季,1,花,8,植物花卉
月季,2,春,5,天象时令
月季,3,桃,4,植物花卉
月季,4,霜,3,天象时令
月季,5,雪,3,天象时令
月季,6,梅,3,植物花卉
月季,7,枝,3,植物花卉
月季,8,月,2,天象时令
月季,9,芳,2,植物花卉
月季,10,菊,2,植物花卉
月季,11,日,2,天象时令
月季,12,春风,2,天象时令
月季,13,笔,2,器物人文
月季,14,香,2,植物花卉
月季,15,叶,2,植物花卉
月季,16,雨,2,天象时令
月季,17,风,2,天象时令
月季,18,人,2,人物意象
月季,19,月季,2,植物花卉
月季,20,流,2,山水地理
木兰,1,晓,1,天象时令
木兰,2,蔷薇,1,植物花卉
木兰,3,露,1,天象时令
木兰,4,香,1,植物花卉
木兰,5,素馨,1,植物花卉
木兰,6,茉莉,1,植物花卉
木兰,7,荷花,1,植物花卉
木兰,8,枝,1,植物花卉
木兰,9,叶,1,植物花卉
木兰,10,根,1,植物花卉
木兰,11,凉,1,天象时令
木兰,12,松柏,1,植物花卉
木兰,13,雪,1,天象时令
木兰,14,霜,1,天象时令
木兰,15,桂,1,植物花卉
木兰,16,日,1,天象时令
木兰,17,风,1,天象时令
木兰,18,木兰,1,植物花卉
木兰,19,玉,1,器物人文
木兰,20,金,1,器物人文
木棉花,1,月,2,天象时令
木棉花,2,天,2,山水地理
木棉花,3,落花,2,植物花卉
木棉花,4,风,2,天象时令
木棉花,5,江,1,山水地理
木棉花,6,花开,1,植物花卉
木棉花,7,日,1,天象时令
木棉花,8,沧海,1,山水地理
木棉花,9,台,1,器物人文
木棉花,10,壮,1,情感抽象
木棉花,11,桃,1,植物花卉
木棉花,12,杏,1,植物花卉
木棉花,13,花,1,植物花卉
木棉花,14,芳,1,植物花卉
木棉花,15,鸟,1,动物禽鸟
木棉花,16,凤,1,动物禽鸟
木棉花,17,岭,1,山水地理
木棉花,18,人,1,人物意象
木棉花,19,雪,1,天象时令
木棉花,20,寒,1,天象时令
木槿,1,露,4,天象时令
木槿,2,花,4,植物花卉
木槿,3,秋,4,天象时令
木槿,4,春,4,天象时令
