物象,出现诗篇数,类别
花,472,植物花卉
风,384,天象时令
春,341,天象时令
人,341,人物意象
香,328,植物花卉
枝,250,植物花卉
月,228,天象时令
玉,213,器物人文
雪,204,天象时令
寒,184,天象时令
水,174,山水地理
雨,172,天象时令
芳,165,植物花卉
天,161,山水地理
云,151,天象时令
露,149,天象时令
日,148,天象时令
山,146,山水地理
夜,137,天象时令
酒,133,器物人文
秋,123,天象时令
江,114,山水地理
叶,111,植物花卉
愁,109,情感抽象
金,108,器物人文
空,100,山水地理
幽,98,情感抽象
霜,89,天象时令
烟,89,天象时令
地,87,山水地理
冷,86,天象时令
梅,84,植物花卉
客,83,人物意象
东风,76,天象时令
桃,74,植物花卉
流,71,山水地理
晓,71,天象时令
春风,69,天象时令
恨,65,情感抽象
暮,59,天象时令
凉,57,天象时令
溪,56,山水地理
冰,54,天象时令
波,51,山水地理
蝶,51,动物禽鸟
孤,50,情感抽象
根,50,植物花卉
竹,48,植物花卉
菊,48,植物花卉
杯,47,器物人文
草,47,植物花卉
帘,46,器物人文
西风,46,天象时令
梅花,45,植物花卉
霞,44,天象时令
台,43,器物人文
林,43,山水地理
燕,43,动物禽鸟
泪,43,情感抽象
野,42,山水地理
珠,42,器物人文
锦,42,器物人文
蜂,41,动物禽鸟
石,38,山水地理
沙,38,山水地理
人间,37,时空行为
湖,36,山水地理
江南,36,山水地理
亭,35,山水地理
桥,34,山水地理
暖,33,天象时令
莲,33,植物花卉
兰,33,植物花卉
楼,33,器物人文
怨,30,情感抽象
柳,30,植物花卉
花开,29,植物花卉
银,29,器物人文
苦,29,情感抽象
黄昏,28,天象时令
舟,27,器物人文
荷,27,植物花卉
芙蓉,26,植物花卉
秋风,26,天象时令
马,25,动物禽鸟
牡丹,25,植物花卉
浪,25,山水地理
寂寞,24,情感抽象
清香,23,植物花卉
鸟,22,动物禽鸟
相思,22,情感抽象
雾,22,天象时令
莺,22,动物禽鸟
佳人,21,人物意象
天涯,21,山水地理
杏,21,植物花卉
重阳,21,天象时令
寂,20,情感抽象
海棠,20,植物花卉
夏,20,天象时令
海,19,山水地理
春色,19,时空行为
明月,19,天象时令
谷,19,山水地理
龙,19,动物禽鸟
凤,19,动物禽鸟
桃花,19,植物花卉
今日,18,时空行为
幽香,18,植物花卉
美人,18,人物意象
东篱,18,器物人文
夕,17,天象时令
细雨,17,天象时令
杏花,17,植物花卉
灯,17,器物人文
镜,17,器物人文
喜,16,情感抽象
乐,16,情感抽象
岸,16,山水地理
翁,15,人物意象
鹤,14,动物禽鸟
流水,14,山水地理
壶,14,器物人文
关,14,山水地理
书,14,器物人文
松,13,植物花卉
禽,13,动物禽鸟
千里,13,时空行为
烛,13,器物人文
暗香,13,植物花卉
渡,13,山水地理
梨花,13,植物花卉
笔,13,器物人文
芬,13,植物花卉
杨柳,13,植物花卉
岭,12,山水地理
峰,12,山水地理
阁,12,器物人文
花落,12,植物花卉
雁,12,动物禽鸟
少年,12,时空行为
天上,12,时空行为
悲,12,情感抽象
清明,12,天象时令
桂,12,植物花卉
蔷薇,12,植物花卉
秋色,12,时空行为
涧,11,山水地理
笛,11,器物人文
蝴蝶,11,动物禽鸟
泉,11,山水地理
河,11,山水地理
晨,11,天象时令
鱼,11,动物禽鸟
杨花,11,植物花卉
疏影,10,植物花卉
空山,10,山水地理
刀,10,器物人文
芍药,10,植物花卉
杜鹃,10,植物花卉
荷花,10,植物花卉
菊花,10,植物花卉
万里,9,时空行为
冬,9,天象时令
故园,9,山水地理
洲,9,山水地理
箫,9,器物人文
南山,9,器物人文
原,9,山水地理
夕阳,9,天象时令
故人,9,人物意象
夜雨,9,天象时令
轩,9,器物人文
岩,9,山水地理
