词条,手工类,诗学含英类,是否同类,冲突说明,手工大类,诗学含英大类,卷次,诗学含英情感倾向初判
亭,山水地理,宫室类,否,大类不一致，建议人工复核语境,自然地理,器物人事,卷二,neutral
冰,天象时令,地舆类,否,大类不一致，建议人工复核语境,自然时空,自然地理,卷一,neutral
天,山水地理,天文类,否,大类不一致，建议人工复核语境,自然地理,自然时空,卷一,neutral
寄梅,器物人文,百花类,否,大类不一致，建议人工复核语境,器物人事,植物生物,卷四,neutral
春色,时空行为,时令类,否,大类不一致，建议人工复核语境,时空行为,自然时空,卷一,positive
月影,时空行为,天文类,否,大类不一致，建议人工复核语境,时空行为,自然时空,卷一,neutral
杜鹃,植物花卉,飞禽类,否,大类不一致，建议人工复核语境,植物生物,动物生物,卷四,neutral
渔父,人物意象,人品类,否,大类不一致，建议人工复核语境,人物人伦,情志评价,卷二,neutral
秋色,时空行为,时令类,否,大类不一致，建议人工复核语境,时空行为,自然时空,卷一,neutral
采莲,器物人文,百花类,否,大类不一致，建议人工复核语境,器物人事,植物生物,卷四,neutral
香,植物花卉,器用类下,否,大类不一致，建议人工复核语境,植物生物,器物人事,卷三,neutral
七夕,,节序类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
七夕遇雨,,节序类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
万古愁,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
万里,时空行为,,待定,仅手工词典命中，诗学含英未收录该词,时空行为,,,
上元,,节序类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
上元遇雨,,节序类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
上元遇雪,,节序类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
上巳,,节序类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
下第,,仕进类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
不出院僧,,释老类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
不寝,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
不得志,,志气类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
不见月,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
世间,时空行为,,待定,仅手工词典命中，诗学含英未收录该词,时空行为,,,
东宫官属,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
东海,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
东篱,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
东风,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
丧子,,人伦类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,negative
中书舍人,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
中元,,节序类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
中秋月,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
丰年,,时令类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
丽人,人物意象,,待定,仅手工词典命中，诗学含英未收录该词,人物人伦,,,
丽情,,丽人类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
丽春花,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,positive
举杯,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
久雨,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
义,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
乐,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
乐府,,音乐类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,positive
九曰旅中,,节序类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
九曰遇雨,,节序类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
九门提督,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
乡愁,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
乡里,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
书,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
书匮,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
书斋,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
书牕,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
书简,,文学类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
乱云,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
乳燕,动物禽鸟,,待定,仅手工词典命中，诗学含英未收录该词,动物生物,,,
云峰,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
五更,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
五月菊,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
井,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
交友,,师友类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
京城,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
人,人物意象,,待定,仅手工词典命中，诗学含英未收录该词,人物人伦,,,
人曰,,节序类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
人材,,人品类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
人间,时空行为,,待定,仅手工词典命中，诗学含英未收录该词,时空行为,,,
今夕,时空行为,,待定,仅手工词典命中，诗学含英未收录该词,时空行为,,,
今日,时空行为,,待定,仅手工词典命中，诗学含英未收录该词,时空行为,,,
今朝,时空行为,,待定,仅手工词典命中，诗学含英未收录该词,时空行为,,,
仕宦,,仕宦类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
他乡,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
他日,时空行为,,待定,仅手工词典命中，诗学含英未收录该词,时空行为,,,
伏,,节序类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
伐术,,竹木类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
传神,,书画类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
伤妾,,人伦类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,negative
余香,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
佛,,释老类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
佛灯,,器用类下,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
佳人,人物意象,,待定,仅手工词典命中，诗学含英未收录该词,人物人伦,,,
侍卫,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
侍郎,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
促织,,昆虫类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,neutral
修竹,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
俳优,,人品类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
倚楼,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
借书,,文学类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
倦绣,,丽人类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
假山,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
傀儡,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
储书,,文学类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
傲骨,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
僧,,释老类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
儒师,,师友类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
元曰,,节序类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
元曰立春,,节序类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,positive
兄弟,,人伦类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
光禄寺,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
兔,,走兽类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,neutral
入仕,,仕进类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
入泮,,仕进类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
公子,,人品类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
六科给事中,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
六部尚书,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
兰,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
