imagery,count,poem_count
春,363,295
风,265,246
月,259,229
云,199,179
天,196,170
山,188,159
日,173,152
雨,167,150
水,151,139
秋,150,130
冬雨,128,107
早春,121,111
江,111,99
江湖,103,94
春风,93,90
园,89,83
沙,88,84
春日书怀,83,76
烟,77,76
地,76,73
霞,76,71
新秋,76,72
喜雪,73,69
清明,60,59
溪,59,53
重九,57,57
莲塘,57,50
罗,56,55
尘,56,55
秋风,55,54
游春,53,47
春雨,50,40
夏,48,45
海,47,44
池,47,46
寒食雨,47,47
春色,44,44
夏夜,43,43
上元,42,41
渔矶,41,41
石,40,35
残星,39,39
秋兴,37,33
春郊,37,36
祥云,36,34
待月,36,32
梅溪,35,32
野,34,34
雪意,34,33
秋晴,34,31
虹,32,29
浦,31,28
月桂,31,31
秋色,31,30
衡山,31,30
探春,29,27
旱,29,28
候,28,27
暮冬,27,24
潮,27,27
春径,27,26
不见,26,23
寒食,26,23
陂塘,25,17
桥,25,25
冬,24,23
春寒,24,24
春晴,24,24
远水,24,24
秋暮,23,23
十六夜月,23,23
渡,23,21
星,23,20
假山,23,23
如昼,22,22
远山,22,22
送春,22,22
悲秋,21,21
河,21,21
春日,20,19
雾,20,20
月影,19,19
春晓,19,18
泉,19,19
春暮,19,19
初夏,19,16
立春,18,18
春夜,18,17
游山,18,18
水声,18,18
雷,18,18
华山,18,14
除夜,17,16
秋径,17,17
流水,16,16
立夏,16,15
冬夜,15,15
石洞,15,15
春昼,15,15
药园,15,15
观涨,14,14
浮山,14,14
夏日,14,14
云峰,13,13
雪晴,13,13
烧,13,13
上巳,13,13
水帘,12,12
梅雨,12,12
松径,12,12
岛屿,12,11
河汉,12,12
秋晚,12,12
秋光,12,12
春归,11,11
松风,11,11
曝日,11,11
冬日,11,11
涧,10,10
日影,10,10
夏风,10,10
苦寒,10,10
残月,10,10
竹径,10,10
秋日书怀,10,10
渡口,9,9
七夕,9,9
蔬园,9,9
客中雨,8,7
立冬,8,8
孤峰,8,8
秋夜,8,7
果园,8,8
腊,7,7
温泉,7,7
遇雨,7,7
冬日即事,7,7
皓彩,7,7
石桥,7,7
斜阳,7,7
武夷山,7,7
关隘,7,7
春阴,7,7
春水,7,7
秋郊,7,7
秋日,7,7
秋水,7,6
喜雨,6,6
上元遇雪,6,6
秋凉,6,6
冬日书怀,6,6
秋雨,6,6
竹溪,6,6
夜雨,6,6
除日立春,6,6
元日,6,6
秋声,6,6
新月,6,6
泰山,6,6
初日,6,6
瀑布泉,6,6
庐山,6,6
冬风,6,5
中庭,5,5
秋山,5,5
井,5,5
夏日途中,5,5
旅中寒食,5,5
伏,5,5
乡里,4,4
盆池,4,4
竹风,4,4
初冬,4,4
泉声,4,4
久雨,4,4
十四夜月,4,4
残夏,4,4
丰年,3,3
秋日即,3,3
骤雨,3,3
秋阴,3,3
苦热,3,3
春山,3,3
步月,3,3
边塞,3,3
中秋,3,3
端午,3,3
立秋,3,3
夏晓,2,2
庆云,2,2
藓径,2,2
人日,2,2
祈晴,2,2
市井,2,2
狂风,2,2
赏日,2,2
道路,2,2
甘露,2,2
祈雨,2,2
元旦立春,1,1
电,1,1
嵩山,1,1
樵径,1,1
雹,1,1
社日,1,1
北斗,1,1
山水,1,1
天台山,1,1
月蚀,1,1
老人星,1,1
天文类,1,1
九日,1,1
守岁,1,1
