ID,诗名,花名,sxhy_heading,sxhy_raw_words,manual_imagery,共有原词,仅诗学含英原词,仅手工词典,共有词数,sxhy_heading_数,sxhy_raw词数,manual词数
1,早 梅,梅花,候|早春|园|月|风,当路|春来|园|月|风,台|夕|寒|春|月|杯|枝|梅|花|雪|霜|风,月|风,园|当路|春来,台|夕|寒|春|杯|枝|梅|花|雪|霜,2,5,5,12
2,咏梅花,梅花,喜雪|冬雨|罗,飘荡|逐风|罗,台|客|帘|愁|梅|风,,罗|逐风|飘荡,台|客|帘|愁|梅|风,0,3,3,6
3,梅 花,梅花,暮冬|冬雨|不见|悲秋|春,腊月|梅花|不见|衣单|春,冰|寒|春|月|枝|梅花|雪,春|梅花,不见|腊月|衣单,冰|寒|月|枝|雪,2,5,5,7
4,梅花落,梅花,中庭|观涨|春风|春日|风,中庭|作花|春风|春日|风,寒风|日|春|春风|梅|花|霜|露,春风,中庭|作花|春日|风,寒风|日|春|梅|花|霜|露,1,5,5,8
5,和秦太虚梅花,梅花,春|山|渡口|江湖|立春|沙|云|河|渔矶|春归|月,春|山|立马|黄昏|残雪|江头|点缀|万里|风雨|春归|月,万里|余香|佳人|孤|客|山|春|月|枝|残雪|江|湖|竹|花|花开|草|雨|风|马|黄昏,万里|山|春|月|残雪|黄昏,春归|江头|点缀|立马|风雨,余香|佳人|孤|客|枝|江|湖|竹|花|花开|草|雨|风|马,6,11,11,20
6,十一月二十六日，松风亭下梅花盛开,梅花,冬雨|月|春风|江湖|松风|风|雨|浦|园|冬|海|云,月|春风|梅花|黄昏|冷艳|松风|风|雨|浦|园|冬|海|云,云|亭|冬|冷|夜色|岭|幽|愁|春风|月|松|梅花|流|海|玉|酒|雨|风|黄昏,云|冬|春风|月|梅花|海|雨|风|黄昏,冷艳|园|松风|浦,亭|冷|夜色|岭|幽|愁|松|流|玉|酒,9,12,13,19
7,再用前韵,梅花,浮山|冬雨|祥云|秋山|残星|日|客中雨|罗|江|海|园|天|山,浮山|梅花|纷纷|月挂|耿耿|扶桑|寂寂|罗|江|海|园|天|山,人|冰|天|寂|山|月|桑|梅花|江|海|玉|空|花|蓬莱|酒|雪|香|鸟|鹤,天|山|梅花|江|海,园|寂寂|扶桑|月挂|浮山|纷纷|罗|耿耿,人|冰|寂|月|桑|玉|空|花|蓬莱|酒|雪|香|鸟|鹤,5,13,13,19
8,江 梅,梅花,暮冬|冬雨|喜雨|春日书怀|秋暮|山|腊|园,梅蕊|梅花|春意|客愁|江风|嵯峨|腊|园,客|愁|故园|春|梅|梅花|江|波|雪|风,梅花,园|客愁|嵯峨|春意|梅蕊|江风|腊,客|愁|故园|春|梅|江|波|雪|风,1,8,8,10
9,山路梅,梅花,山|温泉|秋风|遇雨|陂塘|风|溪|江,山|路僻|凄凉|冷落|晴日|风|溪|江,冷|凉|客|寒山|山|峰|日|杯|江南|溪|酒|风,山|溪|风,冷落|凄凉|晴日|江|路僻,冷|凉|客|寒山|峰|日|杯|江南|酒,3,8,8,12
10,.看早梅,梅花,月桂|涧|风|山|野|日,清香|涧|风|山|野|日,人|今日|寒|山|枝|梅|涧|清香|笛|蜂|野|雪|风,山|涧|清香|野|风,日,人|今日|寒|枝|梅|笛|蜂|雪,5,6,6,13
11,早 梅,梅花,十六夜月|江湖|除夜|风|春,昨夜|幽香|明年|风|春,台|夜|孤|幽香|春|暖|枝|根|禽|雪|风,幽香|春|风,明年|昨夜,台|夜|孤|暖|枝|根|禽|雪,3,5,5,11
12,十一月中旬扶风界见梅花,梅花,候|曝日|秋|浦|月,亭亭|素娥|青女|伤离|月,亭|月|芳|霜|香,月,亭亭|伤离|素娥|青女,亭|芳|霜|香,1,5,5,5
13,早 梅,梅花,春|雪意|月|日|江|风,寒梅|垂垂|千里|日|江|风,今日|千里|寒|愁|暖|枝|梅|江|热|相思|酒|雪|风,千里|江|风,垂垂|寒梅|日,今日|寒|愁|暖|枝|梅|热|相思|酒|雪,3,6,6,13
14,梅 花,梅花,喜雪|清明|立冬|春,珠光|百花|春信|东君,春|枝|玉|玉笛|珠|花|雪|香,,东君|春信|珠光|百花,春|枝|玉|玉笛|珠|花|雪|香,0,4,4,8
15,探 梅,梅花,冬日即事|重九|乡里|山|春,登山屐|狂歌|儿童|山|春,寒|山|春|烛|空|花|酒|香,山|春,儿童|狂歌|登山屐,寒|烛|空|花|酒|香,2,5,5,8
16,铜坑看梅,梅花,冬雨|秋兴|流水|春|野,梅花|青山|流水|春|野,人|叶|夜|春|枝|梅花|流水|舟|莲|野|青山|香,春|梅花|流水|野|青山,,人|叶|夜|枝|舟|莲|香,5,5,5,12
17,梅 花(其一),梅花,月|如昼|春|天,彻夜|寂寞|春|天|月,喜|夜|天|寂寞|春|月|花|芳,天|寂寞|春|月,彻夜,喜|夜|花|芳,4,4,5,8
18,梅 花(其二),梅花,日影|立春|冬雨|溪|月|天|春|风,离离|残雪|脉脉|溪|月|天|春|风,人|夜|天|春|月|残雪|溪|芳|风,天|春|月|残雪|溪|风,离离|脉脉,人|夜|芳,6,8,8,9
