ID,诗名,作者,朝代,花名,月份,text,正文_preview,ccpoem_top5,ccpoem_top10,ccpoem_top10_with_score,ccpoem_cls_l2,sxhy_imagery_count,sxhy_imagery_headings,sxhy_raw_words,sxhy_imagery_freq,sxhy_catalog_paths,l1_polarity,l1_polarity_zh,l2_c2,l2_c2_zh,l3_c3,l3_c3_zh,prob_l1_negative,prob_l1_implicit_negative,prob_l1_neutral,prob_l1_implicit_positive,prob_l1_positive
1,早 梅,何逊,南朝梁,梅花,正月,"兔园标物序， 惊时最是梅。
衔霜当路发， 映雪拟寒开。
枝横却月观， 花绕凌风台。
朝洒长门泣, 夕驻临邛杯。
应知早飘落， 故逐上春来。",兔园标物序， 惊时最是梅。 衔霜当路发， 映雪拟寒开。 枝横却月观， 花绕凌风台,霜、雪、洒、梅、物,霜 雪 洒 梅 物 序 观 泣 寒 花,"[[""霜"", 0.043549373745918274], [""雪"", 0.03309483826160431], [""洒"", 0.028017250820994377], [""梅"", 0.02639530412852764], [""物"", 0.023798806592822075], [""序"", 0.023762483149766922], [""观"", 0.022628188133239746], [""泣"", 0.02175827883183956], [""寒"", 0.02153448946774006], [""花"", 0.02072625234723091]]",25.449575,12,候|兔|勤学|台|园|早春|月|花|观|闺感|风|飘,兔|台|园|当路|映雪|春来|月|花|观|长门|风|飘,候:1|勤学:1|闺感:1|早春:1|兔:1|园:1|月:1|观:1|花:1|风:1|台:1|飘:1,?/候|卷四/走兽类/兔|卷二/文学类/勤学|卷二/宫室类/台|卷一/地舆类/园|卷一/时令类/早春|卷一/天文类/月|卷四/百花类/花|卷二/宫室类/观|卷二/丽人类/闺感|卷一/天文类/风|?/飘,Implicit Positive,隐性积极,positive,积极,praise,称颂赞美,0.0072857956,0.14865918,0.2885584,0.5090469,0.046449676
10,.看早梅,许浑,唐,梅花,正月,"涧梅寒正发， 莫信笛中吹。
素艳雪凝树， 清香风满枝。
折惊山乌散， 携任野蜂随。
今日从公醉， 何人倒接。",涧梅寒正发， 莫信笛中吹。 素艳雪凝树， 清香风满枝。 折惊山乌散， 携任野蜂随,香、蜂、惊、雪、涧,香 蜂 惊 雪 涧 野 山 公 寒 梅,"[[""香"", 0.08041814714670181], [""蜂"", 0.05187153443694115], [""惊"", 0.03335529565811157], [""雪"", 0.03308231383562088], [""涧"", 0.03211274370551109], [""野"", 0.02991233393549919], [""山"", 0.028113968670368195], [""公"", 0.027279241010546684], [""寒"", 0.02706018090248108], [""梅"", 0.026281218975782394]]",25.450752,9,山|日|月桂|涧|白牡丹|笛|蜂|野|风,山|日|涧|清香|笛|素艳|蜂|野|风,白牡丹:1|月桂:1|涧:1|笛:1|风:1|山:1|野:1|蜂:1|日:1,卷一/地舆类/山|卷一/天文类/日|卷一/天文类/月桂|卷一/地舆类/涧|卷四/百花类/白牡丹|卷三/音乐类/笛|卷四/昆虫类/蜂|?/野|卷一/天文类/风,Implicit Positive,隐性积极,positive,积极,praise,称颂赞美,0.06934922,0.24851222,0.2622046,0.32492292,0.09501105
100,梅 花,王冕,元,梅花,正月,"月明海底夜无烟， 恰似西湖雪后天。
清气逼人禁不得， 玉箫吹上大楼船。",月明海底夜无烟， 恰似西湖雪后天。 清气逼人禁不得， 玉箫吹上大楼船。,箫、气、月、烟、吹,箫 气 月 烟 吹 海 楼 玉 雪 湖,"[[""箫"", 0.10342836380004883], [""气"", 0.09079661965370178], [""月"", 0.07918912917375565], [""烟"", 0.058442335575819016], [""吹"", 0.04492660239338875], [""海"", 0.04486927017569542], [""楼"", 0.04050387442111969], [""玉"", 0.03775208815932274], [""雪"", 0.03691808134317398], [""湖"", 0.035205233842134476]]",25.505741,8,夏夜|天|杵臼|楼|海|烟|莲花|赠内,天|月明|楼|海|清气|烟|玉箫|西湖,夏夜:1|莲花:1|杵臼:1|赠内:1|海:1|烟:1|天:1|楼:1,卷一/时令类/夏夜|卷一/天文类/天|卷三/器用类上/杵臼|卷二/宫室类/楼|卷一/地舆类/海|卷一/天文类/烟|卷四/百花类/莲花|卷二/人伦类/赠内,Implicit Positive,隐性积极,positive,积极,praise,称颂赞美,0.01775351,0.026108742,0.16163735,0.65098447,0.14351591
1000-01,梅花落,徐陵,南朝陈,梅花,正月,"对户一株梅， 新花落故栽。
燕拾还莲井， 风吹上镜台。
娼家怨思妾， 楼上独徘徊。
啼看竹叶锦， 簪罢未能裁。",对户一株梅， 新花落故栽。 燕拾还莲井， 风吹上镜台。 娼家怨思妾， 楼上独徘徊,叶、思、莲、怨、梅,叶 思 莲 怨 梅 花 竹 镜 井 风,"[[""叶"", 0.04424681141972542], [""思"", 0.0399024523794651], [""莲"", 0.038634080439805984], [""怨"", 0.035271044820547104], [""梅"", 0.03465992584824562], [""花"", 0.03338759019970894], [""竹"", 0.032920584082603455], [""镜"", 0.03238970786333084], [""井"", 0.030663590878248215], [""风"", 0.029337221756577492]]",25.454464,11,井|倦绣|台|合药|月影|沙|清明|燕|锦|镜|雪意,一株|井|台|徘徊|楼上|燕|竹叶|花落|锦|镜|风吹,月影:1|清明:1|沙:1|雪意:1|倦绣:1|合药:1|燕:1|井:1|镜:1|台:1|锦:1,卷一/地舆类/井|卷二/丽人类/倦绣|卷二/宫室类/台|卷二/人品类/合药|卷一/天文类/月影|卷一/地舆类/沙|卷一/节序类/清明|卷四/飞禽类/燕|卷三/珍宝类/锦|卷三/器用类上/镜|卷一/天文类/雪意,Implicit Negative,隐性消极,neg_anger,负向-愤懑,vexed,烦恼苦闷,0.25108793,0.6148436,0.084681116,0.031245647,0.01814171
1000-02,次韵汉卿舅蜡梅,范成大,宋,蜡梅,十二月,"垂垂瘦萼泫微霜， 翦翦纤英锁暗香。
金雀钗头金蛱蝶， 春风传得旧宫妆。",垂垂瘦萼泫微霜， 翦翦纤英锁暗香。 金雀钗头金蛱蝶， 春风传得旧宫妆。,风、萼、锁、蝶、宫,风 萼 锁 蝶 宫 蛱 妆 霜 英 雀,"[[""风"", 0.11308993399143219], [""萼"", 0.08460015803575516], [""锁"", 0.04378445819020271], [""蝶"", 0.036886077374219894], [""宫"", 0.027175188064575195], [""蛱"", 0.025076767429709435], [""妆"", 0.02383413352072239], [""霜"", 0.022213296964764595], [""英"", 0.021706510335206985], [""雀"", 0.020697196945548058]]",25.678637,6,春风|江湖|竹|蝶|酴醿花|雪意,垂垂|宫妆|微霜|春风|暗香|蝶,雪意:1|竹:1|江湖:1|春风:1|酴醿花:1|蝶:1,卷一/天文类/春风|?/江湖|卷四/竹木类/竹|卷四/昆虫类/蝶|卷四/百花类/酴醿花|卷一/天文类/雪意,Neutral,中性,,,,,0.053690635,0.37669852,0.3796787,0.14790532,0.042026848
1001-01,与诸人用东坡韵共赋梅花，适得元履书，有怀其人，因复赋此以寄意焉,朱熹,宋,梅花,正月,"罗浮山下黄茅村，苏仙仙去余诗魂。
梅花自入三叠曲，至今不受蛮烟昏。
佳名一旦异凡木，绝艳千古高名园。
却怜冰质不自暖，虽有步障难为温。
羞同桃李媚春色，敢与葵藿争朝暾。
归来只有修竹伴，寂历自掩疏篱门。
亦知真意还有在，未觉浩气终难言。
一杯劝汝吾不浅，要汝共保山林樽。",罗浮山下黄茅村，苏仙仙去余诗魂。 梅花自入三叠曲，至今不受蛮烟昏。 佳名一旦异凡,藿、烟、山、气、李,藿 烟 山 气 李 冰 叠 门 村 罗,"[[""藿"", 0.06492442637681961], [""烟"", 0.04997801408171654], [""山"", 0.040729720145463943], [""气"", 0.02920103818178177], [""李"", 0.025659963488578796], [""冰"", 0.02333366684615612], [""叠"", 0.022950509563088417], [""门"", 0.022054286673665047], [""村"", 0.020154081284999847], [""罗"", 0.019196441397070885]]",25.577637,17,台|城|寒食雨|月|木|梅花|浮山|游春|牡丹|禅庵|秋兴|罗|萱草|葵|诗|迁居|鸽,一杯|佳名|修竹|千古|名园|媚春|山林|归来|木|桃李|梅花|步障|浮山|烟昏|罗|葵|诗,浮山:1|梅花:1|月:1|萱草:1|台:1|城:1|游春:1|寒食雨:1|牡丹:1|鸽:1|秋兴:1|迁居:1|禅庵:1|罗:1|诗:1|木:1|葵:1,卷二/宫室类/台|卷二/宫室类/城|卷一/节序类/寒食雨|卷一/天文类/月|卷四/竹木类/木|卷四/百花类/梅花|?/浮山|卷一/时令类/游春|卷四/百花类/牡丹|卷二/宫室类/禅庵|卷一/时令类/秋兴|?/罗|卷三/百草类/萱草|卷四/蔬菜类/葵|卷二/文学类/诗|卷二/宫室类/迁居|卷四/飞禽类/鸽,Implicit Positive,隐性积极,positive,积极,praise,称颂赞美,0.010395346,0.08965295,0.19898953,0.6500888,0.05087336
1001-02,浪淘沙,马庄父,宋,蜡梅,十二月,娇额尚涂黄，不入时妆。十分轻脆奈风霜。几度细腰寻得蜜，错认蜂房。 东阁久凄凉，江路悠长。休将颜色较芬芳。无奈世间真若伪，赖有幽香。,娇额尚涂黄，不入时妆。十分轻脆奈风霜。几度细腰寻得蜜，错认蜂房。 东阁久凄凉，江,江、阁、蜂、风、涂,江 阁 蜂 风 涂 房 香 世 腰 霜,"[[""江"", 0.0757441446185112], [""阁"", 0.03377528116106987], [""蜂"", 0.03024129383265972], [""风"", 0.026140276342630386], [""涂"", 0.02609490416944027], [""房"", 0.023250987753272057], [""香"", 0.02216421253979206], [""世"", 0.021372023969888687], [""腰"", 0.02011077105998993], [""霜"", 0.019385503605008125]]",25.540386,9,几|名誉|江|江湖|白牡丹|秋风|舞妓|苦寒|蜂,东阁|凄凉|几|幽香|江|细腰|芬芳|蜂|风霜,苦寒:1|舞妓:1|名誉:1|秋风:1|白牡丹:1|江湖:1|几:1|蜂:1|江:1,卷三/器用类上/几|卷二/仕宦类/名誉|卷一/地舆类/江|?/江湖|卷四/百花类/白牡丹|卷一/天文类/秋风|卷二/丽人类/舞妓|卷一/时令类/苦寒|卷四/昆虫类/蜂,Neutral,中性,,,,,0.007545509,0.12522765,0.5008946,0.33978128,0.026550962
1002-01,柳梢青,杨无咎,宋,梅花,正月,"月堕霜飞。隔窗疏瘦，微见横枝。不道寒香，解随羌管，吹到屏帷。 
个中风味谁知？睡乍起、乌云任欹。嚼蕊挼英，浅顰轻笑，酒半醒时。",月堕霜飞。隔窗疏瘦，微见横枝。不道寒香，解随羌管，吹到屏帷。  个中风味谁知？睡,云、寒、帷、英、屏,云 寒 帷 英 屏 窗 月 蕊 酒 任,"[[""云"", 0.04972681775689125], [""寒"", 0.046780191361904144], [""帷"", 0.03702091798186302], [""英"", 0.03406086936593056], [""屏"", 0.02720131166279316], [""窗"", 0.025387655943632126], [""月"", 0.022424185648560524], [""蕊"", 0.021453488618135452], [""酒"", 0.015382060781121254], [""任"", 0.014234974980354309]]",25.597687,6,云|月|江湖|酌酒|酒|香,云|月|横枝|酒|风味|香,江湖:1|酌酒:1|月:1|香:1|云:1|酒:1,卷一/天文类/云|卷一/天文类/月|?/江湖|卷三/饮食类/酌酒|卷三/饮食类/酒|卷三/器用类下/香,Neutral,中性,,,,,0.011110983,0.11972897,0.38121173,0.36938176,0.118566535
1002-02,瑞香花,范成大,宋,瑞香,十二月,"万粒丛芳破雪残， 曲房深院闭春寒。
紫紫青青云锦被， 百叠薰笼晚不翻。
酒恶休拈花蕊嗅， 花气醉人浓胜酒。
大将香供恼幽禅， 恰在兰枯梅落后。",万粒丛芳破雪残， 曲房深院闭春寒。 紫紫青青云锦被， 百叠薰笼晚不翻。 酒恶休拈,云、雪、房、花、锦,云 雪 房 花 锦 粒 兰 丛 梅 枯,"[[""云"", 0.06281649321317673], [""雪"", 0.04220300912857056], [""房"", 0.03938138484954834], [""花"", 0.031946294009685516], [""锦"", 0.03109583631157875], [""粒"", 0.02664683759212494], [""兰"", 0.024372952058911324], [""丛"", 0.024351665750145912], [""梅"", 0.02224418893456459], [""枯"", 0.022064531221985817]]",25.582499,10,酒|书简|宫阙|春寒|枯梅|潮|花|迁居|香|黄葵,酒|云锦|春寒|枯梅|深院|花|花气|醉人|青青|香,酒:2|宫阙:1|春寒:1|黄葵:1|书简:1|潮:1|迁居:1|枯梅:1|花:1|香:1,卷三/饮食类/酒|卷二/文学类/书简|卷二/宫室类/宫阙|卷一/时令类/春寒|卷四/百花类/枯梅|卷一/地舆类/潮|卷四/百花类/花|卷二/宫室类/迁居|卷三/器用类下/香|卷四/百花类/黄葵,Implicit Positive,隐性积极,positive,积极,like,喜爱欣赏,0.007475684,0.008471294,0.038844608,0.49374658,0.4514618
1003-01,望梅花,蒲宗孟,宋,梅花,正月,阳初起，暖力未胜寒气。堪赏素华长独秀，不并开红抽紫。青帝只应怜洁白，不使雷同众卉。淡然难比，粉蝶岂知芳蕊。半夜卷帘如乍失，只在银蟾影里。残雪枝头君记取，自有清香旖旎。,阳初起，暖力未胜寒气。堪赏素华长独秀，不并开红抽紫。青帝只应怜洁白，不使雷同众卉,香、帘、银、蝶、夜,香 帘 银 蝶 夜 雷 阳 枝 怜 紫,"[[""香"", 0.06937655061483383], [""帘"", 0.05200846120715141], [""银"", 0.03465490788221359], [""蝶"", 0.032732605934143066], [""夜"", 0.03174543380737305], [""雷"", 0.02967936545610428], [""阳"", 0.024765625596046448], [""枝"", 0.02276841551065445], [""怜"", 0.020081261172890663], [""紫"", 0.018869969993829727]]",25.603773,15,城|夹竹桃|如昼|待月|春|月|枣子|珍珠花|白莲花|立春|纸|芙蓉|蕙草|雪晴|雷,半夜|卷帘|堪赏|寒气|并开|有清香|枝头|残雪|洁白|独秀|粉蝶|素华|银蟾|雷|青帝,雪晴:1|夹竹桃:1|枣子:1|芙蓉:1|白莲花:1|春:1|纸:1|城:1|如昼:1|待月:1|月:1|立春:1|珍珠花:1|蕙草:1|雷:1,卷二/宫室类/城|?/夹竹桃|?/如昼|卷一/天文类/待月|卷一/时令类/春|卷一/天文类/月|卷四/百果类/枣子|卷四/百花类/珍珠花|卷四/百花类/白莲花|卷一/节序类/立春|卷三/器用类上/纸|?/芙蓉|?/蕙草|卷一/天文类/雪晴|卷一/天文类/雷,Implicit Positive,隐性积极,positive,积极,praise,称颂赞美,0.008894142,0.1419244,0.37006074,0.46862334,0.010497365
