ID,诗名,作者,朝代,花名,月份,text,正文_preview,shangxi_clean,ccpoem_top5,ccpoem_top10,ccpoem_top10_with_score,ccpoem_cls_l2,sxhy_imagery_count,sxhy_imagery_headings,sxhy_raw_words,sxhy_imagery_freq,sxhy_catalog_paths,dim_nature,dim_season,dim_space,dim_people,dim_virtue,dim_artifact,dim_biota,dim_social,dim_flower,dim_vector,dim_vector_idf,confirmed_imagery,月份数字,l1_polarity,l1_polarity_zh,l2_c2,l2_c2_zh,l3_c3,l3_c3_zh,prob_l1_negative,prob_l1_implicit_negative,prob_l1_neutral,prob_l1_implicit_positive,prob_l1_positive
1,早 梅,何逊,南朝梁,梅花,正月,"兔园标物序， 惊时最是梅。
衔霜当路发， 映雪拟寒开。
枝横却月观， 花绕凌风台。
朝洒长门泣, 夕驻临邛杯。
应知早飘落， 故逐上春来。",兔园标物序， 惊时最是梅。 衔霜当路发， 映雪拟寒开。 枝横却月观， 花绕凌风台,梅花在百花中最早开放，在冰天雪地中向人们报告冬去春来的最初信息。梅花突然盛开使人惊奇，春天悄悄降临使人惊讶，雪中梅花的超群风姿更使人惊喜。梅花披霜映雪，冒寒怒放，冰清玉洁，不畏严寒的风骨跃然纸上。却月观中梅枝交错，凌风台下寒花环绕，显示出宫苑梅景的华贵气象，又使人联想到梅花的月下清影、风中幽姿。梅花使得朝夕相对的人不能不动感情，怨女触景伤怀，文人即兴赋诗，从虚处表现梅花的动人。梅花急急忙忙地赶在正月里就开起花来，大概它知道自己很快就会凋零。这宫苑中的早梅，不妨看作诗人的自我写照。这不是单纯的咏物之作，其实是一首借梅寄兴的抒情诗，是诗人自赏、自怜、自惜、自叹之作，抒情与描写融为一体。,霜、雪、洒、梅、物,霜 雪 洒 梅 物 序 观 泣 寒 花,"[[""霜"", 0.043549373745918274], [""雪"", 0.03309483826160431], [""洒"", 0.028017250820994377], [""梅"", 0.02639530412852764], [""物"", 0.023798806592822075], [""序"", 0.023762483149766922], [""观"", 0.022628188133239746], [""泣"", 0.02175827883183956], [""寒"", 0.02153448946774006], [""花"", 0.02072625234723091]]",25.449575,12,候|兔|勤学|台|园|早春|月|花|观|闺感|风|飘,兔|台|园|当路|映雪|春来|月|花|观|长门|风|飘,候:1|勤学:1|闺感:1|早春:1|兔:1|园:1|月:1|观:1|花:1|风:1|台:1|飘:1,?/候|卷四/走兽类/兔|卷二/文学类/勤学|卷二/宫室类/台|卷一/地舆类/园|卷一/时令类/早春|卷一/天文类/月|卷四/百花类/花|卷二/宫室类/观|卷二/丽人类/闺感|卷一/天文类/风|?/飘,2,1,3,1,0,0,1,1,1,"[0.47140452079103173, 0.23570226039551587, 0.7071067811865476, 0.23570226039551587, 0.0, 0.0, 0.23570226039551587, 0.23570226039551587, 0.23570226039551587]","[0.2630003779791599, 0.1593677438079778, 0.3978831701058934, 0.44754914209652263, 0.0, 0.0, 0.30834933670156256, 0.6549219285639837, 0.1510610003053849]",花|观,1,Implicit Positive,隐性积极,positive,积极,praise,称颂赞美,0.0072857956,0.14865918,0.2885584,0.5090469,0.046449676
10,.看早梅,许浑,唐,梅花,正月,"涧梅寒正发， 莫信笛中吹。
素艳雪凝树， 清香风满枝。
折惊山乌散， 携任野蜂随。
今日从公醉， 何人倒接。",涧梅寒正发， 莫信笛中吹。 素艳雪凝树， 清香风满枝。 折惊山乌散， 携任野蜂随,山涧的梅花在春天的寒风中怒放。诗人用“莫信”二字，否定了“梅花落”的说法，坚定地相信梅花决不会衰败，正在迎着寒风怒放。白艳艳的梅花好比一堆堆白雪开满树梢，春风吹来，散发出阵阵清香，是生机盎然的迷人景色。攀折一枝梅花，聚集在山头上的鸟儿因受惊而纷纷飞散；当游人把折下的梅花携带走时，引得野蜂紧紧跟随。山鸟惊散、野蜂跟随，说明它们正深深陶醉在梅花丛中，这是动静结合的反衬手法。诗人引用“接离”的典故，既可以表示酒醉，也可以表示心醉。这首诗从头至尾都充满了对早春梅花的赞美，表达了诗人对生活的热爱。,香、蜂、惊、雪、涧,香 蜂 惊 雪 涧 野 山 公 寒 梅,"[[""香"", 0.08041814714670181], [""蜂"", 0.05187153443694115], [""惊"", 0.03335529565811157], [""雪"", 0.03308231383562088], [""涧"", 0.03211274370551109], [""野"", 0.02991233393549919], [""山"", 0.028113968670368195], [""公"", 0.027279241010546684], [""寒"", 0.02706018090248108], [""梅"", 0.026281218975782394]]",25.450752,9,山|日|月桂|涧|白牡丹|笛|蜂|野|风,山|日|涧|清香|笛|素艳|蜂|野|风,白牡丹:1|月桂:1|涧:1|笛:1|风:1|山:1|野:1|蜂:1|日:1,卷一/地舆类/山|卷一/天文类/日|卷一/天文类/月桂|卷一/地舆类/涧|卷四/百花类/白牡丹|卷三/音乐类/笛|卷四/昆虫类/蜂|?/野|卷一/天文类/风,3,0,2,0,0,1,1,0,1,"[0.75, 0.0, 0.5, 0.0, 0.0, 0.25, 0.25, 0.0, 0.25]","[0.6462225287043749, 0.0, 0.43450899667970583, 0.0, 0.0, 0.2779224901659773, 0.5051001310814085, 0.0, 0.24744963576615975]",山|涧|蜂|野,1,Implicit Positive,隐性积极,positive,积极,praise,称颂赞美,0.06934922,0.24851222,0.2622046,0.32492292,0.09501105
100,梅 花,王冕,元,梅花,正月,"月明海底夜无烟， 恰似西湖雪后天。
清气逼人禁不得， 玉箫吹上大楼船。",月明海底夜无烟， 恰似西湖雪后天。 清气逼人禁不得， 玉箫吹上大楼船。,这首诗气魄宏大，尽情描写梅花怒放时的旖旎风光。首句先写月夜，清澈的月光象水银一样倾泻下来，天气晴朗，烟消雾散，把整个人间装点得如同海底的水晶宫世界一般。次句再写就在这晶莹的月夜，西湖的梅花盛开，简直象大雪之后，处处琼枝玉树。朗月与白梅上下交辉，互斗婵娟。三、四句更进一层，说这时梅花的清香阵阵袭来，吸引着人们纷纷在玉箫的吹奏声中，登上楼船，乘月游湖赏花。这首诗描绘了在特定的环境中的梅花胜景和人们激发起的无穷美感，充满了光之美、色之美、嗅之美、声之美。诗人把这四种美感加以巧妙的揉合，组成了这首情韵悠长的小诗。其中玉箫声实是此种境界中必不可少的助兴之物，可以体味出箫笛声中赏花的妙趣。,箫、气、月、烟、吹,箫 气 月 烟 吹 海 楼 玉 雪 湖,"[[""箫"", 0.10342836380004883], [""气"", 0.09079661965370178], [""月"", 0.07918912917375565], [""烟"", 0.058442335575819016], [""吹"", 0.04492660239338875], [""海"", 0.04486927017569542], [""楼"", 0.04050387442111969], [""玉"", 0.03775208815932274], [""雪"", 0.03691808134317398], [""湖"", 0.035205233842134476]]",25.505741,8,夏夜|天|杵臼|楼|海|烟|莲花|赠内,天|月明|楼|海|清气|烟|玉箫|西湖,夏夜:1|莲花:1|杵臼:1|赠内:1|海:1|烟:1|天:1|楼:1,卷一/时令类/夏夜|卷一/天文类/天|卷三/器用类上/杵臼|卷二/宫室类/楼|卷一/地舆类/海|卷一/天文类/烟|卷四/百花类/莲花|卷二/人伦类/赠内,2,1,2,1,0,1,0,0,1,"[0.5773502691896258, 0.2886751345948129, 0.5773502691896258, 0.2886751345948129, 0.0, 0.2886751345948129, 0.0, 0.0, 0.2886751345948129]","[0.4073570358115276, 0.24684212327152236, 0.41084987537286294, 0.693201634557643, 0.0, 0.26278954249634895, 0.0, 0.0, 0.23397594248325354]",楼|海|烟,1,Implicit Positive,隐性积极,positive,积极,praise,称颂赞美,0.01775351,0.026108742,0.16163735,0.65098447,0.14351591
1000-01,梅花落,徐陵,南朝陈,梅花,正月,"对户一株梅， 新花落故栽。
燕拾还莲井， 风吹上镜台。
娼家怨思妾， 楼上独徘徊。
啼看竹叶锦， 簪罢未能裁。",对户一株梅， 新花落故栽。 燕拾还莲井， 风吹上镜台。 娼家怨思妾， 楼上独徘徊,这首诗用乐府旧题咏梅，表现了对于下层妇女的深切同情。前四句写梅，后四句写人。梅花的飘零象征着怨思妾的沦落风尘。首句一株梅说明它的孤单、寂寞，以与后面人的独徘徊相照应。新花落故栽，燕拾、风吹，写落梅任凭外界自然力的摆布，身不由己。镜台为楼上怨思妾梳妆所用，使诗篇顺当地转入对怨思妾的描写。看到被燕拾、风吹到镜台上的落梅，自不免要进一步触动她内心的怨思，因为她的命运正像这落梅一样，飘零沦落，任人摆布。簪罢未能裁，用其外在的行动来揭示其内在的心境，显得更为形象、生动、真切，怨思妾的凄楚形象跃然纸上。,叶、思、莲、怨、梅,叶 思 莲 怨 梅 花 竹 镜 井 风,"[[""叶"", 0.04424681141972542], [""思"", 0.0399024523794651], [""莲"", 0.038634080439805984], [""怨"", 0.035271044820547104], [""梅"", 0.03465992584824562], [""花"", 0.03338759019970894], [""竹"", 0.032920584082603455], [""镜"", 0.03238970786333084], [""井"", 0.030663590878248215], [""风"", 0.029337221756577492]]",25.454464,11,井|倦绣|台|合药|月影|沙|清明|燕|锦|镜|雪意,一株|井|台|徘徊|楼上|燕|竹叶|花落|锦|镜|风吹,月影:1|清明:1|沙:1|雪意:1|倦绣:1|合药:1|燕:1|井:1|镜:1|台:1|锦:1,卷一/地舆类/井|卷二/丽人类/倦绣|卷二/宫室类/台|卷二/人品类/合药|卷一/天文类/月影|卷一/地舆类/沙|卷一/节序类/清明|卷四/飞禽类/燕|卷三/珍宝类/锦|卷三/器用类上/镜|卷一/天文类/雪意,2,1,3,2,0,2,1,0,0,"[0.41702882811414954, 0.20851441405707477, 0.6255432421712244, 0.41702882811414954, 0.0, 0.41702882811414954, 0.20851441405707477, 0.0, 0.0]","[0.2339004173928947, 0.14173432784421194, 0.35385895745271906, 0.7960591687704991, 0.0, 0.3017823593199096, 0.2742316916481113, 0.0, 0.0]",井|镜,1,Implicit Negative,隐性消极,neg_anger,负向-愤懑,vexed,烦恼苦闷,0.25108793,0.6148436,0.084681116,0.031245647,0.01814171
1000-02,次韵汉卿舅蜡梅,范成大,宋,蜡梅,十二月,"垂垂瘦萼泫微霜， 翦翦纤英锁暗香。
金雀钗头金蛱蝶， 春风传得旧宫妆。",垂垂瘦萼泫微霜， 翦翦纤英锁暗香。 金雀钗头金蛱蝶， 春风传得旧宫妆。,这首诗专写蜡梅枝头的花朵。首二句笔法轻灵，静中有动，刻划工细。严冬已至，蜡梅渐发。微霜指花色似蜡，又开在冬天。泫字极言花朵晶莹，微霜欲滴。纤英指花蕾将绽。锁字写尽蜡梅欲放未放时，香气若有若无、时浓时淡的现象，其自身的含蕴与诗人的感情契合很紧，构成一种引而不发的效果。后二句全用比喻，写法巧妙。蜡梅花叠相盛开，就像金雀钗头落上了金色的蛱蝶，其中又暗以美人作比。末句借寿阳公主梅花妆之典，极力渲染蜡梅之美，这一意象又与前句金雀钗和金蛱蝶暗合，互相生发。全诗写得曲折灵动，富有层次，特点在于以形传神，句意浅淡而又耐人咀嚼，写出了蜡梅的风韵。,风、萼、锁、蝶、宫,风 萼 锁 蝶 宫 蛱 妆 霜 英 雀,"[[""风"", 0.11308993399143219], [""萼"", 0.08460015803575516], [""锁"", 0.04378445819020271], [""蝶"", 0.036886077374219894], [""宫"", 0.027175188064575195], [""蛱"", 0.025076767429709435], [""妆"", 0.02383413352072239], [""霜"", 0.022213296964764595], [""英"", 0.021706510335206985], [""雀"", 0.020697196945548058]]",25.678637,6,春风|江湖|竹|蝶|酴醿花|雪意,垂垂|宫妆|微霜|春风|暗香|蝶,雪意:1|竹:1|江湖:1|春风:1|酴醿花:1|蝶:1,卷一/天文类/春风|?/江湖|卷四/竹木类/竹|卷四/昆虫类/蝶|卷四/百花类/酴醿花|卷一/天文类/雪意,2,0,0,0,0,0,2,0,1,"[0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.3333333333333333]","[0.38268787045282593, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8973489081997652, 0.0, 0.2198065757910136]",蝶,12,Neutral,中性,,,,,0.053690635,0.37669852,0.3796787,0.14790532,0.042026848
1001-01,与诸人用东坡韵共赋梅花，适得元履书，有怀其人，因复赋此以寄意焉,朱熹,宋,梅花,正月,"罗浮山下黄茅村，苏仙仙去余诗魂。
梅花自入三叠曲，至今不受蛮烟昏。
佳名一旦异凡木，绝艳千古高名园。
却怜冰质不自暖，虽有步障难为温。
羞同桃李媚春色，敢与葵藿争朝暾。
归来只有修竹伴，寂历自掩疏篱门。
亦知真意还有在，未觉浩气终难言。
一杯劝汝吾不浅，要汝共保山林樽。",罗浮山下黄茅村，苏仙仙去余诗魂。 梅花自入三叠曲，至今不受蛮烟昏。 佳名一旦异凡,这首七古步韵赋梅花诗，清新自然，不露斧凿之迹。苏诗赋予梅花以人格，物我同一，表达了身处逆境而旷达高远的志趣。黄茅村写居处简陋，也渲染了环境的险恶。梅花魂魄长存世间，一经品题，其精神早已超脱于蛮荒之地，从此名垂不朽。梅花常常以冰情雪质的品貌出现，诗人以梅花质冷，虽有布障也难以为温为喻，写出了清高自好而难为世容的气质。羞同桃李媚春色，暗寓不屑与群小同流合污；梅与葵争向朝日，暗寓正直敢言、追求正义的执著。归来二句突出了乐天知命、自甘寂寞的意旨。作者抓住苏诗真意，于对苏轼的赞誉中寄托自己对人生世事的看法，志趣毕见。末尾劝慰朋友随遇而安、达观自如，在余味悠长中收到共勉之效。全诗以感情为纽带，造境深远。,藿、烟、山、气、李,藿 烟 山 气 李 冰 叠 门 村 罗,"[[""藿"", 0.06492442637681961], [""烟"", 0.04997801408171654], [""山"", 0.040729720145463943], [""气"", 0.02920103818178177], [""李"", 0.025659963488578796], [""冰"", 0.02333366684615612], [""叠"", 0.022950509563088417], [""门"", 0.022054286673665047], [""村"", 0.020154081284999847], [""罗"", 0.019196441397070885]]",25.577637,17,台|城|寒食雨|月|木|梅花|浮山|游春|牡丹|禅庵|秋兴|罗|萱草|葵|诗|迁居|鸽,一杯|佳名|修竹|千古|名园|媚春|山林|归来|木|桃李|梅花|步障|浮山|烟昏|罗|葵|诗,浮山:1|梅花:1|月:1|萱草:1|台:1|城:1|游春:1|寒食雨:1|牡丹:1|鸽:1|秋兴:1|迁居:1|禅庵:1|罗:1|诗:1|木:1|葵:1,卷二/宫室类/台|卷二/宫室类/城|卷一/节序类/寒食雨|卷一/天文类/月|卷四/竹木类/木|卷四/百花类/梅花|?/浮山|卷一/时令类/游春|卷四/百花类/牡丹|卷二/宫室类/禅庵|卷一/时令类/秋兴|?/罗|卷三/百草类/萱草|卷四/蔬菜类/葵|卷二/文学类/诗|卷二/宫室类/迁居|卷四/飞禽类/鸽,1,3,4,0,0,0,4,1,2,"[0.14586499149789456, 0.4375949744936837, 0.5834599659915782, 0.0, 0.0, 0.0, 0.5834599659915782, 0.14586499149789456, 0.2917299829957891]","[0.08204694074504963, 0.2983030503611257, 0.3310017740351438, 0.0, 0.0, 0.0, 0.769553867611039, 0.4086255774870459, 0.18850304377776894]",罗,1,Implicit Positive,隐性积极,positive,积极,praise,称颂赞美,0.010395346,0.08965295,0.19898953,0.6500888,0.05087336
1001-02,浪淘沙,马庄父,宋,蜡梅,十二月,娇额尚涂黄，不入时妆。十分轻脆奈风霜。几度细腰寻得蜜，错认蜂房。 东阁久凄凉，江路悠长。休将颜色较芬芳。无奈世间真若伪，赖有幽香。,娇额尚涂黄，不入时妆。十分轻脆奈风霜。几度细腰寻得蜜，错认蜂房。 东阁久凄凉，江,这首词写蜡梅标格独具而不为世赏。首言其色，以五色面饰与金黄面饰对举，极言蜡梅的“不入时妆”。次言其形，蜡梅色黄而似薄蜡，轻脆而奈风霜，迥异他花。刻画花朵形态，谓细腰蜂闻香寻蜜，竟错认蜡梅花朵为蜂房，构想灵巧奇妙。下片写蜡梅的不受赏识，意谓现在梅花也遭冷落，但蜡梅却比之更为凄凉，不入时人之眼。江路悠长，见出此非一时一地之风。梅花虽受冷落，但其高格远韵还能为人所知；蜡梅虽与其同谱，人却皆疑之为伪，若无浓郁幽香，岂非真伪不分。既为蜡梅独具的品格而骄傲，也为其受到的不公正待遇而不平。,江、阁、蜂、风、涂,江 阁 蜂 风 涂 房 香 世 腰 霜,"[[""江"", 0.0757441446185112], [""阁"", 0.03377528116106987], [""蜂"", 0.03024129383265972], [""风"", 0.026140276342630386], [""涂"", 0.02609490416944027], [""房"", 0.023250987753272057], [""香"", 0.02216421253979206], [""世"", 0.021372023969888687], [""腰"", 0.02011077105998993], [""霜"", 0.019385503605008125]]",25.540386,9,几|名誉|江|江湖|白牡丹|秋风|舞妓|苦寒|蜂,东阁|凄凉|几|幽香|江|细腰|芬芳|蜂|风霜,苦寒:1|舞妓:1|名誉:1|秋风:1|白牡丹:1|江湖:1|几:1|蜂:1|江:1,卷三/器用类上/几|卷二/仕宦类/名誉|卷一/地舆类/江|?/江湖|卷四/百花类/白牡丹|卷一/天文类/秋风|卷二/丽人类/舞妓|卷一/时令类/苦寒|卷四/昆虫类/蜂,1,1,1,1,1,1,1,0,1,"[0.35355339059327373, 0.35355339059327373, 0.35355339059327373, 0.35355339059327373, 0.35355339059327373, 0.35355339059327373, 0.35355339059327373, 0.0, 0.35355339059327373]","[0.10647495337396687, 0.1290391536442075, 0.10738791153288275, 0.36237798898572005, 0.8561512175749769, 0.13737582427524642, 0.24966870010197506, 0.0, 0.12231323078490147]",江|蜂,12,Neutral,中性,,,,,0.007545509,0.12522765,0.5008946,0.33978128,0.026550962
1002-01,柳梢青,杨无咎,宋,梅花,正月,"月堕霜飞。隔窗疏瘦，微见横枝。不道寒香，解随羌管，吹到屏帷。 
个中风味谁知？睡乍起、乌云任欹。嚼蕊挼英，浅顰轻笑，酒半醒时。",月堕霜飞。隔窗疏瘦，微见横枝。不道寒香，解随羌管，吹到屏帷。  个中风味谁知？睡,这首词描写一位女子微妙的心境。月堕霜飞，已是黎明时分。隔窗望去，几枝清瘦的梅花随风摇曳，风姿和神韵被形象地勾勒出来。在这似梦非梦的朦胧中，主人公忽听羌管悠悠，随着乐声，一阵寒香扑面而来。其彻夜难安，为梅花担心，又见出欣幸的感情。上片写得迷离恍惚，似真似幻，饶有幽妍雅倩之姿。下片从人事上去写，“风味”是指人抑或指梅？是梦境还是现实？“睡乍起”乌云任欹，见出其无意梳妆打扮。主人公时而含咀花蕊，时而把玩花枝，时而秀眉浅颦，时而含羞低笑。由怀人而酒醉，因难眠而辗转，听梅花落而念及华年易逝，闻梅花香而感到好梦将遂，种种复杂的情事和感受，似有脉络可寻，而又并非清晰可辨。作品呈朦胧之美，格调明快而句意含蓄。,云、寒、帷、英、屏,云 寒 帷 英 屏 窗 月 蕊 酒 任,"[[""云"", 0.04972681775689125], [""寒"", 0.046780191361904144], [""帷"", 0.03702091798186302], [""英"", 0.03406086936593056], [""屏"", 0.02720131166279316], [""窗"", 0.025387655943632126], [""月"", 0.022424185648560524], [""蕊"", 0.021453488618135452], [""酒"", 0.015382060781121254], [""任"", 0.014234974980354309]]",25.597687,6,云|月|江湖|酌酒|酒|香,云|月|横枝|酒|风味|香,江湖:1|酌酒:1|月:1|香:1|云:1|酒:1,卷一/天文类/云|卷一/天文类/月|?/江湖|卷三/饮食类/酌酒|卷三/饮食类/酒|卷三/器用类下/香,2,0,0,0,0,3,0,0,0,"[0.5547001962252291, 0.0, 0.0, 0.0, 0.0, 0.8320502943378437, 0.0, 0.0, 0.0]","[0.4590496216968524, 0.0, 0.0, 0.0, 0.0, 0.8884106284933656, 0.0, 0.0, 0.0]",云|月|酒,1,Neutral,中性,,,,,0.011110983,0.11972897,0.38121173,0.36938176,0.118566535
1002-02,瑞香花,范成大,宋,瑞香,十二月,"万粒丛芳破雪残， 曲房深院闭春寒。
紫紫青青云锦被， 百叠薰笼晚不翻。
酒恶休拈花蕊嗅， 花气醉人浓胜酒。
大将香供恼幽禅， 恰在兰枯梅落后。",万粒丛芳破雪残， 曲房深院闭春寒。 紫紫青青云锦被， 百叠薰笼晚不翻。 酒恶休拈,在冰雪残存、余寒未消的冬春之交，瑞香花悄悄地喷芳吐艳。光润青翠的绿叶间，丛丛簇簇的粒粒小花，紫白错杂，显露出华贵高雅的韵度。它以芳容艳姿冲破严冬沉寂，尽早向人间报道春天的信息。万粒丛芳形象描绘了瑞香开花成簇、玲珑精巧的特点，破雪残则点明了开花季节。曲房深院闭春寒委婉写出它生性畏寒，又暗示了其作为花中祥瑞的不寻常地位。紫紫青青云锦被，百叠薰笼晚不翻，那一朵朵紫红细碎小花点缀在青翠绿叶间，灿若云锦；香气氤氲温馨，极象熏炉上正喷香送暖的百迭熏笼。花气醉人浓胜酒极写花香的酷烈浓郁，夸张得真切可感。瑞香花盛开在兰枯梅落后，香气诱人使禅心难定，大将香供恼幽禅。诗人以深情之笔刻意描画瑞香花的风采神韵和异彩奇香，高雅隽永。,云、雪、房、花、锦,云 雪 房 花 锦 粒 兰 丛 梅 枯,"[[""云"", 0.06281649321317673], [""雪"", 0.04220300912857056], [""房"", 0.03938138484954834], [""花"", 0.031946294009685516], [""锦"", 0.03109583631157875], [""粒"", 0.02664683759212494], [""兰"", 0.024372952058911324], [""丛"", 0.024351665750145912], [""梅"", 0.02224418893456459], [""枯"", 0.022064531221985817]]",25.582499,10,酒|书简|宫阙|春寒|枯梅|潮|花|迁居|香|黄葵,酒|云锦|春寒|枯梅|深院|花|花气|醉人|青青|香,酒:2|宫阙:1|春寒:1|黄葵:1|书简:1|潮:1|迁居:1|枯梅:1|花:1|香:1,卷三/饮食类/酒|卷二/文学类/书简|卷二/宫室类/宫阙|卷一/时令类/春寒|卷四/百花类/枯梅|卷一/地舆类/潮|卷四/百花类/花|卷二/宫室类/迁居|卷三/器用类下/香|卷四/百花类/黄葵,0,1,3,0,0,2,0,1,3,"[0.0, 0.20412414523193154, 0.6123724356957946, 0.0, 0.0, 0.4082482904638631, 0.0, 0.20412414523193154, 0.6123724356957946]","[0.0, 0.16497749960660507, 0.41188868569734904, 0.0, 0.0, 0.3512719876916813, 0.0, 0.6779752265440109, 0.4691350744442324]",花,12,Implicit Positive,隐性积极,positive,积极,like,喜爱欣赏,0.007475684,0.008471294,0.038844608,0.49374658,0.4514618
1003-01,望梅花,蒲宗孟,宋,梅花,正月,阳初起，暖力未胜寒气。堪赏素华长独秀，不并开红抽紫。青帝只应怜洁白，不使雷同众卉。淡然难比，粉蝶岂知芳蕊。半夜卷帘如乍失，只在银蟾影里。残雪枝头君记取，自有清香旖旎。,阳初起，暖力未胜寒气。堪赏素华长独秀，不并开红抽紫。青帝只应怜洁白，不使雷同众卉,这首词咏的是白梅，从物象描摹到联想抒情，写出了它的风采与品格。一阳初起，梅花不畏严寒率先开放。素华长独秀，不并开红抽紫，花神偏爱白梅洁白素雅的风采，使它与众卉区别。粉蝶只知向热闹场中钻营，而不知素淡的白梅自有清香。半夜卷帘如乍失，只在银蟾影里，是说夜间卷帘望梅，素淡的梅花溶入皎洁的月光，与月亮的清辉融为一体。词人对梅花的一片痴情不写而自见，如乍失三字见出寻梅不见怅然若失的神情意绪。仔细看时，梅枝横斜正当明月，词人以小窗为画框，把梅枝明月镶嵌成一幅清雅淡逸的水墨画。残雪枝头，自有清香旖旎，可见对梅花一往情深。全词境界崭新开辟，清奇疏宕，写出梅与月叠印透视的新奇境界，在众多的咏梅诗词中别开面生。,香、帘、银、蝶、夜,香 帘 银 蝶 夜 雷 阳 枝 怜 紫,"[[""香"", 0.06937655061483383], [""帘"", 0.05200846120715141], [""银"", 0.03465490788221359], [""蝶"", 0.032732605934143066], [""夜"", 0.03174543380737305], [""雷"", 0.02967936545610428], [""阳"", 0.024765625596046448], [""枝"", 0.02276841551065445], [""怜"", 0.020081261172890663], [""紫"", 0.018869969993829727]]",25.603773,15,城|夹竹桃|如昼|待月|春|月|枣子|珍珠花|白莲花|立春|纸|芙蓉|蕙草|雪晴|雷,半夜|卷帘|堪赏|寒气|并开|有清香|枝头|残雪|洁白|独秀|粉蝶|素华|银蟾|雷|青帝,雪晴:1|夹竹桃:1|枣子:1|芙蓉:1|白莲花:1|春:1|纸:1|城:1|如昼:1|待月:1|月:1|立春:1|珍珠花:1|蕙草:1|雷:1,卷二/宫室类/城|?/夹竹桃|?/如昼|卷一/天文类/待月|卷一/时令类/春|卷一/天文类/月|卷四/百果类/枣子|卷四/百花类/珍珠花|卷四/百花类/白莲花|卷一/节序类/立春|卷三/器用类上/纸|?/芙蓉|?/蕙草|卷一/天文类/雪晴|卷一/天文类/雷,4,2,1,0,0,1,1,0,2,"[0.769800358919501, 0.3849001794597505, 0.19245008972987526, 0.0, 0.0, 0.19245008972987526, 0.19245008972987526, 0.0, 0.3849001794597505]","[0.6729224786230689, 0.40776419410442255, 0.1696730952044981, 0.0, 0.0, 0.2170540517860146, 0.3944769994806558, 0.0, 0.38651025344471057]",雷,1,Implicit Positive,隐性积极,positive,积极,praise,称颂赞美,0.008894142,0.1419244,0.37006074,0.46862334,0.010497365
