external_id,name,price,currency,spec_text,color,unit,size,origin,care_instructions,image_url,image_local_path,product_url,stock_status,fetched_at
552916,維也納菊（可選色）,200.0,HKD,5枝,粉/咖色,5枝,50-70cm,雲南/廣州,1. 剪腳：沿花梗底部向上2cm位置斜剪，剪後立即插水，避免在空氣中暴露時間過長，令鮮花重新分泌粘液阻塞吸水口,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/552916,,2026-03-09 05:50:19
551654,耳墜花,50.0,HKD,扎,綠色,扎,60-80cm,雲南,1. 剪腳：沿花梗底部向上2cm位置斜剪，剪後立即插水，避免在空氣中暴露時間過長，令鮮花重新分泌粘液阻塞吸水口,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/551654,,2026-03-09 05:50:28
549694,鮮花 - 小手球,50.0,HKD,扎,可選,扎,60-80cm,雲南,1. 剪腳：沿花梗底部向上2cm位置斜剪，剪後立即插水，避免在空氣中暴露時間過長，令鮮花重新分泌粘液阻塞吸水口,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/549694,,2026-03-09 05:50:37
549125,莢米花,45.0,HKD,1扎,白色,1扎,50-70cm,雲南,1. 剪腳：沿花梗底部向上2cm位置斜剪，剪後立即插水，避免在空氣中暴露時間過長，令鮮花重新分泌粘液阻塞吸水口,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/549125,,2026-03-09 05:50:45
549124,觀果 - 帶果尤加利（可選）,95.0,HKD,1札,"3一5支
染紅3一5支",1札,30-50cm,廣州/雲南,1. 剪腳：沿花梗底部向上2cm位置斜剪，剪後立即插水，避免在空氣中暴露時間過長，令鮮花重新分泌粘液阻塞吸水口,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/549124,,2026-03-09 05:50:53
549122,橙菠蘿,110.0,HKD,1扎,橙色,1扎,50-70cm,雲南,1. 剪腳：沿花梗底部向上2cm位置斜剪，剪後立即插水，避免在空氣中暴露時間過長，令鮮花重新分泌粘液阻塞吸水口,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/549122,,2026-03-09 05:51:01
549119,愛麗絲（鳶尾）,100.0,HKD,,,,,,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/549119,,2026-03-09 04:24:02
542494,葉材 - 五針松,40.0,HKD,扎,綠色,扎,50-65cm,廣州,1. 剪腳：沿花梗底部向上2cm位置斜剪，剪後立即插水，避免在空氣中暴露時間過長，令鮮花重新分泌粘液阻塞吸水口,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/542494,,2026-03-09 05:51:30
540197,大理花 - 梅根,95.0,HKD,1札 (5支),5支,1札 (5支),30-50cm,雲南,1.45°斜剪根，深水醒花，花頭10cm以下都浸在水中，但不要弄濕花頭。等待4-5小時，花材恢復新鮮後，水位以下的葉片修剪乾淨即可用花;脫水嚴重適當延長時間不要超過一個晚上。醒  花完成後加入保鮮劑效果更佳。,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/540197,,2026-03-09 05:51:38
540196,大理花 - 綠野仙蹤,95.0,HKD,1札 (5支),5支,1札 (5支),30-50cm,雲南,1.45°斜剪根，深水醒花，花頭10cm以下都浸在水中，但不要弄濕花頭。等待4-5小時，花材恢復新鮮後，水位以下的葉片修剪乾淨即可用花;脫水嚴重適當延長時間不要超過一個晚上。醒  花完成後加入保鮮劑效果更佳。,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/540196,,2026-03-09 05:51:45
